"Appalachian Mtn (EPA Ecoregions 66,67,68,69) of KY, TN, NC, SC, GA, AL"
2013
"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA. developed with 15 expert botanists"
"Appalachian Mtn (EPA Ecoregions 66,67,68,69) of KY, TN, NC, SC, GA, AL  , 2013"

"Total Species:",3831
"Native Species:",3566
"Non-native Species:",265
"Total Mean C:",5.6
"Native Mean C:",6

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abama americana",,NAAM,native,10,-3,forb,perennial,"yellow asphodel"
"Abama montana",,NAAM,native,10,-3,forb,perennial,"yellow asphodel"
"Acalypha gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. delzii",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. fraseri",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,3,3,forb,annual,"common threeseed mercury"
"Acalypha virginica var. gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha virginica var. rhomboidea",,ACRH,native,3,3,forb,annual,"common threeseed mercury"
"Acer dasycarpum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer negundo",,ACNE2,native,4,0,tree,perennial,boxelder
"Acer rubrum",,ACRU,native,4,0,tree,perennial,"red maple"
"Acer rubrum ssp. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer rubrum var. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer saccharinum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer saccharinum var. laciniatum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer saccharinum var. wieri",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acmella oppositifolia var. repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acmella repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acnida alabamensis",,AMAU,non-native,0,-5,shrub,annual,"southern amaranth"
"Acnida altissima",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. prostrata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. subnuda",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida australis",,AMAU,non-native,0,-5,shrub,annual,"southern amaranth"
"Acnida concatenata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida cuspidata",,AMAU,non-native,0,-5,shrub,annual,"southern amaranth"
"Acnida subnuda",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina var. prostrata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tuberculata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Aconitum uncinatum",,ACUN,native,9,0,forb,perennial,"southern blue monkshood"
"Acorus calamus",,ACCA4,non-native,0,-5,forb,perennial,"single-vein sweetflag"
"Actinomeris alternifolia",,VEAL,native,4,0,forb,perennial,wingstem
"Acuan illinoense",,DEIL,native,4,0,shrub,perennial,"illinois bundleflower"
"Adiantum pedatum",,ADPE,native,7,0,forb,perennial,"northern maidenhair"
"Aegopodium podagraria",,AEPO,non-native,0,3,forb,perennial,"bishops goutweed"
"Aesculus flava",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus georgiana",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Aesculus glabra",,AEGL,native,7,3,tree,perennial,"ohio buckeye"
"Aesculus octandra",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus octandra var. vestita",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus octandra var. virginica",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus pavia",,AEPA,native,7,0,tree,perennial,"red buckeye"
"Aesculus sylvatica",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Aesculus sylvatica var. lanceolata",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Afzelia cassioides",,SECA4,native,7,0,forb,annual,"yaupon blacksenna"
"Afzelia macrophylla",,DAMA,native,7,3,forb,annual,"mullein foxglove"
"Agalinis decemloba",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis fasciculata",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis fasciculata var. peninsularis",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis georgiana",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis obtusifolia",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis parvifolia",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis purpurea",,AGPU5,native,6,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. carteri",,AGPU5,native,6,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. racemulosa",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis tenella",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis tenuifolia",,AGTE3,native,5,0,forb,annual,"slenderleaf false foxglove"
"Agalinis virgata",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agastache nepetoides",,AGNE2,native,6,3,shrub,perennial,"yellow giant hyssop"
"Agrimonia bicknellii",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia mollis",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia parviflora",,AGPA6,native,5,-3,forb,perennial,harvestlice
"Agrimonia pubescens",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia rostellata",,AGRO3,native,6,3,forb,perennial,"beaked agrimony"
"Agrostis aenea",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis alaskana",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis alba",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis altissima",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis ampla",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis antecedens",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis asperifolia",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis elata",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis exarata",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis exarata ssp. minor",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis exarata var. minor",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis exarata var. monolepis",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis exarata var. pacifica",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis exarata var. purpurascens",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis frondosa",,MUFR2,native,6,0,grass,perennial,"wirestem muhly"
"Agrostis geminata",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis gigantea",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis hyemalis",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis hyemalis var. geminata",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis hyemalis var. scabra",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis hyemalis var. tenuis",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis longiligula",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis longiligula var. australis",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis melaleuca",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis microphylla var. major",,AGEX,non-native,0,-3,grass,perennial,"spike bentgrass"
"Agrostis oreophila",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans var. aestivalis",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans var. elata",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis scabra",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis scabra ssp. septentrionalis",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis scabra var. geminata",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis scabra var. septentrionalis",,AGSC5,native,4,0,grass,perennial,"rough bentgrass"
"Agrostis schweinitzii",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis stolonifera",,AGST2,non-native,0,-3,grass,perennial,"spreading bent"
"Agrostis sylvatica",,MUSY,native,7,0,grass,perennial,"woodland muhly"
"Aira caespitosa",,DECE,native,10,-3,grass,perennial,"tufted hairgrass"
"Aira cespitosa",,DECE,native,10,-3,grass,perennial,"tufted hairgrass"
"Aira obtusata",,SPOB,native,5,0,grass,perennial,"prairie wedgescale"
"Aletris farinosa",,ALFA2,native,7,0,forb,perennial,"white colicroot"
"Alisma plantago-aquatica ssp. subcordatum",,ALSU,native,5,-5,forb,perennial,"american water plantain"
"Alisma plantago-aquatica var. parviflorum",,ALSU,native,5,-5,forb,perennial,"american water plantain"
"Alisma subcordatum",,ALSU,native,5,-5,forb,perennial,"american water plantain"
"Alnus crispa",,ALVIC,native,10,,tree,perennial,"mountain alder"
"Alnus crispa var. elongata",,ALVIC,native,10,,tree,perennial,"mountain alder"
"Alnus crispa var. mollis",,ALVIC,native,10,,tree,perennial,"mountain alder"
