"Atlantic Coastal Pine Barrens (8.5.4)"
2018
"NatureServe-NEIWPCC Northeast FQA Project. Metzler, K., Ring, R. and D. Faber-Langendoen. Database of coefficients of conservatism for Omernik Level 3 Ecoregion 84"
"Atlantic Coastal Pine Barrens (8.5.4) (MA, NY, RI) (Omernik III Ecoregions: 84), 2018"

"Total Species:",2094
"Native Species:",1601
"Non-native Species:",493
"Total Mean C:",4.4
"Native Mean C:",5.8

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies concolor",,ABCO,non-native,0,,,,
"Abutilon theophrasti",,ABTH,non-native,0,,,,
"Acalypha gracilens",,ACGR2,native,4,,,,
"Acalypha rhomboidea",,ACRH,native,1,,,,
"Acalypha virginica",,ACVI,native,6,,,,
"Acer negundo",,ACNE2,native,2,,,,
"Acer nigrum",,ACNI5,native,8,,,,
"Acer pensylvanicum",,ACPE,native,6,,,,
"Acer platanoides",,ACPL,non-native,0,,,,
"Acer pseudoplatanus",,ACPS,non-native,0,,,,
"Acer rubrum",,ACRU,native,3,,,,
"Acer saccharinum",,ACSA2,native,6,,,,
"Acer saccharum",,ACSA3,native,6,,,,
"Acer spicatum",,ACSP2,native,8,,,,
"Achillea ptarmica",,ACPT,non-native,0,,,,
"Acinos arvensis",,ACAR2,non-native,0,,,,
"Acorus americanus",,ACAM,native,5,,,,
"Acorus calamus",,ACCA4,native,6,,,,
"Actaea pachypoda",,ACPA,native,7,,,,
"Actaea racemosa",,ACRA7,native,8,,,,
"Actaea rubra",,ACRU2,native,7,,,,
"Adiantum pedatum",,ADPE,native,7,,,,
"Adlumia fungosa",,ADFU,native,8,,,,
"Aegopodium podagraria",,AEPO,non-native,0,,,,
"Aethusa cynapium",,AECY2,non-native,0,,,,
"Agalinis acuta",,AGAC,native,6,,,,
"Agalinis maritima",,AGMA3,native,9,,,,
"Agalinis obtusifolia",,AGOB,native,8,,,,
"Agalinis paupercula",,AGPA12,native,6,,,,
"Agalinis purpurea",,AGPU5,native,6,,,,
"Agalinis tenuifolia",,AGTE3,native,4,,,,
"Agastache nepetoides",,AGNE2,native,6,,,,
"Ageratina altissima",,AGAL5,native,4,,,,
"Ageratina aromatica",,AGAR4,native,6,,,,
"Agrimonia gryposepala",,AGGR2,native,4,,,,
"Agrimonia parviflora",,AGPA6,native,4,,,,
"Agrimonia pubescens",,AGPU,native,8,,,,
"Agrimonia rostellata",,AGRO3,native,7,,,,
"Agrostemma githago",,AGGI,non-native,0,,,,
"Agrostis capillaris",,AGCA5,non-native,0,,,,
"Agrostis gigantea",,AGGI2,non-native,0,,,,
"Agrostis hyemalis",,AGHY,native,3,,,,
"Agrostis perennans",,AGPE,native,3,,,,
"Agrostis scabra",,AGSC5,native,3,,,,
"Agrostis stolonifera",,AGST2,native,3,,,,
"Ailanthus altissima",,AIAL,non-native,0,,,,
"Aira caryophyllea",,AICA,non-native,0,,,,
"Aira praecox",,AIPR,non-native,0,,,,
"Ajuga reptans",,AJRE,non-native,0,,,,
"Akebia quinata",,AKQU,non-native,0,,,,
"Alcea rosea",,ALRO3,non-native,0,,,,
"Aletris farinosa",,ALFA2,native,7,,,,
"Alisma gramineum",,ALGR,native,7,,,,
"Alisma plantago-aquatica",,ALPL,native,5,,,,
"Alisma subcordatum",,ALSU,native,4,,,,
"Alliaria petiolata",,ALPE4,non-native,0,,,,
"Allium canadense",,ALCA3,native,4,,,,
"Allium cernuum",,ALCE2,native,7,,,,
"Allium schoenoprasum",,ALSC,native,9,,,,
"Allium tricoccum",,ALTR3,native,8,,,,
"Allium vineale",,ALVI,non-native,0,,,,
"Alnus glutinosa",,ALGL2,non-native,0,,,,
"Alnus incana ssp. rugosa",,ALINR,native,5,,,,
"Alnus serrulata",,ALSE2,native,6,,,,
"Alopecurus aequalis",,ALAE,native,5,,,,
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,
"Alopecurus pratensis",,ALPR3,non-native,0,,,,
"Alyssum alyssoides",,ALAL3,non-native,0,,,,
"Amaranthus cannabinus",,AMCA2,native,6,,,,
"Amaranthus hybridus",,AMHY,native,1,,,,
"Amaranthus pumilus",,AMPU2,native,10,,,,
"Amaranthus retroflexus",,AMRE,native,1,,,,
"Ambrosia artemisiifolia",,AMAR2,native,1,,,,
"Ambrosia psilostachya",,AMPS,non-native,0,,,,
"Ambrosia trifida",,AMTR,native,1,,,,
"Amelanchier amabilis",,AMAM4,native,8,,,,
"Amelanchier arborea",,AMAR3,native,4,,,,
"Amelanchier canadensis",,AMCA4,native,5,,,,
"Amelanchier humilis",,AMHU2,native,7,,,,
"Amelanchier laevis",,AMLA,native,4,,,,
"Amelanchier nantucketensis",,AMNA2,native,8,,,,
"Amelanchier sanguinea",,AMSA,native,7,,,,
"Amelanchier sanguinea var. sanguinea",,AMSAS,native,8,,,,
"Amelanchier stolonifera",,AMST80,native,5,,,,
"Amerorchis rotundifolia",,AMRO,native,10,,,,
"Ammophila breviligulata",,AMBR,native,7,,,,
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,
"Amphicarpaea bracteata",,AMBR2,native,4,,,,
"Amphicarpum amphicarpon",,AMAM,native,10,,,,
"Amphicarpum purshii",,AMPU6,native,10,,,,
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,
"Amsinckia menziesii",,AMME,non-native,0,,,,
"Anagallis arvensis",,ANAR,non-native,0,,,,
"Anaphalis margaritacea",,ANMA,native,2,,,,
"Andropogon gerardii",,ANGE,native,5,,,,
"Andropogon glomeratus",,ANGL2,native,5,,,,
"Andropogon virginicus",,ANVI2,native,4,,,,
"Anemone canadensis",,ANCA8,native,5,,,,
"Anemone cylindrica",,ANCY,native,6,,,,
"Anemone quinquefolia",,ANQU,native,6,,,,
"Anemone virginiana",,ANVI3,native,5,,,,
"Anethum graveolens",,ANGR2,non-native,0,,,,
"Angelica atropurpurea",,ANAT,native,4,,,,
"Angelica lucida",,ANLU,native,9,,,,
"Angelica venenosa",,ANVE,native,8,,,,
"Antennaria howellii",,ANHO,native,2,,,,
"Antennaria neglecta",,ANNE,native,2,,,,
"Antennaria parlinii",,ANPA9,native,3,,,,
"Antennaria plantaginifolia",,ANPL,native,4,,,,
"Anthemis arvensis",,ANAR6,non-native,0,,,,
"Anthemis cotula",,ANCO2,non-native,0,,,,
"Anthemis tinctoria",,ANTI,non-native,0,,,,
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,
"Anthriscus sylvestris",,ANSY,non-native,0,,,,
"Apera spica-venti",,APSP,non-native,0,,,,
"Apios americana",,APAM,native,4,,,,
"Aplectrum hyemale",,APHY,native,9,,,,
"Apocynum androsaemifolium",,APAN2,native,2,,,,
"Apocynum cannabinum",,APCA,native,2,,,,
"Aquilegia canadensis",,AQCA,native,5,,,,
"Aquilegia vulgaris",,AQVU,non-native,0,,,,
"Arabidopsis thaliana",,ARTH,non-native,0,,,,
"Arabis canadensis",,ARCA,native,5,,,,
"Arabis drummondii",,ARDR,native,7,,,,
"Arabis glabra",,ARGL,native,2,,,,
"Arabis laevigata",,ARLA,native,7,,,,
"Arabis lyrata",,ARLY2,native,8,,,,
"Arabis missouriensis",,ARMI5,native,9,,,,
"Arabis pycnocarpa var. adpressipilis",,ARPYA,native,10,,,,
