"Chicago Region USACE"
2013
"Herman, B., Sliwinski, R. and S. Whitaker. 2013. Chicago Region FQA (Floristic Quality Assessment) Calculator. U.S. Army Corps of Engineers, Chicago, IL. [beta version]"
"Chicago Region USACE  , 2013"

"Total Species:",2790
"Native Species:",1774
"Non-native Species:",1016
"Total Mean C:",4.6
"Native Mean C:",7.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus; hibiscus esculentus",Malvaceae,,non-native,0,2,forb,annual,okra
"Abutilon theophrasti",Malvaceae,,non-native,0,1,forb,annual,velvetleaf
"Acalypha gracilens",Euphorbiaceae,,native,7,1,forb,annual,"slender three-seed-mercury; slender mercury"
"Acalypha rhomboidea",Euphorbiaceae,,native,0,1,forb,annual,"common three-seed-mercury; three-seeded mercury"
"Acalypha virginica",Euphorbiaceae,,non-native,0,1,forb,annual,"virginia three-seed-mercury; virginia mercury"
"Acanthopanax sieboldianus;",Araliaceae,,non-native,0,2,shrub,perennial,"palmate hercules club;"
"Acer campestre;",Aceraceae,,non-native,0,2,tree,perennial,"hedge maple;"
"Acer ginnala",Aceraceae,,non-native,0,2,tree,perennial,"amur maple"
"Acer negundo",Aceraceae,,native,0,0,tree,perennial,"ash-leaf maple; box elder"
"Acer negundo var. negundo; acer negundo",Aceraceae,,native,0,0,tree,perennial,"ash-leaf maple; box elder"
"Acer negundo; acer negundo var. violaceum",Aceraceae,,native,0,0,tree,perennial,"ash-leaf maple; box elder"
"Acer nigrum",Aceraceae,,native,5,1,tree,perennial,"black maple"
"Acer platanoides",Aceraceae,,non-native,0,2,tree,perennial,"norway maple"
"Acer pseudoplatanus",Aceraceae,,non-native,0,2,tree,perennial,"sycamore maple"
"Acer rubrum",Aceraceae,,native,7,0,tree,perennial,"red maple"
"Acer saccharinum",Aceraceae,,native,0,-1,tree,perennial,"silver maple"
"Acer saccharum",Aceraceae,,native,3,1,tree,perennial,"sugar maple"
"Achillea millefolium",Asteraceae,,non-native,0,1,forb,perennial,"common yarrow; yarrow"
"Achillea ptarmica",Asteraceae,,non-native,0,2,forb,perennial,sneezewort
"Aconitum uncinatum",Ranunculaceae,,non-native,0,2,forb,perennial,"wild monkshood; monkshood"
"Acorus americanus;",Acoraceae,,native,7,-2,forb,perennial,"several-vein sweetflag; sweet flag"
"Acorus calamus",Acoraceae,,non-native,0,-2,forb,perennial,"single-vein sweetflag; sweet flag"
"Acroptilon repens; centaurea repens",Asteraceae,,non-native,0,2,forb,perennial,"russian knapweed"
"Actaea pachypoda",Ranunculaceae,,native,7,1,forb,perennial,"white baneberry"
"Actaea rubra",Ranunculaceae,,native,10,1,forb,perennial,"red baneberry"
"Actaea rubra ssp. arguta; actaea rubra",Ranunculaceae,,native,10,1,forb,perennial,"red baneberry"
"Actaea rubra ssp. rubra; actaea rubra",Ranunculaceae,,native,10,1,forb,perennial,"red baneberry"
"Adiantum pedatum",Pteridaceae,,native,10,1,fern,perennial,"northern maidenhair; maidenhair fern"
"Adlumia fungosa",Fumariaceae,,native,10,2,forb,biennial,"climbing fumitory; allegheny vine"
"Aegilops cylindrica",Poaceae,,non-native,0,2,grass,annual,"jointed goat grass"
"Aegopodium podagraria",Apiaceae,,non-native,0,0,forb,perennial,"bishops goutweed; goutweed"
"Aesculus glabra",Hippocastanaceae,,native,3,0,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",Hippocastanaceae,,non-native,0,2,tree,perennial,"horse chestnut"
"Aethusa cynapium",Apiaceae,,non-native,0,2,forb,annual,"fools parsley; fools parsley"
"Agalinis aspera",Scrophulariaceae,,native,10,1,forb,annual,"tall false foxglove; rough false foxglove"
"Agalinis gattingeri",Scrophulariaceae,,native,10,2,forb,annual,"gattingers false foxglove; round-stemmed false foxglove"
"Agalinis paupercula var. borealis; agalinis purpurea parviflora",Scrophulariaceae,,native,7,-2,forb,annual,"small-flower false foxglove; purple false foxglove"
"Agalinis paupercula var. paupercula;",Scrophulariaceae,,native,7,-2,forb,annual,"small-flower false foxglove; purple false foxglove"
