"Coastal Plain of the Southeast (EPA Ecoregions 63,65)"
2013
"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA. developed with 15 expert botanists"
"Coastal Plain of the Southeast (EPA Ecoregions 63,65)  , 2013"

"Total Species:",4632
"Native Species:",4345
"Non-native Species:",287
"Total Mean C:",5.5
"Native Mean C:",5.8

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Acalypha gracilens",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. delzii",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. fraseri",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,0,forb,annual,"common threeseed mercury"
"Acalypha virginica var. gracilens",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha virginica var. rhomboidea",,ACRH,native,2,0,forb,annual,"common threeseed mercury"
"Acer dasycarpum",,ACSA2,native,5,0,tree,perennial,"silver maple"
"Acer drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer negundo",,ACNE2,native,3,0,tree,perennial,boxelder
"Acer rubrum",,ACRU,native,3,0,tree,perennial,"red maple"
"Acer rubrum ssp. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer rubrum var. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer saccharinum",,ACSA2,native,5,0,tree,perennial,"silver maple"
"Acer saccharinum var. laciniatum",,ACSA2,native,5,0,tree,perennial,"silver maple"
"Acer saccharinum var. wieri",,ACSA2,native,5,0,tree,perennial,"silver maple"
"Acerates delticola",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Acerates floridana",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Acerates longifolia",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Acmella oppositifolia var. repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acmella repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acnida alabamensis",,AMAU,native,4,-5,shrub,annual,"southern amaranth"
"Acnida altissima",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. prostrata",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. subnuda",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida australis",,AMAU,native,4,-5,shrub,annual,"southern amaranth"
"Acnida cannabina",,AMCA2,native,7,-5,forb,perennial,"tidalmarsh amaranth"
"Acnida concatenata",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida cuspidata",,AMAU,native,4,-5,shrub,annual,"southern amaranth"
"Acnida subnuda",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina var. prostrata",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acnida tuberculata",,AMTU,non-native,0,-3,forb,annual,"roughfruit amaranth"
"Acorus calamus",,ACCA4,non-native,0,-5,forb,perennial,"single-vein sweetflag"
"Actinomeris alternifolia",,VEAL,native,4,0,forb,perennial,wingstem
