Colorado
2020
"Colorado Natural Heritage Program"
"Colorado (CO) (Omernik III Ecoregions: 18, 20, 21, 22, 25, 26), 2020"

"Total Species:",3223
"Native Species:",2749
"Non-native Species:",474
"Total Mean C:",5.3
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies bifolia",Pinaceae,ABBI3,native,5,,tree,perennial,
"Abies concolor",Pinaceae,ABCO,native,5,,tree,perennial,
"Abronia elliptica",Nyctaginaceae,ABEL,native,4,,forb,perennial,
"Abronia fragrans",Nyctaginaceae,ABFR2,native,6,,forb,perennial,
"Abronia nana var. nana",Nyctaginaceae,ABNAN,native,9,,forb,perennial,
"Abutilon theophrasti",Malvaceae,ABTH,non-native,0,,forb,annual,
"Acer glabrum var. glabrum",Sapindaceae,ACGLG2,native,7,,shrub,perennial,
"Acer grandidentatum var. grandidentatum",Sapindaceae,ACGRG,native,10,,shrub,perennial,
"Acer negundo",Sapindaceae,ACNE2,native,4,,tree,perennial,
"Acer negundo var. interius",Sapindaceae,ACNEI2,native,4,,tree,perennial,
"Acer negundo var. violaceum",Sapindaceae,ACNEV,native,4,,tree,perennial,
"Achillea filipendulina",Asteraceae,ACFI,non-native,0,,forb,perennial,
"Achillea millefolium",Asteraceae,ACMI2,native,4,,forb,perennial,
"Achillea ptarmica",Asteraceae,ACPT,non-native,0,,forb,perennial,
"Achnatherum aridum",Poaceae,ACAR14,native,7,,grass,perennial,
"Achnatherum hymenoides",Poaceae,ACHY,native,5,,grass,perennial,
"Achnatherum lettermanii",Poaceae,ACLE9,native,6,,grass,perennial,
"Achnatherum nelsonii",Poaceae,ACNE9,native,6,,grass,perennial,
"Achnatherum pinetorum",Poaceae,ACPI2,native,6,,grass,perennial,
"Achnatherum richardsonii",Poaceae,ACRI8,native,6,,grass,perennial,
"Achnatherum robustum",Poaceae,ACRO7,native,3,,grass,perennial,
"Achnatherum scribneri",Poaceae,ACSC11,native,7,,grass,perennial,
"Achnatherum �bloomeri",Poaceae,ACBL,native,10,,grass,perennial,
"Aconitum columbianum",Ranunculaceae,ACCO4,native,8,,forb,perennial,
"Acorus calamus",Acoraceae,ACCA4,native,5,,forb,perennial,
"Acroptilon repens",Asteraceae,ACRE3,non-native,0,,forb,perennial,
"Actaea rubra",Ranunculaceae,ACRU2,native,9,,forb,perennial,
"Adiantum aleuticum",Pteridaceae,ADAL,native,8,,forb,perennial,
"Adiantum capillus-veneris",Pteridaceae,ADCA,native,9,,forb,perennial,
"Adoxa moschatellina",Adoxaceae,ADMO,native,10,,forb,perennial,
"Aegilops cylindrica",Poaceae,AECY,non-native,0,,grass,annual,
"Agalinis tenuifolia var. parviflora",Orobanchaceae,AGTEP2,native,10,,forb,annual,
"Agastache foeniculum",Lamiaceae,AGFO,native,3,,forb,perennial,
"Agastache pallidiflora",Lamiaceae,AGPA,native,5,,forb,perennial,
"Agastache urticifolia",Lamiaceae,AGUR,native,5,,forb,perennial,
"Ageratina herbacea",Asteraceae,AGHE5,native,6,,forb,perennial,
"Agoseris aurantiaca",Asteraceae,AGAU2,native,6,,forb,perennial,
"Agoseris aurantiaca var. aurantiaca",Asteraceae,AGAUA,native,6,,shrub,perennial,
"Agoseris aurantiaca var. purpurea",Asteraceae,AGAUP,native,6,,forb,perennial,
"Agoseris glauca",Asteraceae,AGGL,native,7,,forb,perennial,
"Agoseris glauca var. dasycephala",Asteraceae,AGGLD,native,7,,forb,perennial,
"Agoseris glauca var. glauca",Asteraceae,AGGLG,native,7,,forb,perennial,
"Agoseris parviflora",Asteraceae,AGPA14,native,7,,forb,perennial,
"Agrimonia striata",Rosaceae,AGST,native,7,,forb,perennial,
"Agropyron cristatum",Poaceae,AGCR,non-native,0,,grass,perennial,
"Agropyron fragile",Poaceae,AGFR,non-native,0,,grass,perennial,
"Agrostemma githago",Caryophyllaceae,AGGI,non-native,0,,forb,annual,
"Agrostis exarata",Poaceae,AGEX,native,7,,grass,perennial,
"Agrostis gigantea",Poaceae,AGGI2,non-native,0,,grass,perennial,
"Agrostis idahoensis",Poaceae,AGID,native,7,,grass,perennial,
"Agrostis mertensii",Poaceae,AGME3,native,6,,grass,perennial,
"Agrostis scabra",Poaceae,AGSC5,native,4,,grass,perennial,
"Agrostis stolonifera",Poaceae,AGST2,non-native,0,,grass,perennial,
"Agrostis variabilis",Poaceae,AGVA,native,4,,grass,perennial,
"Ailanthus altissima",Simaroubaceae,AIAL,non-native,0,,tree,perennial,
"Alcea rosea",Malvaceae,ALRO3,non-native,0,,forb,biennial,
"Aletes acaulis",Apiaceae,ALAC2,native,7,,forb,perennial,
"Aletes humilis",Apiaceae,ALHU,native,7,,forb,perennial,
"Aletes macdougalii ssp. breviradiatus",Apiaceae,ALMAB,native,10,,forb,perennial,
"Alhagi maurorum",Fabaceae,ALMA12,non-native,0,,shrub,perennial,
"Aliciella haydenii",Polemoniaceae,ALHA6,native,4,,forb,annual,
"Aliciella leptomeria",Polemoniaceae,ALLE7,native,6,,forb,annual,
"Aliciella mcvickerae",Polemoniaceae,ALMC,native,6,,forb,annual,
"Aliciella penstemonoides",Polemoniaceae,ALPE11,native,10,,forb,biennial,
"Aliciella pinnatifida",Polemoniaceae,ALPI2,native,5,,forb,annual,
"Aliciella sedifolia",Polemoniaceae,ALSE11,native,10,,forb,annual,
"Aliciella stenothyrsa",Polemoniaceae,ALST12,native,9,,forb,perennial,
"Aliciella triodon",Polemoniaceae,ALTR14,native,9,,forb,annual,
"Alisma gramineum",Alismataceae,ALGR,native,4,,forb,perennial,
"Alisma triviale",Alismataceae,ALTR7,native,3,,forb,perennial,
"Alliaria petiolata",Brassicaceae,ALPE4,non-native,0,,forb,annual,
"Allionia incarnata",Nyctaginaceae,ALIN,native,6,,forb,annual,
"Allium acuminatum",Alliaceae,ALAC4,native,8,,forb,perennial,
"Allium brandegeei",Alliaceae,ALBR,native,9,,forb,perennial,
"Allium brevistylum",Alliaceae,ALBR2,native,8,,forb,perennial,
"Allium cernuum",Alliaceae,ALCE2,native,5,,forb,perennial,
"Allium geyeri",Alliaceae,ALGE,native,5,,forb,perennial,
"Allium geyeri var. geyeri",Alliaceae,ALGEG,native,5,,forb,perennial,
"Allium geyeri var. tenerum",Alliaceae,ALGET,native,5,,forb,perennial,
"Allium macropetalum",Alliaceae,ALMA4,native,7,,forb,perennial,
"Allium nevadense",Alliaceae,ALNE,native,8,,forb,perennial,
"Allium sativum",Alliaceae,ALSA2,non-native,0,,forb,perennial,
"Allium schoenoprasum",Alliaceae,ALSCS,native,7,,forb,perennial,
"Allium textile",Alliaceae,ALTE,native,5,,forb,perennial,
"Almutaster pauciflorus",Asteraceae,ALPA14,native,4,,forb,perennial,
"Alnus incana ssp. tenuifolia",Betulaceae,ALINT,native,6,,shrub,perennial,
"Alopecurus aequalis",Poaceae,ALAE,native,4,,grass,perennial,
"Alopecurus arundinaceus",Poaceae,ALAR,non-native,0,,grass,perennial,
"Alopecurus geniculatus",Poaceae,ALGE2,non-native,0,,grass,perennial,
"Alopecurus magellanicus",Poaceae,ALMA8,native,7,,grass,perennial,
"Alopecurus pratensis",Poaceae,ALPR3,non-native,0,,grass,perennial,
"Alyssum alyssoides",Brassicaceae,ALAL3,non-native,0,,forb,annual,
"Alyssum desertorum",Brassicaceae,ALDE,non-native,0,,forb,annual,
"Alyssum murale",Brassicaceae,ALMU,non-native,0,,forb,perennial,
"Alyssum simplex",Brassicaceae,ALSI8,non-native,0,,forb,annual,
"Amaranthus albus",Amaranthaceae,AMAL,non-native,0,,forb,annual,
"Amaranthus arenicola",Amaranthaceae,AMAR,native,5,,forb,annual,
"Amaranthus blitoides",Amaranthaceae,AMBL,native,4,,forb,annual,
"Amaranthus hybridus",Amaranthaceae,AMHY,native,3,,forb,annual,
"Amaranthus palmeri",Amaranthaceae,AMPA,native,3,,forb,annual,
"Amaranthus powellii",Amaranthaceae,AMPO2,native,5,,forb,annual,
"Amaranthus retroflexus",Amaranthaceae,AMRE,non-native,0,,forb,annual,
"Amaranthus wrightii",Amaranthaceae,AMWR,native,6,,forb,annual,
"Ambrosia acanthicarpa",Asteraceae,AMAC2,native,4,,forb,annual,
"Ambrosia artemisiifolia",Asteraceae,AMAR2,native,1,,forb,annual,
"Ambrosia confertiflora",Asteraceae,AMCO3,native,6,,forb,perennial,
"Ambrosia grayi",Asteraceae,AMGR5,native,1,,forb,perennial,
"Ambrosia linearis",Asteraceae,AMLI3,native,4,,forb,annual,
"Ambrosia psilostachya",Asteraceae,AMPS,native,3,,forb,annual,
"Ambrosia tomentosa",Asteraceae,AMTO3,native,3,,forb,perennial,
"Ambrosia trifida var. trifida",Asteraceae,AMTRT2,native,3,,forb,annual,
"Amelanchier alnifolia",Rosaceae,AMAL2,native,6,,shrub,perennial,
"Amelanchier alnifolia var. alnifolia",Rosaceae,AMALA,native,6,,shrub,perennial,
"Amelanchier alnifolia var. pumila",Rosaceae,AMALP2,native,3,,shrub,perennial,
"Amelanchier alnifolia var. utahensis",Rosaceae,AMALU,native,6,,shrub,perennial,
"Ammannia robusta",Lythraceae,AMRO3,native,8,,forb,annual,
"Amorpha canescens",Fabaceae,AMCA6,native,10,,shrub,perennial,
"Amorpha fruticosa",Fabaceae,AMFR,native,7,,shrub,perennial,
"Amorpha nana",Fabaceae,AMNA,native,7,,shrub,perennial,
"Amphiscirpus nevadensis",Cyperaceae,AMNE3,native,7,,sedge,perennial,
"Amsinckia lycopsoides",Boraginaceae,AMLY,non-native,0,,forb,annual,
"Amsinckia menziesii var. menziesii",Boraginaceae,AMMEM2,non-native,0,,forb,annual,
"Amsonia jonesii",Apocynaceae,AMJO,native,10,,forb,perennial,
"Anagallis arvensis",Myrsinaceae,ANAR,non-native,0,,forb,annual,
"Anagallis minima",Myrsinaceae,ANMI4,native,5,,forb,annual,
"Anaphalis margaritacea",Asteraceae,ANMA,native,4,,forb,perennial,
"Anchusa azurea",Boraginaceae,ANAZ,non-native,0,,forb,perennial,
"Anchusa officinalis",Boraginaceae,ANOF,non-native,0,,forb,biennial,
"Andropogon gerardii",Poaceae,ANGE,native,9,,grass,perennial,
"Andropogon hallii",Poaceae,ANHA,native,8,,grass,perennial,
"Androsace chamaejasme ssp. carinata",Primulaceae,ANCHC,native,9,,forb,perennial,
"Androsace filiformis",Primulaceae,ANFI,native,8,,forb,annual,
"Androsace occidentalis",Primulaceae,ANOC2,native,9,,forb,annual,
"Androsace septentrionalis",Primulaceae,ANSE4,native,6,,forb,annual,
"Androstephium breviflorum",Themidaceae,ANBR4,native,8,,forb,perennial,
"Anemone canadensis",Ranunculaceae,ANCA8,native,8,,forb,perennial,
"Anemone cylindrica",Ranunculaceae,ANCY,native,5,,forb,perennial,
"Anemone multifida",Ranunculaceae,ANMU,native,10,,forb,perennial,
"Anemone narcissiflora var. zephyra",Ranunculaceae,ANNAZ2,native,10,,forb,perennial,
"Anemone parviflora",Ranunculaceae,ANPA,native,6,,forb,perennial,
"Anemone patens var. multifida",Ranunculaceae,ANPAM,native,7,,forb,perennial,
"Anemone virginiana var. cylindroidea",Ranunculaceae,ANVIC,native,8,,forb,perennial,
"Anemopsis californica",Saururaceae,ANCA10,native,3,,forb,perennial,
"Angelica ampla",Apiaceae,ANAM,native,4,,forb,perennial,
"Angelica grayi",Apiaceae,ANGR3,native,10,,forb,perennial,
"Angelica pinnata",Apiaceae,ANPI2,native,5,,forb,perennial,
"Anoda cristata",Malvaceae,ANCR2,non-native,0,,forb,annual,
"Antennaria anaphaloides",Asteraceae,ANAN2,native,5,,forb,perennial,
"Antennaria corymbosa",Asteraceae,ANCO,native,5,,forb,perennial,
"Antennaria dimorpha",Asteraceae,ANDI2,native,6,,forb,perennial,
"Antennaria howellii",Asteraceae,ANHO,native,5,,forb,perennial,
"Antennaria luzuloides ssp. luzuloides",Asteraceae,ANLUL,native,5,,forb,perennial,
"Antennaria marginata",Asteraceae,ANMA5,native,7,,forb,perennial,
"Antennaria media",Asteraceae,ANME2,native,5,,forb,perennial,
"Antennaria microphylla",Asteraceae,ANMI3,native,5,,forb,perennial,
"Antennaria neglecta",Asteraceae,ANNE,native,5,,forb,perennial,
"Antennaria parvifolia",Asteraceae,ANPA4,native,5,,forb,perennial,
"Antennaria pulcherrima",Asteraceae,ANPU,native,5,,forb,perennial,
"Antennaria rosea",Asteraceae,ANRO2,native,5,,forb,perennial,
"Antennaria rosulata",Asteraceae,ANRO3,native,5,,forb,perennial,
"Antennaria umbrinella",Asteraceae,ANUM,native,8,,forb,perennial,
"Anthemis arvensis",Asteraceae,ANAR6,non-native,0,,forb,annual,
"Anthemis cotula",Asteraceae,ANCO2,non-native,0,,forb,annual,
"Anthemis tinctoria",Asteraceae,ANTI,non-native,0,,forb,perennial,
"Anthoxanthum hirtum",Poaceae,ANHI8,native,9,,grass,perennial,
"Anthoxanthum odoratum",Poaceae,ANOD,non-native,0,,grass,perennial,
"Apera interrupta",Poaceae,APIN,non-native,0,,grass,annual,
"Apios americana",Fabaceae,APAM,native,3,,vine,perennial,
"Apocynum androsaemifolium",Apocynaceae,APAN2,native,1,,forb,perennial,
"Apocynum cannabinum",Apocynaceae,APCA,native,2,,forb,perennial,
"Apocynum �floribundum",Apocynaceae,APFL,native,4,,forb,perennial,
"Aquilegia barnebyi",Ranunculaceae,AQBA,native,10,,forb,perennial,
"Aquilegia chrysantha",Ranunculaceae,AQCH,native,9,,forb,perennial,
"Aquilegia coerulea",Ranunculaceae,AQCO,native,8,,forb,perennial,
"Aquilegia coerulea var. coerulea",Ranunculaceae,AQCOC,native,8,,forb,perennial,
"Aquilegia coerulea var. ochroleuca",Ranunculaceae,AQCOO,native,8,,forb,perennial,
"Aquilegia elegantula",Ranunculaceae,AQEL,native,10,,forb,perennial,
"Aquilegia micrantha",Ranunculaceae,AQMI,native,10,,forb,perennial,
"Aquilegia saximontana",Ranunculaceae,AQSA,native,9,,forb,perennial,
"Arabis pycnocarpa var. pycnocarpa",Brassicaceae,#REF!,native,3,,forb,annual,
"Aralia nudicaulis",Araliaceae,ARNU2,native,9,,forb,perennial,
"Aralia racemosa ssp. bicrenata",Araliaceae,ARRAB2,native,9,,forb,perennial,
"Arceuthobium americanum",Viscaceae,ARAM,native,5,,shrub,perennial,
"Arceuthobium cyanocarpum",Viscaceae,ARCY2,native,5,,shrub,perennial,
"Arceuthobium divaricatum",Viscaceae,ARDI3,native,5,,shrub,perennial,
"Arceuthobium douglasii",Viscaceae,ARDO,native,5,,shrub,perennial,
"Arceuthobium vaginatum ssp. cryptopodum",Viscaceae,ARVAC,native,5,,shrub,perennial,
"Arctium lappa",Asteraceae,ARLA3,non-native,0,,forb,biennial,
"Arctium minus",Asteraceae,ARMI2,non-native,0,,forb,biennial,
"Arctium tomentosum",Asteraceae,ARTO,non-native,0,,forb,biennial,
"Arctostaphylos patula",Ericaceae,ARPA6,native,8,,shrub,perennial,
"Arctostaphylos uva-ursi",Ericaceae,ARUV,native,6,,shrub,perennial,
"Arenaria lanuginosa ssp. saxosa",Caryophyllaceae,ARLAS,native,5,,forb,perennial,
"Arenaria serpyllifolia",Caryophyllaceae,ARSE2,non-native,0,,forb,annual,
"Argemone hispida",Papaveraceae,ARHI4,native,5,,forb,perennial,
"Argemone polyanthemos",Papaveraceae,ARPO2,native,3,,forb,annual,
"Argemone squarrosa ssp. squarrosa",Papaveraceae,ARSQS,native,5,,forb,perennial,
"Argyrochosma fendleri",Pteridaceae,ARFE5,native,7,,forb,perennial,
"Argythamnia mercurialina",Euphorbiaceae,ARME5,native,7,,forb,perennial,
"Aristida adscensionis",Poaceae,ARAD,native,6,,grass,annual,
"Aristida basiramea",Poaceae,ARBA2,native,7,,grass,annual,
"Aristida dichotoma",Poaceae,ARDI4,native,7,,grass,annual,
"Aristida divaricata",Poaceae,ARDI5,native,5,,grass,perennial,
"Aristida havardii",Poaceae,ARHA3,native,7,,grass,perennial,
"Aristida oligantha",Poaceae,AROL,native,5,,grass,annual,
"Aristida purpurea",Poaceae,ARPU9,native,3,,grass,annual,
"Aristida purpurea var. fendleriana",Poaceae,ARPUF,native,5,,grass,perennial,
"Aristida purpurea var. longiseta",Poaceae,ARPUL,native,4,,grass,perennial,
"Aristida purpurea var. nealleyi",Poaceae,ARPUN,native,8,,grass,perennial,
"Aristida purpurea var. purpurea",Poaceae,ARPUP6,native,2,,grass,perennial,
"Aristida purpurea var. wrightii",Poaceae,ARPUW,native,8,,grass,annual,
"Armeria maritima ssp. sibirica",Plumbaginaceae,ARMAS,native,9,,forb,perennial,
"Armoracia rusticana",Brassicaceae,ARRU4,non-native,0,,forb,perennial,
"Arnica angustifolia ssp. tomentosa",Asteraceae,ARANT,native,10,,forb,perennial,
"Arnica chamissonis",Asteraceae,ARCH3,native,8,,forb,perennial,
"Arnica cordifolia",Asteraceae,ARCO9,native,7,,forb,perennial,
"Arnica fulgens",Asteraceae,ARFU3,native,6,,forb,perennial,
"Arnica latifolia",Asteraceae,ARLA8,native,8,,forb,perennial,
"Arnica longifolia",Asteraceae,ARLO6,native,10,,forb,perennial,
"Arnica mollis",Asteraceae,ARMO4,native,7,,forb,perennial,
"Arnica parryi",Asteraceae,ARPA13,native,8,,forb,perennial,
"Arnica rydbergii",Asteraceae,ARRY,native,10,,forb,perennial,
"Arrhenatherum elatius",Poaceae,AREL3,non-native,0,,grass,perennial,
"Artemisia abrotanum",Asteraceae,ARAB2,non-native,0,,shrub,perennial,
"Artemisia absinthium",Asteraceae,ARAB3,non-native,0,,forb,perennial,
"Artemisia annua",Asteraceae,ARAN3,non-native,0,,forb,annual,
"Artemisia arbuscula",Asteraceae,ARAR8,native,6,,shrub,perennial,
"Artemisia arbuscula ssp. arbuscula",Asteraceae,ARARA,native,6,,shrub,perennial,
"Artemisia arbuscula ssp. longiloba",Asteraceae,ARARL,native,6,,shrub,perennial,
"Artemisia arctica",Asteraceae,ARAR9,native,9,,shrub,perennial,
"Artemisia biennis var. biennis",Asteraceae,ARBIB,non-native,0,,forb,annual,
"Artemisia bigelovii",Asteraceae,ARBI3,native,7,,shrub,perennial,
"Artemisia campestris",Asteraceae,ARCA12,native,5,,forb,biennial,
"Artemisia campestris var. caudata",Asteraceae,ARCAC11,native,5,,forb,perennial,
"Artemisia campestris var. pacifica",Asteraceae,ARCAP3,native,5,,forb,biennial,
"Artemisia campestris var. purshii",Asteraceae,ARCAP5,native,5,,forb,biennial,
"Artemisia cana",Asteraceae,ARCA13,native,5,,shrub,perennial,
"Artemisia cana ssp. cana",Asteraceae,ARCAC5,native,5,,shrub,perennial,
"Artemisia cana ssp. viscidula",Asteraceae,ARCAV2,native,5,,shrub,perennial,
"Artemisia carruthii",Asteraceae,ARCA14,native,5,,forb,perennial,
"Artemisia dracunculus",Asteraceae,ARDR4,native,3,,forb,perennial,
"Artemisia filifolia",Asteraceae,ARFI2,native,5,,shrub,perennial,
"Artemisia franserioides",Asteraceae,ARFR3,native,4,,forb,perennial,
"Artemisia frigida",Asteraceae,ARFR4,native,4,,shrub,perennial,
"Artemisia longifolia",Asteraceae,ARLO7,native,6,,shrub,perennial,
"Artemisia ludoviciana",Asteraceae,ARLU,native,4,,forb,perennial,
"Artemisia ludoviciana var. albula",Asteraceae,ARLUA2,native,9,,forb,perennial,
"Artemisia ludoviciana var. incompta",Asteraceae,ARLUI,native,3,,forb,perennial,
"Artemisia ludoviciana var. ludoviciana",Asteraceae,ARLUL2,native,4,,forb,perennial,
"Artemisia ludoviciana var. mexicana",Asteraceae,ARLUM,native,2,,forb,perennial,
"Artemisia michauxiana",Asteraceae,ARMI4,native,4,,forb,perennial,
"Artemisia nova",Asteraceae,ARNO4,native,6,,shrub,perennial,
"Artemisia parryi",Asteraceae,ARPA17,native,7,,forb,perennial,
"Artemisia pattersonii",Asteraceae,ARPA18,native,9,,forb,perennial,
"Artemisia pedatifida",Asteraceae,ARPE6,native,6,,shrub,perennial,
"Artemisia pygmaea",Asteraceae,ARPY2,native,6,,shrub,perennial,
"Artemisia scopulorum",Asteraceae,ARSC,native,6,,forb,perennial,
"Artemisia spiciformis",Asteraceae,ARSP8,native,6,,shrub,perennial,
"Artemisia spinescens",Asteraceae,ARSP5,native,6,,shrub,perennial,
"Artemisia tridentata",Asteraceae,ARTR2,native,5,,tree,perennial,
"Artemisia tridentata var. tridentata",Asteraceae,ARTRT,native,4,,shrub,perennial,
"Artemisia tridentata var. vaseyana",Asteraceae,ARTRV2,native,5,,shrub,perennial,
"Artemisia tridentata var. wyomingensis",Asteraceae,ARTRW,native,6,,shrub,perennial,
"Artemisia tripartita var. tripartita",Asteraceae,ARTRT2,native,5,,shrub,perennial,
"Asclepias arenaria",Apocynaceae,ASAR,native,7,,forb,perennial,
"Asclepias asperula ssp. asperula",Apocynaceae,ASASA,native,8,,forb,perennial,
"Asclepias cryptoceras ssp. cryptoceras",Apocynaceae,ASCRC2,native,8,,forb,perennial,
"Asclepias engelmanniana",Apocynaceae,ASEN,native,5,,forb,perennial,
"Asclepias hallii",Apocynaceae,ASHA6,native,6,,forb,perennial,
"Asclepias incarnata",Apocynaceae,ASIN,native,4,,forb,perennial,
"Asclepias involucrata",Apocynaceae,ASIN14,native,6,,forb,perennial,
"Asclepias latifolia",Apocynaceae,ASLA4,native,4,,forb,perennial,
"Asclepias macrosperma",Apocynaceae,ASMA10,native,3,,forb,perennial,
"Asclepias macrotis",Apocynaceae,ASMA,native,8,,shrub,perennial,
"Asclepias oenotheroides",Apocynaceae,ASOE,native,8,,forb,perennial,
"Asclepias pumila",Apocynaceae,ASPU,native,4,,forb,perennial,
"Asclepias rusbyi",Apocynaceae,ASRU6,native,5,,forb,perennial,
"Asclepias speciosa",Apocynaceae,ASSP,native,3,,forb,perennial,
"Asclepias stenophylla",Apocynaceae,ASST,native,7,,forb,perennial,
"Asclepias subverticillata",Apocynaceae,ASSU2,native,3,,forb,perennial,
"Asclepias tuberosa ssp. interior",Apocynaceae,ASTUI,native,7,,forb,perennial,
"Asclepias uncialis ssp. uncialis",Apocynaceae,ASUNU2,native,8,,forb,perennial,
"Asclepias viridiflora",Apocynaceae,ASVI,native,6,,forb,perennial,
"Asparagus officinalis",Asparagaceae,ASOF,non-native,0,,forb,perennial,
"Asperugo procumbens",Boraginaceae,ASPR,non-native,0,,forb,annual,
"Asplenium adiantum-nigrum",Aspleniaceae,ASAD,native,9,,forb,perennial,
"Asplenium platyneuron",Aspleniaceae,ASPL,native,10,,forb,perennial,
"Asplenium resiliens",Aspleniaceae,ASRE,native,10,,forb,perennial,
