"Dakotas (excluding the Black Hills)"
2017
"Jeff Hansen used the Dakotas 2001 database and updated nomenclature using ITIS"
"Dakotas (excluding the Black Hills)  , 2017"

"Total Species:",1558
"Native Species:",1285
"Non-native Species:",273
"Total Mean C:",5.1
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abronia fragrans",Nyctaginaceae,,native,7,5,forb,perennial,"sweet sand verbena"
"Abutilon theophrasti",Malvaceae,,non-native,0,5,forb,annual,velvetleaf
"Acalypha rhomboidea",Euphorbiaceae,,native,0,5,forb,annual,"rhombic copperleaf"
"Acalypha virginica",Euphorbiaceae,,native,0,4,forb,annual,"virginia mercury"
"Acer negundo",Sapindaceae,,native,1,0,tree,perennial,"box elder"
"Acer saccharinum",Sapindaceae,,native,4,-3,tree,perennial,"silver maple"
"Acer saccharum",Sapindaceae,,native,10,3,tree,perennial,"sugar maple"
"Achillea alpina",Asteraceae,,native,10,5,forb,perennial,"siberian tarrow"
"Achillea millefolium",Asteraceae,,native,3,5,forb,perennial,"common yarrow"
"Achnatherum hymenoides",Poaceae,,native,5,3,grass,perennial,"indian ricegrass"
"Acmispon americanus var. americanus",Fabaceae,,native,3,5,forb,annual,"prairie trefoil"
"Acorus calamus",Acoraceae,,non-native,0,-5,forb,perennial,"sweet flag"
"Actaea rubra",Ranunculaceae,,native,8,5,forb,perennial,baneberry
"Adiantum capillus-veneris",Pteridaceae,,native,8,-3,fern,perennial,"venus-hair fern"
"Aegilops cylindrica",Poaceae,,non-native,0,5,grass,annual,"jointed goatgrass"
"Agalinis aspera",Orobanchaceae,,native,9,3,forb,annual,"tall false foxglove"
"Agalinis tenuifolia",Orobanchaceae,,native,8,-3,forb,annual,"slenderleaf false foxglove"
"Agastache foeniculum",Lamiaceae,,native,7,-3,forb,perennial,"lavender hyssop"
"Agastache nepetoides",Lamiaceae,,native,8,0,forb,perennial,"catnip giant hyssop"
"Agastache scrophulariifolia",Lamiaceae,,native,9,-3,forb,perennial,"purple giant hyssop"
"Ageratina altissima var. altissima",Asteraceae,,native,6,5,forb,perennial,"white snakeroot"
"Agoseris glauca",Asteraceae,,native,8,0,forb,perennial,"false dandelion"
"Agrimonia gryposepala",Rosaceae,,native,5,0,forb,perennial,"hooked agrimony"
"Agrimonia striata",Rosaceae,,native,5,3,forb,perennial,"striate agrimony"
"Agropyron cristatum",Poaceae,,non-native,0,5,grass,perennial,"crested wheatgrass"
"Agrostemma githago",Caryophyllaceae,,non-native,0,5,forb,annual,"corn cockle"
"Agrostis exarata",Poaceae,,native,10,-3,grass,perennial,spikebent
"Agrostis hyemalis",Poaceae,,native,1,-3,grass,perennial,ticklegrass
"Agrostis perennans",Poaceae,,native,2,-3,grass,perennial,"autumn bent"
"Agrostis scabra",Poaceae,,native,1,0,grass,perennial,ticklegrass
"Agrostis stolonifera",Poaceae,,non-native,0,-3,grass,perennial,redtop
"Alcea rosea",Malvaceae,,non-native,0,5,forb,biennial,hollyhock
"Alisma gramineum",Alismataceae,,native,2,-5,forb,perennial,"narrowleaf water plantain"
"Alisma subcordatum",Alismataceae,,native,2,-5,forb,perennial,"common water plantain"
"Alisma triviale",Alismataceae,,native,2,-5,forb,perennial,"large-flowered water plantain"
"Alliaria petiolata",Brassicaceae,,non-native,0,3,forb,biennial,"garlic mustard"
"Allium canadense var. canadense",Amaryllidaceae,,native,8,5,forb,perennial,"wild onion"
"Allium canadense var. fraseri",Amaryllidaceae,,native,8,5,forb,perennial,"wild onion"
"Allium canadense var. lavendulare",Amaryllidaceae,,native,8,5,forb,perennial,"wild onion"
"Allium cernuum",Amaryllidaceae,,native,8,5,forb,perennial,"nodding onion"
"Allium drummondii",Amaryllidaceae,,native,10,5,forb,perennial,"drummonds onion"
"Allium geyeri",Amaryllidaceae,,native,10,3,forb,perennial,"geyers onion"
"Allium perdulce",Amaryllidaceae,,native,9,5,forb,perennial,"plains onion"
"Allium stellatum",Amaryllidaceae,,native,7,5,forb,perennial,"pink wild onion"
"Allium textile",Amaryllidaceae,,native,7,5,forb,perennial,"white wild onion"
"Allium tricoccum",Amaryllidaceae,,native,10,3,forb,perennial,"wild leek"
"Almutaster pauciflorus",Asteraceae,,native,10,-3,forb,perennial,"few-flowered aster"
"Alnus incana ssp. rugosa",Betulaceae,,native,9,-3,shrub,perennial,"speckled alder"
"Alopecurus aequalis",Poaceae,,native,2,-5,grass,perennial,"shortawn foxtail"
"Alopecurus arundinaceus",Poaceae,,non-native,0,-3,grass,perennial,"creeping foxtail"
"Alopecurus carolinianus",Poaceae,,native,0,-3,grass,annual,"carolina foxtail"
"Alopecurus geniculatus",Poaceae,,native,0,-5,grass,perennial,"marsh foxtail"
"Alopecurus pratensis",Poaceae,,non-native,0,-3,grass,perennial,"meadow foxtail"
"Althaea officinalis",Malvaceae,,non-native,0,-3,forb,perennial,marshmallow
"Alyssum alyssoides",Brassicaceae,,non-native,0,5,forb,annual,"pale alyssum"
"Alyssum desertorum",Brassicaceae,,non-native,0,5,forb,annual,alyssum
"Amaranthus albus",Amaranthaceae,,native,0,3,forb,annual,tumbleweed
"Amaranthus arenicola",Amaranthaceae,,native,0,3,forb,annual,"sandhills pigweed"
"Amaranthus blitoides",Amaranthaceae,,native,0,3,forb,annual,"prostrate pigweed"
"Amaranthus hybridus",Amaranthaceae,,non-native,0,3,forb,annual,"slender pigweed"
"Amaranthus retroflexus",Amaranthaceae,,native,0,3,forb,annual,"rough pigweed"
"Amaranthus tuberculatus",Amaranthaceae,,native,0,-5,forb,annual,"tall waterhemp"
"Ambrosia acanthicarpa",Asteraceae,,native,0,5,forb,annual,"annual bursage"
"Ambrosia artemisiifolia",Asteraceae,,native,0,3,forb,annual,"common ragweed"
"Ambrosia psilostachya",Asteraceae,,native,2,0,forb,perennial,"western ragweed"
"Ambrosia tomentosa",Asteraceae,,native,0,5,forb,perennial,"perennial bursage"
"Ambrosia trifida",Asteraceae,,native,0,0,forb,annual,"giant ragweed"
"Amelanchier alnifolia",Rosaceae,,native,6,3,shrub,perennial,"saskatoon serviceberry"
"Amelanchier humilis",Rosaceae,,native,6,3,shrub,perennial,"low serviceberry"
"Amelanchier ovalis",Rosaceae,,native,6,3,shrub,perennial,"northern hawthorn"
"Ammannia auriculata",Lythraceae,,native,2,-5,forb,annual,"scarlet loosestrife"
"Ammannia coccinea",Lythraceae,,native,2,-5,forb,annual,toothcup
"Ammannia robusta",Lythraceae,,native,2,-5,forb,annual,"grand redstem"
"Amorpha canescens",Fabaceae,,native,9,5,shrub,perennial,"lead plant"
"Amorpha fruticosa",Fabaceae,,native,4,-3,shrub,perennial,"false indigo"
"Amorpha nana",Fabaceae,,native,9,5,shrub,perennial,"dwarf wild indigo"
"Amphicarpaea bracteata",Fabaceae,,native,8,3,vine,perennial,"hog peanut"
"Amphiscirpus nevadensis",Cyperaceae,,native,10,-5,sedge,perennial,"nevada bulrush"
"Amsinckia intermedia",Boraginaceae,,native,0,5,forb,annual,"ganders common fiddleneck"
"Anagallis minima",Primulaceae,,native,6,-5,forb,annual,chaffweed
"Anchusa arvensis",Boraginaceae,,non-native,0,5,forb,annual,"small bugloss"
"Andropogon gerardii",Poaceae,,native,5,3,grass,perennial,"big bluestem"
"Andropogon gerardii ssp. hallii",Poaceae,,native,5,5,grass,perennial,"sand bluestem"
"Androsace occidentalis",Primulaceae,,native,5,3,forb,annual,"western rock jasmine"
"Androsace septentrionalis",Primulaceae,,native,5,2,forb,annual,"northern rock jasmine"
"Anemone canadensis",Ranunculaceae,,native,4,-3,forb,perennial,"meadow anemone"
"Anemone caroliniana",Ranunculaceae,,native,8,5,forb,perennial,"carolina anemone"
