"Eastern Great Lakes and Hudson Lowlands (8.1.1)"
2018
"NatureServe-NEIWPCC Northeast FQA Project. Ring, R. and D. Faber-Langendoen. Database of coefficients of conservatism for Omernik Level 3 Ecoregion 83"
"Eastern Great Lakes and Hudson Lowlands (8.1.1) (NY, VT) (Omernik III Ecoregions: 83), 2018"

"Total Species:",3206
"Native Species:",2116
"Non-native Species:",1090
"Total Mean C:",4.1
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",,ABES,non-native,0,,,,
"Abies balsamea",,ABBA,native,5,,,,
"Abies concolor",,ABCO,non-native,0,,,,
"Abutilon theophrasti",,ABTH,non-native,0,,,,
"Acalypha gracilens",,ACGR2,native,6,,,,
"Acalypha rhomboidea",,ACRH,native,2,,,,
"Acalypha virginica",,ACVI,native,8,,,,
"Acer ginnala",,ACGI,non-native,0,,,,
"Acer negundo",,ACNE2,native,1,,,,
"Acer nigrum",,ACNI5,native,8,,,,
"Acer pensylvanicum",,ACPE,native,6,,,,
"Acer platanoides",,ACPL,non-native,0,,,,
"Acer pseudoplatanus",,ACPS,non-native,0,,,,
"Acer rubrum",,ACRU,native,3,,,,
"Acer saccharinum",,ACSA2,native,6,,,,
"Acer saccharum",,ACSA3,native,6,,,,
"Acer spicatum",,ACSP2,native,7,,,,
"Achillea ptarmica",,ACPT,non-native,0,,,,
"Acinos arvensis",,ACAR2,non-native,0,,,,
"Aconitum napellus",,ACNA,non-native,0,,,,
"Aconitum noveboracense",,ACNO2,native,10,,,,
"Aconitum uncinatum",,ACUN,non-native,0,,,,
"Acorus americanus",,ACAM,native,6,,,,
"Actaea pachypoda",,ACPA,native,7,,,,
"Actaea racemosa",,ACRA7,native,7,,,,
"Actaea rubra",,ACRU2,native,7,,,,
"Actinidia arguta",,ACAR10,non-native,0,,,,
"Adiantum aleuticum",,ADAL,native,9,,,,
"Adiantum hispidulum",,ADHI,non-native,0,,,,
"Adiantum pedatum",,ADPE,native,8,,,,
"Adiantum viridimontanum",,ADVI3,native,9,,,,
"Adlumia fungosa",,ADFU,native,9,,,,
"Adoxa moschatellina",,ADMO,native,9,,,,
"Aegopodium podagraria",,AEPO,non-native,0,,,,
"Aesculus glabra",,AEGL,non-native,0,,,,
"Aesculus hippocastanum",,AEHI,non-native,0,,,,
"Aethusa cynapium",,AECY2,non-native,0,,,,
"Agalinis maritima",,AGMA3,native,9,,,,
"Agalinis obtusifolia",,AGOB,native,8,,,,
"Agalinis paupercula",,AGPA12,native,6,,,,
"Agalinis purpurea",,AGPU5,native,6,,,,
"Agalinis setacea",,AGSE3,native,10,,,,
"Agalinis tenuifolia",,AGTE3,native,4,,,,
"Agastache foeniculum",,AGFO,non-native,0,,,,
"Agastache nepetoides",,AGNE2,native,7,,,,
"Agastache scrophulariifolia",,AGSC,native,3,,,,
"Ageratina altissima",,AGAL5,native,4,,,,
"Ageratum conyzoides",,AGCO,non-native,0,,,,
"Ageratum houstonianum",,AGHO3,non-native,0,,,,
"Agrimonia gryposepala",,AGGR2,native,4,,,,
"Agrimonia parviflora",,AGPA6,native,4,,,,
"Agrimonia pubescens",,AGPU,native,8,,,,
"Agrimonia rostellata",,AGRO3,native,8,,,,
"Agrimonia striata",,AGST,native,4,,,,
"Agropyron cristatum",,AGCR,non-native,0,,,,
"Agrostemma githago",,AGGI,non-native,0,,,,
"Agrostis canina",,AGCA4,non-native,0,,,,
"Agrostis capillaris",,AGCA5,non-native,0,,,,
"Agrostis elliottiana",,AGEL4,non-native,0,,,,
"Agrostis gigantea",,AGGI2,non-native,0,,,,
"Agrostis hyemalis",,AGHY,native,3,,,,
"Agrostis perennans",,AGPE,native,4,,,,
"Agrostis scabra",,AGSC5,native,3,,,,
"Agrostis stolonifera",,AGST2,native,3,,,,
"Ailanthus altissima",,AIAL,non-native,0,,,,
"Aira caryophyllea",,AICA,non-native,0,,,,
"Aira praecox",,AIPR,non-native,0,,,,
"Ajuga genevensis",,AJGE,non-native,0,,,,
"Ajuga reptans",,AJRE,non-native,0,,,,
"Akebia quinata",,AKQU,non-native,0,,,,
"Alcea rosea",,ALRO3,non-native,0,,,,
"Alchemilla monticola",,ALMO4,non-native,0,,,,
"Aletris farinosa",,ALFA2,native,9,,,,
"Alisma gramineum",,ALGR,native,7,,,,
"Alisma subcordatum",,ALSU,native,4,,,,
"Alisma triviale",,ALTR7,native,4,,,,
"Alliaria petiolata",,ALPE4,non-native,0,,,,
"Allium canadense",,ALCA3,native,5,,,,
"Allium cepa",,ALCE,non-native,0,,,,
"Allium cernuum",,ALCE2,native,7,,,,
"Allium schoenoprasum",,ALSC,native,9,,,,
"Allium schoenoprasum var. sibiricum",,ALSCS,native,5,,,,
"Allium tricoccum",,ALTR3,native,8,,,,
"Allium vineale",,ALVI,non-native,0,,,,
"Allium �proliferum",,ALPR6,non-native,0,,,,
"Alnus glutinosa",,ALGL2,non-native,0,,,,
"Alnus incana ssp. rugosa",,ALINR,native,5,,,,
"Alnus serrulata",,ALSE2,native,5,,,,
"Alnus viridis",,ALVI5,native,8,,,,
"Alopecurus aequalis",,ALAE,native,6,,,,
"Alopecurus carolinianus",,ALCA4,non-native,0,,,,
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,
"Alopecurus myosuroides",,ALMY,non-native,0,,,,
"Alopecurus pratensis",,ALPR3,non-native,0,,,,
"Althaea officinalis",,ALOF2,non-native,0,,,,
"Alyssum alyssoides",,ALAL3,non-native,0,,,,
"Amaranthus albus",,AMAL,native,2,,,,
"Amaranthus blitoides",,AMBL,native,2,,,,
"Amaranthus blitum",,AMBL2,non-native,0,,,,
"Amaranthus cannabinus",,AMCA2,native,6,,,,
"Amaranthus caudatus",,AMCA3,non-native,0,,,,
"Amaranthus cruentus",,AMCR4,non-native,0,,,,
"Amaranthus hybridus",,AMHY,native,1,,,,
"Amaranthus palmeri",,AMPA,non-native,0,,,,
"Amaranthus powellii",,AMPO2,non-native,0,,,,
"Amaranthus retroflexus",,AMRE,native,1,,,,
"Amaranthus spinosus",,AMSP,non-native,0,,,,
"Amaranthus tuberculatus",,AMTU,native,2,,,,
"Amaranthus viridis",,AMVI,non-native,0,,,,
"Ambrosia artemisiifolia",,AMAR2,native,1,,,,
"Ambrosia psilostachya",,AMPS,non-native,0,,,,
"Amelanchier amabilis",,AMAM4,native,8,,,,
"Amelanchier arborea",,AMAR3,native,5,,,,
"Amelanchier bartramiana",,AMBA,native,8,,,,
"Amelanchier canadensis",,AMCA4,native,5,,,,
"Amelanchier humilis",,AMHU2,native,8,,,,
"Amelanchier laevis",,AMLA,native,4,,,,
"Amelanchier sanguinea",,AMSA,native,7,,,,
"Amelanchier sanguinea var. sanguinea",,AMSAS,native,8,,,,
"Amelanchier stolonifera",,AMST80,native,6,,,,
"Amelanchier �intermedia",,AMIN4,native,7,,,,
"Amerorchis rotundifolia",,AMRO,native,10,,,,
"Amianthium muscitoxicum",,AMMU,native,10,,,,
"Ammophila breviligulata",,AMBR,native,7,,,,
"Ammophila champlainensis",,AMCH6,native,10,,,,
"Amorpha fruticosa",,AMFR,native,3,,,,
"Ampelopsis aconitifolia",,AMAC4,non-native,0,,,,
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,
"Ampelopsis cordata",,AMCO2,non-native,0,,,,
"Amphicarpaea bracteata",,AMBR2,native,5,,,,
"Amphicarpum amphicarpon",,AMAM,native,10,,,,
"Amsinckia douglasiana",,AMDO,non-native,0,,,,
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,
"Amsinckia menziesii",,AMME,non-native,0,,,,
"Amsinckia spectabilis",,AMSP3,non-native,0,,,,
"Amsonia tabernaemontana",,AMTA2,non-native,0,,,,
"Anagallis arvensis",,ANAR,non-native,0,,,,
"Anaphalis margaritacea",,ANMA,native,2,,,,
"Anchusa arvensis",,ANAR16,non-native,0,,,,
"Anchusa azurea",,ANAZ,non-native,0,,,,
"Anchusa barrelieri",,ANBA3,non-native,0,,,,
"Anchusa officinalis",,ANOF,non-native,0,,,,
"Andromeda polifolia",,ANPO,native,9,,,,
"Andropogon gerardii",,ANGE,native,5,,,,
"Andropogon virginicus",,ANVI2,native,4,,,,
"Androsace occidentalis",,ANOC2,non-native,0,,,,
"Anemone canadensis",,ANCA8,native,4,,,,
"Anemone cylindrica",,ANCY,native,7,,,,
"Anemone multifida var. multifida",,ANMUM3,native,10,,,,
"Anemone quinquefolia",,ANQU,native,5,,,,
"Anemone virginiana",,ANVI3,native,5,,,,
"Anethum graveolens",,ANGR2,non-native,0,,,,
"Angelica atropurpurea",,ANAT,native,5,,,,
"Angelica venenosa",,ANVE,native,8,,,,
"Anoda cristata",,ANCR2,non-native,0,,,,
"Antennaria howellii",,ANHO,native,3,,,,
"Antennaria neglecta",,ANNE,native,2,,,,
"Antennaria parlinii",,ANPA9,native,3,,,,
"Antennaria plantaginifolia",,ANPL,native,4,,,,
"Anthemis arvensis",,ANAR6,non-native,0,,,,
"Anthemis cotula",,ANCO2,non-native,0,,,,
"Anthemis tinctoria",,ANTI,non-native,0,,,,
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,
"Anthriscus cerefolium",,ANCE,non-native,0,,,,
"Anthriscus sylvestris",,ANSY,non-native,0,,,,
"Anthyllis vulneraria",,ANVU,non-native,0,,,,
"Antirrhinum majus",,ANMA3,non-native,0,,,,
"Apera interrupta",,APIN,non-native,0,,,,
"Apera spica-venti",,APSP,non-native,0,,,,
"Apios americana",,APAM,native,5,,,,
"Apium graveolens",,APGR2,non-native,0,,,,
