"WA - Eastern Washington State (Columbia Basin)"
2013
"F. J. Rocchio and R. C. Crawford. 2013. Floristic Quality Assessment for Washington Vegetation. Washington Natural Heritage Program, Washington Department of Natural Resources, Olympia, Washington. Baseline nomenclature: USDA PLANTS"
"WA - Eastern Washington State (Columbia Basin)  , 2013"

"Total Species:",2734
"Native Species:",2083
"Non-native Species:",651
"Total Mean C:",4
"Native Mean C:",5.3

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies amabilis",Pinaceae,,native,5,3,tree,perennial,
"Abies concolor",Pinaceae,,native,4,0,tree,perennial,
"Abies grandis",Pinaceae,,native,3,3,tree,perennial,
"Abies lasiocarpa",Pinaceae,,native,3,3,tree,perennial,
"Abies procera",Pinaceae,,native,4,0,tree,perennial,
"Abronia fragrans",Nyctaginaceae,,native,6,0,forb,perennial,
"Abronia latifolia",Nyctaginaceae,,native,5,0,forb,perennial,
"Abronia mellifera",Nyctaginaceae,,native,6,0,forb,perennial,
"Abutilon theophrasti",Malvaceae,,non-native,0,5,forb,annual,
"Acer circinatum",Aceraceae,,native,2,0,tree,perennial,
"Acer glabrum var. douglasii",Aceraceae,,native,4,0,tree,perennial,
"Acer macrophyllum",Aceraceae,,native,3,0,tree,perennial,
"Acer negundo var. interius;acer negundo",Aceraceae,,non-native,0,0,tree,perennial,
"Acer negundo var. violaceum;acer negundo;acer negundo var. violaceum",Aceraceae,,non-native,0,0,tree,perennial,
"Acer negundo;acer negundo var. negundo  var. violaceum",Aceraceae,,non-native,0,0,tree,perennial,
"Acer platanoides",Aceraceae,,non-native,0,5,tree,perennial,
"Acer pseudoplatanus",Aceraceae,,non-native,0,0,tree,perennial,
"Acer rubrum",Aceraceae,,non-native,0,0,tree,perennial,
"Acer saccharinum",Aceraceae,,non-native,0,0,tree,perennial,
"Achillea millefolium",Asteraceae,,native,2,3,forb,perennial,
"Achillea millefolium var. millefolium;achillea millefolium",Asteraceae,,non-native,0,3,forb,perennial,
"Achlys triphylla",Berberidaceae,,native,5,0,forb,perennial,
"Achnatherum hendersonii;oryzopsis hendersonii;achnatherum hendersonii",Poaceae,,native,6,0,grass,perennial,
"Achnatherum hymenoides;oryzopsis hymenoides;achnatherum hymenoides",Poaceae,,native,3,0,grass,perennial,
"Achnatherum lemmonii var. lemmonii;stipa lemmonii var. lemmonii;achnatherum lemmonii ssp. lemmonii",Poaceae,,native,5,0,grass,perennial,
"Achnatherum lettermanii;stipa lettermanii",Poaceae,,native,6,0,grass,perennial,
"Achnatherum nelsonii ssp. dorei;stipa occidentalis var. minor;achnatherum nelsonii ssp. dorei",Poaceae,,native,3,3,grass,perennial,
"Achnatherum nelsonii ssp. nelsonii;stipa occidentalis var. nelsonii",Poaceae,,native,3,3,grass,perennial,
"Achnatherum occidentale ssp. pubescens;stipa occidentalis var. occidentalis;achnatherum occidentale ssp. pubescens",Poaceae,,native,7,0,grass,perennial,
"Achnatherum occidentale;stipa occidentalis;achnatherum occidentale ssp. californicum  ssp. pubescens",Poaceae,,native,4,0,grass,perennial,
"Achnatherum richardsonii;stipa richardsonii;achnatherum richardsonii",Poaceae,,native,4,0,grass,perennial,
"Achnatherum thurberianum;stipa thurberiana;achnatherum thurberianum",Poaceae,,native,5,0,grass,perennial,
"Acinos arvensis;satureja acinos;acinos arvensis",Lamiaceae,,non-native,0,0,forb,perennial,
"Aconitum columbianum;aconitum columbianum ssp. columbianum",Ranunculaceae,,native,5,-3,forb,perennial,
"Acorus americanus;acorus calamus;acorus americanus",Acoraceae,,native,8,-5,forb,perennial,
"Acroptilon repens;centaurea repens;acroptilon repens",Asteraceae,,non-native,0,0,forb,perennial,
"Actaea elata;cimicifuga elata",Ranunculaceae,,native,6,0,forb,perennial,
"Actaea rubra",Ranunculaceae,,native,7,0,forb,perennial,
"Adenocaulon bicolor",Asteraceae,,native,4,0,forb,perennial,
"Adiantum aleuticum;adiantum pedatum;adiantum aleuticum",Pteridaceae,,native,7,0,forb,perennial,
"Adonis annua",Ranunculaceae,,non-native,0,0,forb,annual,
"Aegilops cylindrica",Poaceae,,non-native,0,0,grass,annual,
"Aegopodium podagraria",Apiaceae,,non-native,0,0,forb,perennial,
"Agastache occidentalis",Lamiaceae,,native,4,0,forb,perennial,
"Agastache urticifolia var. urticifolia;agastache urticifolia",Lamiaceae,,native,3,3,forb,perennial,
"Ageratina aromatica",Asteraceae,,non-native,0,0,forb,perennial,
"Ageratina occidentalis;eupatorium occidentale;ageratina occidentalis",Asteraceae,,native,8,0,forb,perennial,
"Agoseris aurantiaca var. aurantiaca",Asteraceae,,native,7,0,forb,perennial,
"Agoseris aurantiaca;agoseris aurantiaca var. aurantiaca",Asteraceae,,native,6,0,forb,perennial,
