"Illinois "
2020
"Illinois 1997 list with family names (edited by C. Benda)"
"Illinois  (IL) , 2020"

"Total Species:",3040
"Native Species:",2084
"Non-native Species:",956
"Total Mean C:",4.4
"Native Mean C:",6.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",Malvaceae,ABEESC,non-native,0,5,forb,annual,okra
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,4,forb,annual,buttonweed
"Acalypha deamii",Euphorbiaceae,ACADEA,native,8,5,forb,annual,"large-seeded mercury"
"Acalypha gracilens",Euphorbiaceae,ACAGRA,native,4,5,forb,annual,"slender three-seeded mercury"
"Acalypha ostryaefolia",Euphorbiaceae,ACAOST,native,1,5,forb,annual,"three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,0,3,forb,annual,"three-seeded mercury"
"Acalypha virginica",Euphorbiaceae,ACAVIR,native,2,3,forb,annual,"three-seeded mercury"
"Acer floridanum",Aceraceae,ACEFLO,native,5,3,tree,perennial,"southern sugar maple"
"Acer ginnala",Aceraceae,ACEGIN,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo",Aceraceae,ACENEG,native,1,-2,tree,perennial,boxelder
"Acer nigrum",Aceraceae,ACENIG,native,6,5,tree,perennial,"black maple"
"Acer platanoides",Aceraceae,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer pseudoplatanus",Aceraceae,ACEPSE,non-native,0,5,tree,perennial,"sycamore maple"
"Acer rubrum",Aceraceae,ACERUR,native,5,0,tree,perennial,"red maple"
"Acer rubrum v. drummondii",Aceraceae,ACERUD,native,5,-5,tree,perennial,"drummonds red maple"
"Acer rubrum v. trilobum",Aceraceae,ACERUT,native,5,3,tree,perennial,"red maple"
"Acer saccharinum",Aceraceae,ACESAI,native,1,-3,tree,perennial,"silver maple"
"Acer saccharum",Aceraceae,ACESAU,native,4,3,tree,perennial,"sugar maple"
"Achillea millefolium",Asteraceae,ACHMIL,non-native,0,3,forb,perennial,"common milfoil"
"Acorus americanus",Araceae,ACOAME,native,4,-5,forb,perennial,"flag root"
"Actaea pachypoda",Ranunculaceae,ACTPAC,native,7,5,forb,perennial,dolls-eyes
"Actaea rubra",Ranunculaceae,ACTRUB,native,8,5,forb,perennial,"red baneberry"
"Adiantum pedatum",Adiantaceae,ADIPED,native,6,1,fern,perennial,"maidenhair fern"
"Adlumia fungosa",Papaveraceae,ADLFUN,non-native,0,5,forb,biennial,"allegheny vine"
"Adoxa moschatellina",Adoxaceae,ADOMOS,native,10,0,forb,perennial,moschatel
"Aegopodium podagraria",Apiaceae,AEGPOD,non-native,0,0,forb,perennial,goutweed
"Aesculus glabra",Hippocastenaceae,AESGLA,native,5,-1,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",Hippocastenaceae,AESHIP,non-native,0,5,tree,perennial,horse-chestnut
"Aesculus pavia",Hippocastenaceae,AESPAV,native,7,-1,tree,perennial,"red buckeye"
"Aethusa cynapium",Apiaceae,AETCYN,non-native,0,5,forb,annual,"fools parsley"
