Indiana
2019
"Update of 2004 Indiana database"
"Indiana  , 2019"

"Total Species:",2821
"Native Species:",1969
"Non-native Species:",852
"Total Mean C:",4.2
"Native Mean C:",6.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,3,forb,annual,buttonweed
"Acalypha deamii",Euphorbiaceae,ACADEA,native,5,3,forb,annual,"large-seeded mercury"
"Acalypha gracilens",Euphorbiaceae,ACAGRA,native,3,3,forb,annual,"slender three-seeded mercury"
"Acalypha ostryifolia",Euphorbiaceae,ACAOST,native,0,5,forb,annual,"pineland three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,0,3,forb,annual,"common three-seeded mercury"
"Acalypha virginica",Euphorbiaceae,ACAVIR,native,0,3,forb,annual,"virginia three-seeded mercury"
"Acer campestre",Sapindaceae,ACECAM,non-native,0,5,tree,perennial,"hedge maple"
"Acer negundo",Sapindaceae,ACENEG,native,1,0,tree,perennial,boxelder
"Acer nigrum",Sapindaceae,ACENIG,native,6,3,tree,perennial,"black maple"
"Acer platanoides",Sapindaceae,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer rubrum (including 2 varieties)",Sapindaceae,ACERUB,native,5,0,tree,perennial,"red maple"
"Acer saccharinum",Sapindaceae,ACESAI,native,1,-3,tree,perennial,"silver maple"
"Acer saccharum (including 1 variety)",Sapindaceae,ACESAR,native,4,3,tree,perennial,"sugar maple"
"Achillea filipendulina",Asteraceae,ACHFIL,non-native,0,5,forb,perennial,"fern-leaf yarrow"
"Achillea millefolium",Asteraceae,ACHMIL,native,0,3,forb,perennial,"common milfoil"
"Achillea ptarmica",Asteraceae,ACHPTA,non-native,0,3,forb,perennial,"pearl yarrow"
"Achyranthes japonica var. hachijoensis",Amaranthaceae,ACHJAP,non-native,0,,forb,perennial,"japanese chaff flower"
"Acinos arvensis",Lamiaceae,ACIARV,non-native,0,,forb,perennial,"basil thyme"
"Acmispon americanus var. americanus",Fabaceae,ACMAME,native,0,3,forb,perennial,"american birds-foot trefoil"
"Aconitum uncinatum",Ranunculaceae,ACOUNC,native,9,0,forb,perennial,"hooked munkshood"
"Acorus americanus",Acoraceae,ACOAME,native,10,-5,forb,perennial,"american sweet flag"
"Acorus calamus",Acoraceae,ACOCAL,non-native,0,-5,forb,perennial,"european sweet flag"
"Actaea pachypoda",Ranunculaceae,ACTPAC,native,7,3,forb,perennial,dolls-eyes
"Actaea racemosa",Ranunculaceae,ACTRAC,native,9,5,forb,perennial,"false bugbane"
"Actaea rubifolia",Ranunculaceae,ACTRUF,native,10,3,forb,perennial,"black cohosh"
"Actaea rubra",Ranunculaceae,ACTRUB,native,9,3,forb,perennial,"red baneberry"
"Adiantum pedatum",1-pteridaceae,ADIPED,native,7,3,fern,perennial,"maidenhair fern"
"Adlumia fungosa",Papaveraceae,ADLFUN,native,10,5,forb,biennial,"allegheny vine"
"Aegilops cylindrica",Poaceae,AEGCYL,non-native,0,5,grass,annual,"jointed goat grass"
"Aegopodium podagraria",Apiaceae,AEGPOD,non-native,0,0,forb,perennial,goutweed
"Aesculus flava",Sapindaceae,AESFLA,native,10,3,tree,perennial,"yellow buckeye"
"Aesculus glabra var. glabra",Sapindaceae,AESGLA,native,5,0,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",Sapindaceae,AESHIP,non-native,0,3,tree,perennial,"horse chestnut"
"Aesculus pavia",Sapindaceae,AESPAV,non-native,0,0,tree,perennial,"red buckeye"
"Aethusa cynapium",Apiaceae,AETCYN,non-native,0,5,forb,annual,"fools parsley"
"Agalinis auriculata",Orobanchaceae,AGAAUR,native,8,5,forb,annual,"eared false foxglove"
"Agalinis fasciculata",Orobanchaceae,AGAFAS,native,3,0,forb,annual,"clustered false foxglove"
