"Interior Plateau (EPA Ecoregions 70,71,72), of KY, TN, and AL"
2013
"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA. developed with 15 expert botanists"
"Interior Plateau (EPA Ecoregions 70,71,72), of KY, TN, and AL  , 2013"

"Total Species:",3473
"Native Species:",3251
"Non-native Species:",222
"Total Mean C:",5.5
"Native Mean C:",5.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Acalypha deamii",,ACDE4,native,6,,forb,annual,"deams threeseed mercury"
"Acalypha gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. delzii",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. fraseri",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,3,forb,annual,"common threeseed mercury"
"Acalypha rhomboidea var. deamii",,ACDE4,native,6,,forb,annual,"deams threeseed mercury"
"Acalypha virginica var. deamii",,ACDE4,native,6,,forb,annual,"deams threeseed mercury"
"Acalypha virginica var. gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha virginica var. rhomboidea",,ACRH,native,2,3,forb,annual,"common threeseed mercury"
"Acer dasycarpum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer negundo",,ACNE2,native,3,0,tree,perennial,boxelder
"Acer rubrum",,ACRU,native,4,0,tree,perennial,"red maple"
"Acer rubrum ssp. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer rubrum var. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer saccharinum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer saccharinum var. laciniatum",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acer saccharinum var. wieri",,ACSA2,native,4,-3,tree,perennial,"silver maple"
"Acerates hirtella",,ASHI,native,8,0,forb,perennial,"green milkweed"
"Acmella oppositifolia var. repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acmella repens",,ACOPR,native,5,-3,forb,perennial,"oppositeleaf spotflower"
"Acnida altissima",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. prostrata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida altissima var. subnuda",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida concatenata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida subnuda",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tamariscina var. prostrata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acnida tuberculata",,AMTU,native,2,-3,forb,annual,"roughfruit amaranth"
"Acorus calamus",,ACCA4,non-native,0,-5,forb,perennial,"single-vein sweetflag"
"Actinomeris alternifolia",,VEAL,native,4,0,forb,perennial,wingstem
"Acuan illinoense",,DEIL,non-native,0,0,shrub,perennial,"illinois bundleflower"
"Adiantum pedatum",,ADPE,native,7,0,forb,perennial,"northern maidenhair"
"Aesculus flava",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus glabra",,AEGL,native,7,3,tree,perennial,"ohio buckeye"
"Aesculus octandra",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus octandra var. vestita",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus octandra var. virginica",,AEFL,native,7,3,tree,perennial,"yellow buckeye"
"Aesculus pavia",,AEPA,native,6,0,tree,perennial,"red buckeye"
"Afzelia macrophylla",,DAMA,native,7,3,forb,annual,"mullein foxglove"
"Agalinis decemloba",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis fasciculata",,AGFA2,native,5,0,forb,annual,"beach false foxglove"
"Agalinis fasciculata var. peninsularis",,AGFA2,native,5,0,forb,annual,"beach false foxglove"
"Agalinis georgiana",,AGFA2,native,5,0,forb,annual,"beach false foxglove"
"Agalinis keyensis",,AGOL,native,9,0,forb,annual,"ridgestem false foxglove"
"Agalinis obtusifolia",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis oligophylla",,AGOL,native,9,0,forb,annual,"ridgestem false foxglove"
"Agalinis oligophylla var. pseudaphylla",,AGOL,native,9,0,forb,annual,"ridgestem false foxglove"
"Agalinis parvifolia",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis pseudaphylla",,AGOL,native,9,0,forb,annual,"ridgestem false foxglove"
"Agalinis purpurea",,AGPU5,native,6,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. carteri",,AGPU5,native,6,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. racemulosa",,AGFA2,native,5,0,forb,annual,"beach false foxglove"
"Agalinis tenella",,AGOB,native,7,3,forb,annual,"tenlobe false foxglove"
"Agalinis tenuifolia",,AGTE3,native,5,0,forb,annual,"slenderleaf false foxglove"
"Agalinis virgata",,AGFA2,native,5,0,forb,annual,"beach false foxglove"
"Agastache nepetoides",,AGNE2,native,6,3,shrub,perennial,"yellow giant hyssop"
"Agrimonia bicknellii",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia mollis",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia parviflora",,AGPA6,native,5,-3,forb,perennial,harvestlice
"Agrimonia pubescens",,AGPU,native,4,,forb,perennial,"soft agrimony"
"Agrimonia rostellata",,AGRO3,native,6,3,forb,perennial,"beaked agrimony"
"Agrostis alba",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis altissima",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis antecedens",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis elata",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis frondosa",,MUFR2,native,6,0,grass,perennial,"wirestem muhly"
"Agrostis gigantea",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis hyemalis",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis mexicana",,MUME2,native,7,-3,grass,perennial,"mexican muhly"
"Agrostis oreophila",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans var. aestivalis",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis perennans var. elata",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis schweinitzii",,AGPE,native,6,3,grass,perennial,"upland bentgrass"
"Agrostis stolonifera",,AGST2,non-native,0,-3,grass,perennial,"spreading bent"
"Agrostis sylvatica",,MUSY,native,7,0,grass,perennial,"woodland muhly"
"Aira caespitosa",,DECE,native,10,-3,grass,perennial,"tufted hairgrass"
"Aira cespitosa",,DECE,native,10,-3,grass,perennial,"tufted hairgrass"
"Aira obtusata",,SPOB,native,4,0,grass,perennial,"prairie wedgescale"
"Aletris farinosa",,ALFA2,native,8,0,forb,perennial,"white colicroot"
"Alisma plantago-aquatica ssp. subcordatum",,ALSU,native,4,-5,forb,perennial,"american water plantain"
"Alisma plantago-aquatica var. parviflorum",,ALSU,native,4,-5,forb,perennial,"american water plantain"
"Alisma subcordatum",,ALSU,native,4,-5,forb,perennial,"american water plantain"
"Alnus glutinosa",,ALGL2,non-native,0,-3,tree,perennial,"european alder"
"Alnus incana var. serrulata",,ALSE2,native,6,-5,tree,perennial,"hazel alder"
"Alnus noveboracensis",,ALSE2,native,6,-5,tree,perennial,"hazel alder"
"Alnus serrulata",,ALSE2,native,6,-5,tree,perennial,"hazel alder"
"Alnus serrulata var. subelliptica",,ALSE2,native,6,-5,tree,perennial,"hazel alder"
"Alopecurus carolinianus",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
"Alopecurus macounii",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
"Alopecurus myosuroides",,ALMY,non-native,0,-3,grass,annual,"slender meadow-foxtail"
"Alopecurus pratensis",,ALPR3,non-native,0,-3,grass,perennial,"field meadow-foxtail"
"Alopecurus ramosus",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
