Iowa
2001
"Drobney, P.D., G.S. Wilhelm, D. Horton, M. Leoschke, D. Lewis, J. Pearson, D. Roosa, D. Smith. 2001. Floristic quality assessment for the state of Iowa. Unpublished report."
"Iowa  , 2001"

"Total Species:",1963
"Native Species:",1488
"Non-native Species:",475
"Total Mean C:",4.6
"Native Mean C:",6

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABIBAL,native,9,-3,tree,perennial,"balsam fir"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,4,forb,annual,buttonweed
"Acalypha gracilens",Euphorbiaceae,ACAGRA,native,4,5,forb,annual,"slender three-seeded mercury"
"Acalypha ostryifolia",Euphorbiacea,ACAOST,native,3,5,forb,annual,"three-seeded mercury"
"Acalypha rhomboidea",Euphorbiacea,ACARHO,native,6,3,forb,annual,"three-seeded mercury"
"Acalypha virginica",Euphorbiacea,ACAVIR,native,0,3,forb,annual,"three-seeded mercury"
"Acer ginnala",Aceraceae,ACEGIN,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo",Aceraceae,ACENEG,native,0,-2,tree,perennial,"box elder"
"Acer nigrum",Aceraceae,ACENIG,native,5,5,tree,perennial,"black maple"
"Acer rubrum",Aceraceae,ACERUR,non-native,0,0,tree,perennial,"red maple"
"Acer saccharinum",Aceraceae,ACESAI,native,1,-3,tree,perennial,"silver maple"
"Acer saccharum",Aceraceae,ACESAU,native,5,3,tree,perennial,"sugar maple"
"Acer spicatum",Aceraceae,ACESPI,native,10,3,tree,perennial,"mountain maple"
"Achillea millefolium lanulosa",Asteraceae,ACHMIL,native,0,3,forb,perennial,"western yarrow"
"Aconitum noveboracense",Ranunculaceae,ACONOV,native,10,,forb,perennial,"northern wild monkshood"
"Acorus calamus",Araceae,ACOCAL,native,8,-5,forb,perennial,sweetflag
"Actaea pachypoda",Ranunculaceae,ACTPAC,native,7,5,forb,perennial,"white baneberry"
"Actaea rubra",Ranunculaceae,ACTRUB,native,7,5,forb,perennial,"red baneberry"
"Adiantum pedatum",Adiantaceae,ADIPED,native,7,1,fern,perennial,"northern maidenhair fern"
"Adlumia fungosa",Papaveraceae,ADLFUN,non-native,0,5,forb,biennial,"allegheny vine"
"Adoxa moschatellina",Adoxaceae,ADOMOS,native,10,0,forb,perennial,moschatel
"Aegilops cylindrica",Poaceae,AEGCYL,non-native,0,5,grass,annual,"goat grass"
"Aesculus glabra",Hippocastanaceae,AESGLA,native,4,-1,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",Hippocastanacea,AESHIP,non-native,0,5,tree,perennial,"horse chestnut"
"Agalinis aspera",Scrophulariaceae,AGAASP,native,10,5,forb,annual,"rough false foxglove"
"Agalinis gattingeri",Scrophulariaceae,AGAGAT,native,10,5,forb,annual,"round-stemmed false foxglove"
"Agalinis paupercula",Scrophulariaceae,AGAPAU,native,8,-5,forb,annual,"false foxglove"
"Agalinis purpurea",Scrophulariaceae,AGAPUR,native,8,-3,forb,annual,"false foxglove"
"Agalinis skinneriana",Scrophulariaceae,AGASKI,native,10,5,forb,annual,"pale false foxglove"
"Agalinis tenuifolia",Scrophulariaceae,AGATEN,native,4,-3,forb,annual,"slender false foxglove"
"Agastache foeniculum",Lamiaceae,AGAFOE,native,7,,forb,perennial,"blue giant-hyssop"
