Kansas
2014
"Freeman, Craig C.  2014. Coefficients of conservatism for Kansas vascular plants and selected life history attributed. Kansas Biological Survey and R.L. McGregor Herbarium, University of Kansas."
"Kansas  , 2014"

"Total Species:",2306
"Native Species:",1791
"Non-native Species:",515
"Total Mean C:",3.7
"Native Mean C:",4.8

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abronia fragrans",Nyctaginaceae,,native,6,,forb,perennial,"sweet sand-verbena"
"Abutilon theophrasti",Malvaceae,,non-native,0,,forb,annual,"common velvetleaf"
"Acaciella angustissima var. angustissima",Fabaceae,,native,7,,forb,perennial,"prairie acacia"
"Acalypha deamii",Euphorbiaceae,,native,5,,forb,annual,"deams copperleaf"
"Acalypha monococca",Euphorbiaceae,,native,4,,forb,annual,"slender copperleaf"
"Acalypha ostryifolia",Euphorbiaceae,,native,0,,forb,annual,"rough-pod copperleaf"
"Acalypha rhomboidea",Euphorbiaceae,,native,1,,forb,annual,"rhombic copperleaf"
"Acalypha virginica",Euphorbiaceae,,native,0,,forb,annual,"virginia copperleaf"
"Acer ginnala",Sapindaceae,,non-native,0,,tree,perennial,"amur maple"
"Acer negundo var. interius",Sapindaceae,,native,1,,tree,perennial,"western boxelder"
"Acer negundo var. negundo",Sapindaceae,,native,1,,tree,perennial,"eastern boxelder"
"Acer negundo var. texanum",Sapindaceae,,native,1,,tree,perennial,"texas boxelder"
"Acer negundo var. violaceum",Sapindaceae,,native,1,,tree,perennial,"northern boxelder"
"Acer platanoides",Sapindaceae,,non-native,0,,tree,perennial,"norway maple"
"Acer saccharinum",Sapindaceae,,native,2,,tree,perennial,"silver maple"
"Acer saccharum subsp. saccharum",Sapindaceae,,native,6,,tree,perennial,"sugar maple"
"Achillea millefolium subsp. lanulosa",Asteraceae,,native,1,,forb,perennial,"western yarrow"
"Achnatherum hymenoides",Poaceae,,native,5,,forb,perennial,"indian rice grass"
"Achnatherum robustum",Poaceae,,non-native,0,,forb,perennial,"stout rice grass"
