"Louisiana (Coastal Prairie)"
2006
"Allain, L., L. Smith, C. Allen, M.F. Vidrine, and J.B. Grace. 2006. A Floristic Quality Assessment System for the Coastal Prairie of Louisiana.  Proceedings of the 19th North American Prairie Conference."
"Louisiana (Coastal Prairie)  , 2006"

"Total Species:",591
"Native Species:",512
"Non-native Species:",79
"Total Mean C:",3.8
"Native Mean C:",4.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abutilon theophrasti",Malvaceae,ABTH,non-native,0,4,forb,annual,"velvet leaf"
"Acalypha gracilens",Euphorbiaceae,ACGR2,native,3,5,forb,annual,"slender threeseed mercury"
"Acmella oppositifolia var. repens",Asteraceae,ACOPR,native,3,-3,forb,perennial,"creeping spotflower"
"Aeschynomene indica",Fabaceae,AEIN,non-native,0,-4,forb,annual,"indian joint vetch"
"Agalinis fasciculata",Scrophulariaceae,AGFA2,native,3,-1,forb,annual,"beach false-foxglove"
"Agalinis heterophylla",Scrophulariaceae,AGHE4,native,3,2,forb,annual,"prairie false-foxglove"
"Agalinis oligophylla",Scrophulariaceae,AGOL,native,5,0,forb,annual,"ridge stem false-foxglove"
"Agalinis skinneriana",Scrophulariaceae,AGSK,native,5,5,forb,annual,"skinners false-foxglove"
"Agalinis viridis",Scrophulariaceae,AGVI5,native,5,5,forb,annual,"green false-foxglove"
"Agrostis hyemalis",Poaceae,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Albizia julibrissin",Fabaceae,ALJU,non-native,0,5,tree,perennial,mimosa
"Aletris aurea",Liliaceae,ALAU,native,8,-4,forb,perennial,"golden colic-root"
"Aletris farinosa",Liliaceae,ALFA2,native,8,-1,forb,perennial,"white colic-root"
"Allium canadense var. canadense",Liliaceae,ALCAC,native,3,4,forb,perennial,"canada garlic"
"Allium canadense var. mobilense",Liliaceae,ALCAM,native,7,4,forb,perennial,"meadow garlic"
"Alopecurus carolinianus",Poaceae,ALCA4,native,1,-3,grass,annual,"carolina foxtail"
"Alternanthera philoxeroides",Amaranthaceae,ALPH,non-native,0,-5,forb,perennial,"alligator weed"
"Amaranthus hybridus",Amaranthaceae,AMHY,native,0,5,forb,annual,"hybrid pigweed"
"Ambrosia artemisiifolia",Asteraceae,AMAR2,native,0,3,forb,annual,"common ragweed"
"Ambrosia bidentata",Asteraceae,AMBI2,native,3,5,forb,annual,"lanceleaf ragweed"
"Ambrosia psilostachya",Asteraceae,AMPS,native,2,0,forb,perennial,"western ragweed"
"Ambrosia trifida",Asteraceae,AMTR,native,0,0,forb,annual,"giant ragweed"
"Ammannia coccinea",Lythraceae,AMCO,native,1,-4,forb,annual,"pink ammania"
"Ampelopsis arborea",Vitaceae,AMAR5,native,1,-1,vine,perennial,"pepper vine"
"Ampelopsis cordata",Vitaceae,AMCO2,native,1,-1,vine,perennial,"heartleaf pepper vine"
"Amsonia tabernaemontana",Apocynaceae,AMTA2,native,6,-3,forb,perennial,"eastern blue-star"
"Anagallis arvensis",Primulaceae,ANAR,non-native,0,2,forb,annual,"scarlett pimpernel"
"Anagallis minima",Primulaceae,ANMI4,native,1,-4,forb,annual,chaffweed
"Andropogon gerardii",Poaceae,ANGE,native,9,0,grass,perennial,"big bluestem"
"Andropogon glomeratus",Poaceae,ANGL2,native,3,-4,grass,perennial,"bushy bluestem"
"Andropogon gyrans var. gyrans",Poaceae,ANGYG,native,7,5,grass,perennial,"elliots beardgrass"
"Andropogon ternarius var. ternarius",Poaceae,ANTET,native,6,3,grass,perennial,"splitbeard bluestem"
"Andropogon virginicus var. virginicus",Poaceae,ANVIV,native,2,1,grass,perennial,"broom-sedge bluestem"
"Anemone caroliniana",Ranunculaceae,ANCA9,native,10,5,forb,perennial,"carolina anemone"
"Anthaenantia rufa",Poaceae,ANRU,native,7,3,grass,perennial,"purple silky-scale"
"Apios americana",Fabaceae,APAM,native,4,-3,forb,perennial,groundnut
"Aristida longispica var. longispica",Poaceae,ARLOL2,native,3,3,grass,annual,"slimspike three-awn grass"
"Aristida oligantha",Poaceae,AROL,native,4,5,grass,annual,"prairie three-awn grass"
"Aristida purpurascens var. purpurascens",Poaceae,ARPUP4,native,8,5,grass,perennial,"arrowfeather three-awn grass"
"Arnoglossum plantagineum",Asteraceae,ARPL4,native,9,3,forb,perennial,"indian plantain"
"Asclepias lanceolata",Asclepiadaceae,ASLA2,native,6,-5,forb,perennial,"fewflower milkweed"
"Asclepias longifolia",Asclepiadaceae,ASLO,native,7,-4,forb,perennial,"long-leaf milkweed"
"Asclepias obovata",Asclepiadaceae,ASOB,native,7,5,forb,perennial,"pineland milkweed"
"Asclepias tuberosa",Asclepiadaceae,ASTU,native,7,5,forb,perennial,butterfly-weed
"Asclepias verticillata",Asclepiadaceae,ASVE,native,7,5,forb,perennial,"whorled milkweed"
"Asclepias viridiflora",Asclepiadaceae,ASVI,native,8,5,forb,perennial,"green-flowered milkweed"
"Asclepias viridis",Asclepiadaceae,ASVI2,native,4,5,forb,perennial,"green milkweed"
"Asplenium platyneuron",Aspleniaceae,ASPL,native,4,3,fern,perennial,"ebony spleenwort"
"Axonopus fissifolius",Poaceae,AXFI,native,0,-2,grass,perennial,"southern carpet grass"
"Baccharis halimifolia",Asteraceae,BAHA,native,2,0,shrub,perennial,"eastern baccharis"
"Bacopa caroliniana",Scrophulariaceae,BACA,native,4,-5,forb,perennial,"lemon bacopa"
"Bacopa rotundifolia",Scrophulariaceae,BARO,native,1,-5,forb,perennial,"disc water-hyssop"
"Baptisia alba var macrophylla",Fabaceae,BAALM,native,6,0,forb,perennial,"largeleaf wild-indigo"
"Baptisia bracteata  var. laevicaulis",Fabaceae,BARBRL,native,6,5,forb,perennial,"long-bract wild-indigo"
