"Maine/New Brunswick Plains and Hills (8.1.8)"
2018
"NatureServe-NEIWPCC Northeast FQA Project. Cameron, D. and D. Faber-Langendoen. Database of coefficients of conservatism for Omernik Level 3 Ecoregion 82"
"Maine/New Brunswick Plains and Hills (8.1.8) (ME) (Omernik III Ecoregions: 82), 2018"

"Total Species:",2300
"Native Species:",1200
"Non-native Species:",1100
"Total Mean C:",2.7
"Native Mean C:",5.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",,ABES,non-native,0,,,,
"Abies balsamea",,ABBA,native,3,,,,
"Abies concolor",,ABCO,non-native,0,,,,
"Abutilon theophrasti",,ABTH,non-native,0,,,,
"Acalypha rhomboidea",,ACRH,native,2,,,,
"Acer ginnala",,ACGI,non-native,0,,,,
"Acer pensylvanicum",,ACPE,native,5,,,,
"Acer platanoides",,ACPL,non-native,0,,,,
"Acer pseudoplatanus",,ACPS,non-native,0,,,,
"Acer rubrum",,ACRU,native,3,,,,
"Acer saccharinum",,ACSA2,native,6,,,,
"Acer saccharum",,ACSA3,native,5,,,,
"Acer spicatum",,ACSP2,native,6,,,,
"Achillea ptarmica",,ACPT,non-native,0,,,,
"Acinos arvensis",,ACAR2,non-native,0,,,,
"Aconitum napellus",,ACNA,non-native,0,,,,
"Aconitum uncinatum",,ACUN,non-native,0,,,,
"Acorus americanus",,ACAM,native,5,,,,
"Acorus calamus",,ACCA4,native,5,,,,
"Actaea pachypoda",,ACPA,native,7,,,,
"Actaea rubra",,ACRU2,native,7,,,,
"Actinidia arguta",,ACAR10,non-native,0,,,,
"Adiantum hispidulum",,ADHI,non-native,0,,,,
"Adiantum pedatum",,ADPE,native,7,,,,
"Adlumia fungosa",,ADFU,native,7,,,,
"Aegopodium podagraria",,AEPO,non-native,0,,,,
"Aesculus glabra",,AEGL,non-native,0,,,,
"Aesculus hippocastanum",,AEHI,non-native,0,,,,
"Aethusa cynapium",,AECY2,non-native,0,,,,
"Agalinis maritima",,AGMA3,native,7,,,,
"Agalinis neoscotica",,AGNE5,native,8,,,,
"Agalinis paupercula",,AGPA12,native,4,,,,
"Agalinis tenuifolia",,AGTE3,native,4,,,,
"Agastache foeniculum",,AGFO,non-native,0,,,,
"Ageratina altissima",,AGAL5,native,5,,,,
"Ageratum conyzoides",,AGCO,non-native,0,,,,
"Ageratum houstonianum",,AGHO3,non-native,0,,,,
"Agrimonia gryposepala",,AGGR2,native,4,,,,
"Agrimonia striata",,AGST,native,4,,,,
"Agropyron cristatum",,AGCR,non-native,0,,,,
"Agrostemma githago",,AGGI,non-native,0,,,,
"Agrostis canina",,AGCA4,non-native,0,,,,
"Agrostis capillaris",,AGCA5,non-native,0,,,,
"Agrostis elliottiana",,AGEL4,non-native,0,,,,
"Agrostis exarata",,AGEX,non-native,0,,,,
"Agrostis gigantea",,AGGI2,non-native,0,,,,
"Agrostis hyemalis",,AGHY,native,4,,,,
"Agrostis perennans",,AGPE,native,3,,,,
"Agrostis scabra",,AGSC5,native,2,,,,
"Ailanthus altissima",,AIAL,non-native,0,,,,
"Aira caryophyllea",,AICA,non-native,0,,,,
"Aira praecox",,AIPR,non-native,0,,,,
"Ajuga genevensis",,AJGE,non-native,0,,,,
"Ajuga reptans",,AJRE,non-native,0,,,,
"Akebia quinata",,AKQU,non-native,0,,,,
"Alcea rosea",,ALRO3,non-native,0,,,,
"Alchemilla monticola",,ALMO4,non-native,0,,,,
"Alisma subcordatum",,ALSU,native,4,,,,
"Alisma triviale",,ALTR7,native,4,,,,
"Alliaria petiolata",,ALPE4,non-native,0,,,,
"Allium canadense",,ALCA3,native,6,,,,
"Allium cepa",,ALCE,non-native,0,,,,
"Allium schoenoprasum var. sibiricum",,ALSCS,native,5,,,,
"Allium tricoccum",,ALTR3,native,6,,,,
"Allium vineale",,ALVI,non-native,0,,,,
"Allium �proliferum",,ALPR6,non-native,0,,,,
"Alnus glutinosa",,ALGL2,non-native,0,,,,
"Alnus incana ssp. rugosa",,ALINR,native,3,,,,
"Alnus serrulata",,ALSE2,native,5,,,,
"Alnus viridis",,ALVI5,native,4,,,,
"Alopecurus aequalis",,ALAE,native,6,,,,
"Alopecurus carolinianus",,ALCA4,non-native,0,,,,
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,
"Alopecurus myosuroides",,ALMY,non-native,0,,,,
"Alopecurus pratensis",,ALPR3,non-native,0,,,,
"Althaea officinalis",,ALOF2,non-native,0,,,,
"Alyssum alyssoides",,ALAL3,non-native,0,,,,
"Amaranthus blitum",,AMBL2,non-native,0,,,,
"Amaranthus cannabinus",,AMCA2,native,7,,,,
"Amaranthus caudatus",,AMCA3,non-native,0,,,,
"Amaranthus cruentus",,AMCR4,non-native,0,,,,
"Amaranthus palmeri",,AMPA,non-native,0,,,,
"Amaranthus powellii",,AMPO2,non-native,0,,,,
"Amaranthus spinosus",,AMSP,non-native,0,,,,
"Amaranthus viridis",,AMVI,non-native,0,,,,
"Ambrosia artemisiifolia",,AMAR2,native,2,,,,
"Ambrosia psilostachya",,AMPS,non-native,0,,,,
"Ambrosia trifida",,AMTR,native,2,,,,
"Amelanchier arborea",,AMAR3,native,5,,,,
"Amelanchier bartramiana",,AMBA,native,6,,,,
"Amelanchier canadensis",,AMCA4,native,5,,,,
"Amelanchier laevis",,AMLA,native,3,,,,
"Amelanchier nantucketensis",,AMNA2,native,4,,,,
"Amelanchier sanguinea",,AMSA,native,5,,,,
"Amelanchier sanguinea var. gaspensis",,AMSAG,native,7,,,,
"Amelanchier stolonifera",,AMST80,native,4,,,,
"Amerorchis rotundifolia",,AMRO,native,10,,,,
"Ammophila breviligulata",,AMBR,native,6,,,,
"Ampelopsis aconitifolia",,AMAC4,non-native,0,,,,
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,
"Ampelopsis cordata",,AMCO2,non-native,0,,,,
"Amphicarpaea bracteata",,AMBR2,native,5,,,,
"Amsinckia douglasiana",,AMDO,non-native,0,,,,
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,
"Amsinckia menziesii",,AMME,non-native,0,,,,
"Amsinckia spectabilis",,AMSP3,non-native,0,,,,
"Amsonia tabernaemontana",,AMTA2,non-native,0,,,,
"Anagallis arvensis",,ANAR,non-native,0,,,,
"Anaphalis margaritacea",,ANMA,native,2,,,,
"Anchusa arvensis",,ANAR16,non-native,0,,,,
"Anchusa azurea",,ANAZ,non-native,0,,,,
"Anchusa barrelieri",,ANBA3,non-native,0,,,,
"Anchusa officinalis",,ANOF,non-native,0,,,,
"Andromeda polifolia",,ANPO,native,7,,,,
"Andropogon gerardii",,ANGE,native,3,,,,
"Androsace occidentalis",,ANOC2,non-native,0,,,,
"Anemone canadensis",,ANCA8,native,5,,,,
"Anemone cylindrica",,ANCY,native,6,,,,
"Anemone quinquefolia",,ANQU,native,6,,,,
"Anemone virginiana",,ANVI3,native,6,,,,
"Anethum graveolens",,ANGR2,non-native,0,,,,
"Angelica atropurpurea",,ANAT,native,4,,,,
"Angelica lucida",,ANLU,native,6,,,,
"Anoda cristata",,ANCR2,non-native,0,,,,
"Antennaria howellii",,ANHO,native,2,,,,
"Antennaria neglecta",,ANNE,native,2,,,,
"Antennaria parlinii",,ANPA9,native,2,,,,
"Antennaria plantaginifolia",,ANPL,native,5,,,,
"Anthemis arvensis",,ANAR6,non-native,0,,,,
"Anthemis cotula",,ANCO2,non-native,0,,,,
"Anthemis tinctoria",,ANTI,non-native,0,,,,
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,
"Anthriscus cerefolium",,ANCE,non-native,0,,,,
"Anthriscus sylvestris",,ANSY,non-native,0,,,,
"Anthyllis vulneraria",,ANVU,non-native,0,,,,
"Antirrhinum majus",,ANMA3,non-native,0,,,,
"Apera interrupta",,APIN,non-native,0,,,,
"Apera spica-venti",,APSP,non-native,0,,,,
"Apios americana",,APAM,native,4,,,,
"Apium graveolens",,APGR2,non-native,0,,,,
"Apocynum androsaemifolium",,APAN2,native,3,,,,
"Apocynum cannabinum",,APCA,native,3,,,,
"Aquilegia canadensis",,AQCA,native,7,,,,
"Aquilegia vulgaris",,AQVU,non-native,0,,,,
"Arabidopsis thaliana",,ARTH,non-native,0,,,,
"Arabis drummondii",,ARDR,native,7,,,,
"Arabis glabra",,ARGL,native,2,,,,
"Arabis hirsuta var. pycnocarpa",,ARHIP,native,6,,,,
"Aralia elata",,AREL8,non-native,0,,,,
"Aralia hispida",,ARHI2,native,5,,,,
"Aralia nudicaulis",,ARNU2,native,4,,,,
"Aralia racemosa",,ARRA,native,6,,,,
"Arceuthobium pusillum",,ARPU3,native,7,,,,
"Arctium lappa",,ARLA3,non-native,0,,,,
"Arctium minus",,ARMI2,non-native,0,,,,
"Arctium tomentosum",,ARTO,non-native,0,,,,
"Arctium vulgare",,ARVU2,non-native,0,,,,
"Arctostaphylos uva-ursi",,ARUV,native,6,,,,
"Arenaria serpyllifolia",,ARSE2,non-native,0,,,,
"Arethusa bulbosa",,ARBU,native,9,,,,
"Argemone albiflora",,ARAL3,non-native,0,,,,
"Argemone mexicana",,ARME4,non-native,0,,,,
"Argentina anserina",,ARAN7,native,3,,,,
"Argentina egedii",,AREG,native,6,,,,
"Arisaema triphyllum ssp. triphyllum",,ARTRT3,native,6,,,,
"Aristida basiramea",,ARBA2,native,2,,,,
"Aristida dichotoma",,ARDI4,native,3,,,,
"Aristolochia tomentosa",,ARTO3,non-native,0,,,,
"Armoracia rusticana",,ARRU4,non-native,0,,,,
"Arnoseris minima",,ARMI3,non-native,0,,,,
"Aronia arbutifolia",,ARAR7,native,5,,,,
"Aronia melanocarpa",,ARME6,native,5,,,,
"Aronia prunifolia",,ARPR2,native,6,,,,
"Arrhenatherum elatius",,AREL3,non-native,0,,,,
"Artemisia abrotanum",,ARAB2,non-native,0,,,,
"Artemisia absinthium",,ARAB3,non-native,0,,,,
"Artemisia annua",,ARAN3,non-native,0,,,,
"Artemisia campestris",,ARCA12,native,8,,,,
"Artemisia dracunculus",,ARDR4,non-native,0,,,,
"Artemisia filifolia",,ARFI2,non-native,0,,,,
"Artemisia frigida",,ARFR4,non-native,0,,,,
"Artemisia pontica",,ARPO4,non-native,0,,,,
"Artemisia stelleriana",,ARST6,non-native,0,,,,
"Artemisia vulgaris",,ARVU,non-native,0,,,,
"Arthraxon hispidus",,ARHI3,non-native,0,,,,
"Aruncus dioicus",,ARDI8,non-native,0,,,,
"Asarum canadense",,ASCA,native,7,,,,
"Asclepias exaltata",,ASEX,native,5,,,,
"Asclepias incarnata",,ASIN,native,4,,,,
"Asclepias syriaca",,ASSY,native,2,,,,
"Asparagus officinalis",,ASOF,non-native,0,,,,
"Asperula arvensis",,ASAR2,non-native,0,,,,
"Asplenium platyneuron",,ASPL,native,8,,,,
"Asplenium trichomanes",,ASTR2,native,8,,,,
"Aster tataricus",,ASTA,non-native,0,,,,
"Astilbe japonica",,ASJA2,non-native,0,,,,
"Astragalus alpinus",,ASAL7,native,9,,,,
"Athyrium filix-femina",,ATFI,native,4,,,,
"Atriplex glabriuscula",,ATGL,native,7,,,,
"Atriplex hortensis",,ATHO,non-native,0,,,,
"Atriplex littoralis",,ATLI3,non-native,0,,,,
"Atriplex patula",,ATPA4,non-native,0,,,,
"Atriplex rosea",,ATRO,non-native,0,,,,
"Atriplex subspicata",,ATSU2,native,7,,,,
"Atriplex tatarica",,ATTA,non-native,0,,,,
"Aureolaria flava",,AUFL,native,5,,,,
"Aureolaria pedicularia",,AUPE2,native,6,,,,
"Aurinia saxatilis",,AUSA,non-native,0,,,,
"Avena fatua",,AVFA,non-native,0,,,,
"Avena sativa",,AVSA,non-native,0,,,,
"Axyris amaranthoides",,AXAM,non-native,0,,,,
"Ballota nigra",,BANI,non-native,0,,,,
"Barbarea verna",,BAVE,non-native,0,,,,
"Barbarea vulgaris",,BAVU,non-native,0,,,,
"Bartonia paniculata",,BAPA2,native,7,,,,
"Bartonia virginica",,BAVI3,native,5,,,,
"Bassia hirsuta",,BAHI3,non-native,0,,,,
"Bassia hyssopifolia",,BAHY,non-native,0,,,,
"Bassia scoparia",,BASC5,non-native,0,,,,
"Beckmannia syzigachne",,BESY,non-native,0,,,,
"Belamcanda chinensis",,BECH,non-native,0,,,,
"Bellis perennis",,BEPE2,non-native,0,,,,
"Berberis thunbergii",,BETH,non-native,0,,,,
"Berberis vulgaris",,BEVU,non-native,0,,,,
"Berteroa incana",,BEIN2,non-native,0,,,,
"Beta vulgaris",,BEVU2,non-native,0,,,,
