"Mid-Atlantic Allegheny Plateau (non-glaciated)"
2012
"Mid-Atlantic Wetland Workgroup (MAWWG). 2012. Floristic Quality Assessment Index (FQAI) calculator. "
"Mid-Atlantic Allegheny Plateau (non-glaciated)  , 2012"

"Total Species:",2135
"Native Species:",2135
"Non-native Species:",0
"Total Mean C:",6.2
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABBA,native,9,0,tree,perennial,
"Abies balsamea var phanerolepis",Pinaceae,ABBAP,native,9,0,tree,perennial,
"Acalypha gracilens",Euphorbiaceae,ACGR2,native,3,0,forb,annual,
"Acalypha ostryifolia",Euphorbiaceae,ACOS,native,3,0,forb,annual,
"Acalypha rhomboidea",Euphorbiaceae,ACRH,native,1,4,forb,annual,
"Acalypha virginica",Euphorbiaceae,ACVI,native,3,4,forb,annual,
"Acer negundo",Aceraceae,ACNE2,native,2,-1,tree,perennial,
"Acer nigrum",Aceraceae,ACNI5,native,7,0,tree,perennial,
"Acer pensylvanicum",Aceraceae,ACPE,native,5,3,tree,perennial,
"Acer rubrum",Aceraceae,ACRU,native,1,0,tree,perennial,
"Acer rubrum var trilobum",Aceraceae,ACRUT,native,4,-4,tree,perennial,
"Acer saccharinum",Aceraceae,ACSA2,native,5,-3,tree,perennial,
"Acer saccharum",Aceraceae,ACSA3,native,6,4,tree,perennial,
"Acer spicatum",Aceraceae,ACSP2,native,7,4,tree,perennial,
"Achillea millefolium",Asteraceae,ACMI2,native,0,3,forb,perennial,
"Achillea millefolium var occidentalis",Asteraceae,ACMIO,native,0,3,forb,perennial,
"Aconitum reclinatum",Ranunculaceae,ACRE,native,9,0,forb,perennial,
"Aconitum uncinatum",Ranunculaceae,ACUN,native,6,0,forb,perennial,
"Aconitum uncinatum ssp muticum",Ranunculaceae,ACUNM,native,6,0,forb,perennial,
"Actaea pachypoda",Ranunculaceae,ACPA,native,7,0,forb,perennial,
"Actaea podocarpa",Ranunculaceae,ACPO11,native,8,0,forb,perennial,
"Actaea racemosa",Ranunculaceae,ACRA7,native,6,0,forb,perennial,
"Actaea rubifolia",Ranunculaceae,ACRU14,native,10,0,forb,perennial,
"Actaea rubra",Ranunculaceae,ACRU2,native,9,0,forb,perennial,
"Adiantum capillus-veneris",Pteridaceae,ADCA,native,10,3,forb,perennial,
"Adiantum pedatum",Pteridaceae,ADPE,native,7,1,forb,perennial,
"Adlumia fungosa",Fumariaceae,ADFU,native,9,0,forb,biennial,
"Aesculus glabra",Hippocastanaceae,AEGL,native,6,2,tree,perennial,
"Agalinis auriculata",Scrophulariaceae,AGAU3,native,9,0,forb,annual,
"Agalinis obtusifolia",Scrophulariaceae,AGOB,native,9,3,forb,annual,
"Agalinis paupercula",Scrophulariaceae,AGPA12,native,10,-4,forb,annual,
"Agalinis purpurea",Scrophulariaceae,AGPU5,native,4,-2,forb,annual,
"Agalinis setacea",Scrophulariaceae,AGSE3,native,8,0,forb,annual,
"Agalinis tenuifolia",Scrophulariaceae,AGTE3,native,6,0,forb,annual,
"Agastache nepetoides",Lamiaceae,AGNE2,native,4,3,forb,perennial,
"Agastache scrophulariifolia",Lamiaceae,AGSC,native,5,0,forb,perennial,
"Ageratina altissima",Asteraceae,AGAL5,native,3,4,forb,perennial,
"Ageratina aromatica",Asteraceae,AGAR4,native,6,0,forb,perennial,
"Agrimonia gryposepala",Rosaceae,AGGR2,native,4,3,forb,perennial,
"Agrimonia microcarpa",Rosaceae,AGMI2,native,8,0,forb,perennial,
"Agrimonia parviflora",Rosaceae,AGPA6,native,3,0,forb,perennial,
"Agrimonia pubescens",Rosaceae,AGPU,native,6,0,forb,perennial,
"Agrimonia rostellata",Rosaceae,AGRO3,native,6,3,forb,perennial,
"Agrimonia striata",Rosaceae,AGST,native,5,4,forb,perennial,
"Agrostis elliottiana",Poaceae,AGEL4,native,3,0,grass,annual,
"Agrostis hyemalis",Poaceae,AGHY,native,4,0,grass,perennial,
"Agrostis mertensii",Poaceae,AGME3,native,8,3,grass,perennial,
"Agrostis perennans",Poaceae,AGPE,native,4,3,grass,perennial,
"Agrostis scabra",Poaceae,AGSC5,native,4,0,grass,perennial,
"Aletris farinosa",Liliaceae,ALFA2,native,7,0,forb,perennial,
"Alisma subcordatum",Alismataceae,ALSU,native,4,-5,forb,perennial,
"Alisma triviale",Alismataceae,ALTR7,native,4,0,forb,perennial,
"Allium canadense",Liliaceae,ALCA3,native,3,3,forb,perennial,
"Allium cernuum",Liliaceae,ALCE2,native,7,0,forb,perennial,
"Allium oxyphilum",Liliaceae,ALOX,native,10,0,forb,perennial,
"Allium tricoccum",Liliaceae,ALTR3,native,7,2,forb,perennial,
"Alnus incana ssp rugosa",Betulaceae,ALINR,native,7,-4,tree,perennial,
"Alnus serrulata",Betulaceae,ALSE2,native,5,-5,tree,perennial,
"Alnus viridis ssp crispa",Betulaceae,ALVIC,native,8,0,tree,perennial,
"Alopecurus aequalis",Poaceae,ALAE,native,2,-5,grass,perennial,
"Alopecurus carolinianus",Poaceae,ALCA4,native,1,-3,grass,annual,
"Amaranthus cannabinus",Amaranthaceae,AMCA2,native,7,-5,forb,perennial,
"Amaranthus hybridus",Amaranthaceae,AMHY,native,0,0,forb,annual,
"Amaranthus tuberculatus",Amaranthaceae,AMTU,native,0,-3,forb,annual,
"Ambrosia artemisiifolia",Asteraceae,AMAR2,native,1,3,forb,annual,
"Ambrosia trifida",Asteraceae,AMTR,native,2,0,forb,annual,
"Amelanchier arborea",Rosaceae,AMAR3,native,6,1,tree,perennial,
"Amelanchier bartramiana",Rosaceae,AMBA,native,10,0,tree,perennial,
"Amelanchier humilis",Rosaceae,AMHU2,native,8,0,shrub,perennial,
