"Mid-Atlantic Coastal Plain with invasives"
2012
MAWWG
"Mid-Atlantic Coastal Plain with invasives  , 2012"

"Total Species:",3234
"Native Species:",2093
"Non-native Species:",1141
"Total Mean C:",3.9
"Native Mean C:",6

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abutilon theophrasti",Malvaceae,,non-native,0,,,,
"Acalypha gracilens",Euphorbiaceae,,native,3,,,,
"Acalypha ostryifolia",Euphorbiaceae,,native,3,,,,
"Acalypha rhomboidea",Euphorbiaceae,,native,1,,,,
"Acalypha virginica",Euphorbiaceae,,native,3,,,,
"Acanthospermum australe",Asteraceae,,non-native,0,,,,
"Acanthospermum hispidum",Asteraceae,,non-native,0,,,,
"Acer campestre",Aceraceae,,non-native,0,,,,
"Acer floridanum",Aceraceae,,native,5,,,,
"Acer ginnala",Aceraceae,,non-native,0,,,,
"Acer negundo",Aceraceae,,native,3,,,,
"Acer palmatum",Aceraceae,,non-native,0,,,,
"Acer platanoides",Aceraceae,,non-native,0,,,,
"Acer pseudoplatanus",Aceraceae,,non-native,0,,,,
"Acer rubrum",Aceraceae,,native,1,,,,
"Acer rubrum var. drummondii",Aceraceae,,native,5,,,,
"Acer rubrum var. trilobum",Aceraceae,,native,2,,,,
"Acer saccharinum",Aceraceae,,native,5,,,,
"Acer saccharum",Aceraceae,,native,6,,,,
"Acer spicatum",Aceraceae,,native,7,,,,
"Achillea millefolium",Asteraceae,,native,0,,,,
"Achillea millefolium var. occidentalis",Asteraceae,,native,0,,,,
"Achillea ptarmica",Asteraceae,,non-native,0,,,,
"Aconitum uncinatum",Ranunculaceae,,native,6,,,,
"Acorus americanus",Acoraceae,,native,9,,,,
"Acorus calamus",Acoraceae,,non-native,0,,,,
"Actaea pachypoda",Ranunculaceae,,native,7,,,,
"Actaea racemosa",Ranunculaceae,,native,7,,,,
"Adiantum pedatum",Pteridaceae,,native,7,,,,
"Adlumia fungosa",Fumariaceae,,native,9,,,,
"Aegilops cylindrica",Poaceae,,non-native,0,,,,
"Aegopodium podagraria",Apiaceae,,non-native,0,,,,
"Aeschynomene americana",Fabaceae,,non-native,0,,,,
"Aeschynomene virginica",Fabaceae,,native,9,,,,
"Aesculus glabra",Hippocastanaceae,,native,6,,,,
"Aesculus hippocastanum",Hippocastanaceae,,non-native,0,,,,
"Aesculus parviflora",Hippocastanaceae,,non-native,0,,,,
