"Mid-Atlantic Piedmont with non-natives"
2012
MAWWG
"Mid-Atlantic Piedmont with non-natives  , 2012"

"Total Species:",3204
"Native Species:",2034
"Non-native Species:",1170
"Total Mean C:",3.8
"Native Mean C:",6.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,,native,9,,,,
"Abies balsamea var. phanerolepis",Pinaceae,,native,9,,,,
"Abutilon theophrasti",Malvaceae,,non-native,0,,,,
"Acalypha gracilens",Euphorbiaceae,,native,3,,,,
"Acalypha ostryifolia",Euphorbiaceae,,native,3,,,,
"Acalypha rhomboidea",Euphorbiaceae,,native,1,,,,
"Acalypha virginica",Euphorbiaceae,,native,3,,,,
"Acanthospermum australe",Asteraceae,,non-native,0,,,,
"Acer campestre",Aceraceae,,non-native,0,,,,
"Acer floridanum",Aceraceae,,native,5,,,,
"Acer ginnala",Aceraceae,,non-native,0,,,,
"Acer negundo",Aceraceae,,native,2,,,,
"Acer nigrum",Aceraceae,,native,7,,,,
"Acer palmatum",Aceraceae,,non-native,0,,,,
"Acer pensylvanicum",Aceraceae,,native,5,,,,
"Acer platanoides",Aceraceae,,non-native,0,,,,
"Acer pseudoplatanus",Aceraceae,,non-native,0,,,,
"Acer rubrum",Aceraceae,,native,1,,,,
"Acer rubrum var. trilobum",Aceraceae,,native,2,,,,
"Acer saccharinum",Aceraceae,,native,5,,,,
"Acer saccharum",Aceraceae,,native,6,,,,
"Acer spicatum",Aceraceae,,native,7,,,,
"Achillea millefolium",Asteraceae,,native,0,,,,
"Achillea millefolium var. occidentalis",Asteraceae,,native,0,,,,
"Achillea ptarmica",Asteraceae,,non-native,0,,,,
"Aconitum reclinatum",Ranunculaceae,,native,9,,,,
"Aconitum uncinatum",Ranunculaceae,,native,6,,,,
"Acorus americanus",Acoraceae,,native,9,,,,
"Acorus calamus",Acoraceae,,non-native,0,,,,
"Actaea pachypoda",Ranunculaceae,,native,7,,,,
"Actaea podocarpa",Ranunculaceae,,native,8,,,,
"Actaea racemosa",Ranunculaceae,,native,6,,,,
"Actaea rubifolia",Ranunculaceae,,native,10,,,,
"Adiantum aleuticum",Pteridaceae,,native,10,,,,
"Adiantum pedatum",Pteridaceae,,native,7,,,,
"Adlumia fungosa",Fumariaceae,,native,9,,,,
"Aegopodium podagraria",Apiaceae,,non-native,0,,,,
"Aeschynomene americana",Fabaceae,,non-native,0,,,,
"Aesculus hippocastanum",Hippocastanaceae,,non-native,0,,,,
"Aesculus parviflora",Hippocastanaceae,,non-native,0,,,,
"Aesculus sylvatica",Hippocastanaceae,,native,7,,,,
"Aethusa cynapium",Apiaceae,,non-native,0,,,,
"Agalinis acuta",Scrophulariaceae,,native,10,,,,
"Agalinis auriculata",Scrophulariaceae,,native,9,,,,
"Agalinis obtusifolia",Scrophulariaceae,,native,9,,,,
"Agalinis paupercula",Scrophulariaceae,,native,10,,,,
"Agalinis purpurea",Scrophulariaceae,,native,4,,,,
"Agalinis setacea",Scrophulariaceae,,native,8,,,,
"Agalinis tenuifolia",Scrophulariaceae,,native,6,,,,
"Agastache nepetoides",Lamiaceae,,native,4,,,,
"Agastache scrophulariifolia",Lamiaceae,,native,5,,,,
"Ageratina altissima",Asteraceae,,native,3,,,,
"Ageratina aromatica",Asteraceae,,native,6,,,,
"Agrimonia gryposepala",Rosaceae,,native,4,,,,
"Agrimonia microcarpa",Rosaceae,,native,8,,,,
"Agrimonia parviflora",Rosaceae,,native,3,,,,
"Agrimonia pubescens",Rosaceae,,native,6,,,,
"Agrimonia rostellata",Rosaceae,,native,6,,,,
"Agrimonia striata",Rosaceae,,native,5,,,,
"Agrostemma githago",Caryophyllaceae,,non-native,0,,,,
"Agrostis canina",Poaceae,,non-native,0,,,,
"Agrostis capillaris",Poaceae,,non-native,0,,,,
"Agrostis elliottiana",Poaceae,,native,3,,,,
"Agrostis gigantea",Poaceae,,non-native,0,,,,
"Agrostis hyemalis",Poaceae,,native,4,,,,
"Agrostis perennans",Poaceae,,native,4,,,,
"Agrostis scabra",Poaceae,,native,4,,,,
"Agrostis stolonifera",Poaceae,,non-native,0,,,,
"Ailanthus altissima",Simaroubaceae,,non-native,0,,,,
"Aira caryophyllea",Poaceae,,non-native,0,,,,
"Aira elegans",Poaceae,,non-native,0,,,,
"Aira praecox",Poaceae,,non-native,0,,,,
"Ajuga reptans",Lamiaceae,,non-native,0,,,,
"Akebia quinata",Lardizabalaceae,,non-native,0,,,,
"Albizia julibrissin",Fabaceae,,non-native,0,,,,
"Alcea rosea",Malvaceae,,non-native,0,,,,
"Aletris aurea",Liliaceae,,native,9,,,,
"Aletris farinosa",Liliaceae,,native,7,,,,
"Alisma subcordatum",Alismataceae,,native,4,,,,
"Alisma triviale",Alismataceae,,native,4,,,,
"Alliaria petiolata",Brassicaceae,,non-native,0,,,,
"Allium ampeloprasum",Liliaceae,,non-native,0,,,,
"Allium canadense",Liliaceae,,native,3,,,,
"Allium cepa",Liliaceae,,non-native,0,,,,
"Allium cernuum",Liliaceae,,native,7,,,,
"Allium oleraceum",Liliaceae,,non-native,0,,,,
"Allium sativum",Liliaceae,,non-native,0,,,,
"Allium tricoccum",Liliaceae,,native,7,,,,
"Allium vineale",Liliaceae,,non-native,0,,,,
"Alnus glutinosa",Betulaceae,,non-native,0,,,,
"Alnus incana ssp. rugosa",Betulaceae,,native,7,,,,
"Alnus serrulata",Betulaceae,,native,5,,,,
"Alopecurus aequalis",Poaceae,,native,2,,,,
"Alopecurus carolinianus",Poaceae,,native,1,,,,
"Alopecurus creticus",Poaceae,,non-native,0,,,,
"Alopecurus geniculatus",Poaceae,,non-native,0,,,,
"Alopecurus myosuroides",Poaceae,,non-native,0,,,,
"Alopecurus pratensis",Poaceae,,non-native,0,,,,
"Alopecurus rendlei",Poaceae,,non-native,0,,,,
"Alternanthera paronychioides",Amaranthaceae,,non-native,0,,,,
"Alternanthera philoxeroides",Amaranthaceae,,non-native,0,,,,
"Althaea hirsuta",Malvaceae,,non-native,0,,,,
"Althaea officinalis",Malvaceae,,non-native,0,,,,
"Alyssum alyssoides",Brassicaceae,,non-native,0,,,,
"Amaranthus albus",Amaranthaceae,,non-native,0,,,,
"Amaranthus arenicola",Amaranthaceae,,non-native,0,,,,
"Amaranthus blitum",Amaranthaceae,,non-native,0,,,,
"Amaranthus blitum var. emarginatus",Amaranthaceae,,non-native,0,,,,
"Amaranthus cannabinus",Amaranthaceae,,native,7,,,,
"Amaranthus caudatus",Amaranthaceae,,non-native,0,,,,
"Amaranthus cruentus",Amaranthaceae,,non-native,0,,,,
"Amaranthus deflexus",Amaranthaceae,,non-native,0,,,,
"Amaranthus hybridus",Amaranthaceae,,native,0,,,,
"Amaranthus palmeri",Amaranthaceae,,non-native,0,,,,
"Amaranthus powellii",Amaranthaceae,,non-native,0,,,,
"Amaranthus retroflexus",Amaranthaceae,,non-native,0,,,,
"Amaranthus spinosus",Amaranthaceae,,non-native,0,,,,
"Amaranthus tuberculatus",Amaranthaceae,,native,0,,,,
"Amaranthus viridis",Amaranthaceae,,non-native,0,,,,
"Ambrosia artemisiifolia",Asteraceae,,native,1,,,,
"Ambrosia trifida",Asteraceae,,native,2,,,,
"Amelanchier arborea",Rosaceae,,native,6,,,,
"Amelanchier canadensis",Rosaceae,,native,7,,,,
"Amelanchier laevis",Rosaceae,,native,7,,,,
"Amelanchier nantucketensis",Rosaceae,,native,10,,,,
"Amelanchier obovalis",Rosaceae,,native,6,,,,
"Amelanchier sanguinea",Rosaceae,,native,8,,,,
"Amelanchier stolonifera",Rosaceae,,native,7,,,,
"Amianthium muscitoxicum",Liliaceae,,native,8,,,,
"Ammannia coccinea",Lythraceae,,native,3,,,,
"Ammi visnaga",Apiaceae,,non-native,0,,,,
"Amorpha fruticosa",Fabaceae,,native,5,,,,
"Ampelopsis arborea",Vitaceae,,native,4,,,,
"Ampelopsis brevipedunculata",Vitaceae,,non-native,0,,,,
"Amphicarpaea bracteata",Fabaceae,,native,4,,,,
"Amphicarpaea bracteata var. comosa",Fabaceae,,native,4,,,,
"Amsinckia lycopsoides",Boraginaceae,,non-native,0,,,,
"Amsinckia menziesii",Boraginaceae,,non-native,0,,,,
"Amsinckia menziesii var. intermedia",Boraginaceae,,non-native,0,,,,
"Amsonia tabernaemontana",Apocynaceae,,native,3,,,,
"Anacyclus clavatus",Asteraceae,,non-native,0,,,,
"Anagallis arvensis",Primulaceae,,non-native,0,,,,
"Anagallis minima",Primulaceae,,native,7,,,,
"Anagallis monelli",Primulaceae,,non-native,0,,,,
"Anaphalis margaritacea",Asteraceae,,native,3,,,,
"Anchusa arvensis",Boraginaceae,,non-native,0,,,,
"Anchusa azurea",Boraginaceae,,non-native,0,,,,
"Anchusa officinalis",Boraginaceae,,non-native,0,,,,
"Andropogon gerardii",Poaceae,,native,5,,,,
"Andropogon glomeratus",Poaceae,,native,4,,,,
"Andropogon gyrans",Poaceae,,native,4,,,,
"Andropogon ternarius",Poaceae,,native,5,,,,
"Andropogon virginicus",Poaceae,,native,2,,,,
"Anemone berlandieri",Ranunculaceae,,native,10,,,,
"Anemone canadensis",Ranunculaceae,,native,6,,,,
"Anemone lancifolia",Ranunculaceae,,native,8,,,,
"Anemone quinquefolia",Ranunculaceae,,native,7,,,,
"Anemone quinquefolia var. minima",Ranunculaceae,,native,8,,,,
"Anemone virginiana",Ranunculaceae,,native,4,,,,
"Anethum graveolens",Apiaceae,,non-native,0,,,,
"Angelica atropurpurea",Apiaceae,,native,7,,,,
"Angelica venenosa",Apiaceae,,native,7,,,,
"Anoda cristata",Malvaceae,,non-native,0,,,,
"Antennaria howellii",Asteraceae,,native,3,,,,
"Antennaria howellii ssp. neodioica",Asteraceae,,native,4,,,,
"Antennaria neglecta",Asteraceae,,native,2,,,,
"Antennaria parlinii",Asteraceae,,native,3,,,,
"Antennaria plantaginifolia",Asteraceae,,native,4,,,,
"Antennaria solitaria",Asteraceae,,native,6,,,,
"Antennaria virginica",Asteraceae,,native,8,,,,
"Anthemis arvensis",Asteraceae,,non-native,0,,,,
"Anthemis cotula",Asteraceae,,non-native,0,,,,
"Anthemis tinctoria",Asteraceae,,non-native,0,,,,
"Anthoxanthum odoratum",Poaceae,,non-native,0,,,,
"Anthriscus sylvestris",Apiaceae,,non-native,0,,,,
"Anthyllis vulneraria",Fabaceae,,non-native,0,,,,
"Antirrhinum majus",Scrophulariaceae,,non-native,0,,,,
"Apera spica-venti",Poaceae,,non-native,0,,,,
"Aphanes microcarpa",Rosaceae,,non-native,0,,,,
"Apios americana",Fabaceae,,native,6,,,,
"Apium graveolens",Apiaceae,,non-native,0,,,,
"Apium graveolens var. dulce",Apiaceae,,non-native,0,,,,
"Aplectrum hyemale",Orchidaceae,,native,7,,,,
"Apocynum androsaemifolium",Apocynaceae,,native,4,,,,
"Apocynum cannabinum",Apocynaceae,,native,2,,,,
"Apocynum x floribundum",Apocynaceae,,native,2,,,,
"Aquilegia canadensis",Ranunculaceae,,native,6,,,,
"Aquilegia vulgaris",Ranunculaceae,,non-native,0,,,,
"Arabidopsis thaliana",Brassicaceae,,non-native,0,,,,
"Arabis canadensis",Brassicaceae,,native,6,,,,
"Arabis glabra",Brassicaceae,,native,2,,,,
"Arabis hirsuta var. pycnocarpa",Brassicaceae,,native,9,,,,
"Arabis laevigata",Brassicaceae,,native,7,,,,
"Arabis lyrata",Brassicaceae,,native,8,,,,
"Arabis missouriensis",Brassicaceae,,native,10,,,,
"Arabis patens",Brassicaceae,,native,9,,,,
"Arabis shortii",Brassicaceae,,native,7,,,,
"Arachis hypogaea",Fabaceae,,non-native,0,,,,
"Aralia elata",Araliaceae,,non-native,0,,,,
"Aralia hispida",Araliaceae,,native,8,,,,
"Aralia nudicaulis",Araliaceae,,native,7,,,,
"Aralia racemosa",Araliaceae,,native,7,,,,
"Aralia spinosa",Araliaceae,,native,3,,,,
"Arctium lappa",Asteraceae,,non-native,0,,,,
"Arctium minus",Asteraceae,,non-native,0,,,,
"Arctium tomentosum",Asteraceae,,non-native,0,,,,
"Arctium vulgare",Asteraceae,,non-native,0,,,,
"Arenaria serpyllifolia",Caryophyllaceae,,non-native,0,,,,
"Arethusa bulbosa",Orchidaceae,,native,10,,,,
"Argemone mexicana",Papaveraceae,,non-native,0,,,,
"Arisaema dracontium",Araceae,,native,7,,,,
"Arisaema triphyllum",Araceae,,native,5,,,,
"Arisaema triphyllum ssp. pusillum",Araceae,,native,8,,,,
"Arisaema triphyllum ssp. stewardsonii",Araceae,,native,8,,,,
"Aristida dichotoma",Poaceae,,native,2,,,,
"Aristida dichotoma var. curtissii",Poaceae,,native,2,,,,
"Aristida lanosa",Poaceae,,native,8,,,,
"Aristida longespica",Poaceae,,native,3,,,,
"Aristida longespica var. geniculata",Poaceae,,native,3,,,,
"Aristida oligantha",Poaceae,,native,2,,,,
"Aristida purpurascens",Poaceae,,native,7,,,,
"Aristolochia clematitis",Aristolochiaceae,,non-native,0,,,,
"Aristolochia macrophylla",Aristolochiaceae,,native,6,,,,
"Aristolochia serpentaria",Aristolochiaceae,,native,8,,,,
"Armoracia rusticana",Brassicaceae,,non-native,0,,,,
"Arnica acaulis",Asteraceae,,native,6,,,,
"Arnoglossum atriplicifolium",Asteraceae,,native,6,,,,
"Arnoglossum reniforme",Asteraceae,,native,8,,,,
"Arnoseris minima",Asteraceae,,non-native,0,,,,
"Arrhenatherum elatius",Poaceae,,non-native,0,,,,
"Artemisia absinthium",Asteraceae,,non-native,0,,,,
"Artemisia annua",Asteraceae,,non-native,0,,,,
"Artemisia biennis",Asteraceae,,non-native,0,,,,
"Artemisia ludoviciana",Asteraceae,,non-native,0,,,,
"Artemisia pontica",Asteraceae,,non-native,0,,,,
"Artemisia stelleriana",Asteraceae,,non-native,0,,,,
"Artemisia vulgaris",Asteraceae,,non-native,0,,,,
"Arthraxon hispidus",Poaceae,,non-native,0,,,,
"Aruncus dioicus",Rosaceae,,native,4,,,,
"Arundinaria gigantea",Poaceae,,native,8,,,,
"Arundinaria tecta",Poaceae,,native,8,,,,
"Arundo donax",Poaceae,,non-native,0,,,,
"Asarum canadense",Aristolochiaceae,,native,7,,,,
"Asclepias amplexicaulis",Asclepiadaceae,,native,5,,,,
"Asclepias exaltata",Asclepiadaceae,,native,7,,,,
"Asclepias incarnata",Asclepiadaceae,,native,5,,,,
"Asclepias incarnata ssp. pulchra",Asclepiadaceae,,native,5,,,,
"Asclepias purpurascens",Asclepiadaceae,,native,6,,,,
"Asclepias quadrifolia",Asclepiadaceae,,native,8,,,,
"Asclepias rubra",Asclepiadaceae,,native,9,,,,
"Asclepias syriaca",Asclepiadaceae,,native,1,,,,
"Asclepias tuberosa",Asclepiadaceae,,native,3,,,,
"Asclepias variegata",Asclepiadaceae,,native,7,,,,
"Asclepias verticillata",Asclepiadaceae,,native,8,,,,
"Asclepias viridiflora",Asclepiadaceae,,native,7,,,,
"Asimina triloba",Annonaceae,,native,5,,,,
"Asparagus officinalis",Liliaceae,,non-native,0,,,,
"Asperugo procumbens",Boraginaceae,,non-native,0,,,,
"Asperula arvensis",Rubiaceae,,non-native,0,,,,
"Asplenium bradleyi",Aspleniaceae,,native,10,,,,
"Asplenium montanum",Aspleniaceae,,native,10,,,,
"Asplenium pinnatifidum",Aspleniaceae,,native,10,,,,
"Asplenium platyneuron",Aspleniaceae,,native,3,,,,
"Asplenium resiliens",Aspleniaceae,,native,10,,,,
"Asplenium rhizophyllum",Aspleniaceae,,native,9,,,,
"Asplenium ruta-muraria var. cryptolepis",Aspleniaceae,,native,10,,,,
"Asplenium trichomanes",Aspleniaceae,,native,10,,,,
"Asplenium x ebenoides",Aspleniaceae,,native,10,,,,
"Asplenium x gravesii",Aspleniaceae,,native,10,,,,
"Asplenium x kentuckiense",Aspleniaceae,,native,10,,,,
"Asplenium x trudellii",Aspleniaceae,,native,10,,,,
"Aster tataricus",Asteraceae,,non-native,0,,,,
"Astragalus canadensis",Fabaceae,,native,6,,,,
"Astragalus distortus",Fabaceae,,native,10,,,,
"Athyrium filix-femina ssp. angustum",Dryopteridaceae,,native,5,,,,
"Athyrium filix-femina ssp. asplenioides",Dryopteridaceae,,native,5,,,,
"Atriplex littoralis",Chenopodiaceae,,non-native,0,,,,
"Atriplex rosea",Chenopodiaceae,,non-native,0,,,,
"Atriplex tatarica",Chenopodiaceae,,non-native,0,,,,
"Aureolaria flava",Scrophulariaceae,,native,8,,,,
"Aureolaria laevigata",Scrophulariaceae,,native,8,,,,
"Aureolaria pedicularia",Scrophulariaceae,,native,8,,,,
"Aureolaria virginica",Scrophulariaceae,,native,7,,,,
"Avena fatua",Poaceae,,non-native,0,,,,
"Avena sativa",Poaceae,,non-native,0,,,,
"Axonopus fissifolius",Poaceae,,native,2,,,,
"Azolla caroliniana",Azollaceae,,non-native,0,,,,
"Baccharis halimifolia",Asteraceae,,native,3,,,,
"Ballota nigra",Lamiaceae,,non-native,0,,,,
"Baptisia australis",Fabaceae,,native,9,,,,
"Baptisia cinerea",Fabaceae,,native,8,,,,
"Baptisia tinctoria",Fabaceae,,native,6,,,,
"Barbarea verna",Brassicaceae,,non-native,0,,,,
"Barbarea vulgaris",Brassicaceae,,non-native,0,,,,
"Bartonia paniculata",Gentianaceae,,native,8,,,,
"Bartonia virginica",Gentianaceae,,native,7,,,,
"Bassia scoparia",Chenopodiaceae,,non-native,0,,,,
"Belamcanda chinensis",Iridaceae,,non-native,0,,,,
"Bellis perennis",Asteraceae,,non-native,0,,,,
"Berberis canadensis",Berberidaceae,,native,9,,,,
"Berberis thunbergii",Berberidaceae,,non-native,0,,,,
"Berberis vulgaris",Berberidaceae,,non-native,0,,,,
"Berteroa incana",Brassicaceae,,non-native,0,,,,
"Beta vulgaris",Chenopodiaceae,,non-native,0,,,,
"Betula alleghaniensis",Betulaceae,,native,7,,,,
"Betula lenta",Betulaceae,,native,5,,,,
"Betula nigra",Betulaceae,,native,5,,,,
"Betula pendula",Betulaceae,,non-native,0,,,,
"Betula populifolia",Betulaceae,,native,5,,,,
"Betula pubescens",Betulaceae,,non-native,0,,,,
"Bidens alba",Asteraceae,,non-native,0,,,,
"Bidens alba var. radiata",Asteraceae,,non-native,0,,,,
"Bidens aristosa",Asteraceae,,non-native,0,,,,
"Bidens bipinnata",Asteraceae,,native,1,,,,
"Bidens cernua",Asteraceae,,native,4,,,,
"Bidens connata",Asteraceae,,native,4,,,,
"Bidens discoidea",Asteraceae,,native,6,,,,
"Bidens frondosa",Asteraceae,,native,2,,,,
"Bidens laevis",Asteraceae,,native,5,,,,
"Bidens tripartita",Asteraceae,,native,2,,,,
"Bidens vulgata",Asteraceae,,native,2,,,,
"Bignonia capreolata",Bignoniaceae,,native,6,,,,
"Blephilia ciliata",Lamiaceae,,native,7,,,,
"Blephilia hirsuta",Lamiaceae,,native,6,,,,
"Boehmeria cylindrica",Urticaceae,,native,5,,,,
"Boltonia asteroides",Asteraceae,,native,10,,,,
"Botrychium biternatum",Ophioglossaceae,,native,3,,,,
"Botrychium dissectum",Ophioglossaceae,,native,4,,,,
"Botrychium lanceolatum var. angustisegmentum",Ophioglossaceae,,native,9,,,,
"Botrychium matricariifolium",Ophioglossaceae,,native,4,,,,
"Botrychium multifidum",Ophioglossaceae,,native,8,,,,
"Botrychium oneidense",Ophioglossaceae,,native,7,,,,
"Botrychium virginianum",Ophioglossaceae,,native,5,,,,
"Bouteloua curtipendula",Poaceae,,native,8,,,,
"Brachyelytrum erectum",Poaceae,,native,6,,,,
"Brasenia schreberi",Cabombaceae,,native,3,,,,
"Brassica juncea",Brassicaceae,,non-native,0,,,,
"Brassica nigra",Brassicaceae,,non-native,0,,,,
"Brassica oleracea",Brassicaceae,,non-native,0,,,,
"Brassica rapa",Brassicaceae,,non-native,0,,,,
"Brickellia eupatorioides",Asteraceae,,native,8,,,,
"Briza media",Poaceae,,non-native,0,,,,
"Briza minor",Poaceae,,non-native,0,,,,
"Bromus arenarius",Poaceae,,non-native,0,,,,
"Bromus arvensis",Poaceae,,non-native,0,,,,
"Bromus catharticus",Poaceae,,non-native,0,,,,
"Bromus ciliatus",Poaceae,,native,7,,,,
"Bromus diandrus",Poaceae,,non-native,0,,,,
"Bromus diandrus ssp. rigidus",Poaceae,,non-native,0,,,,
"Bromus hordeaceus",Poaceae,,non-native,0,,,,
"Bromus inermis",Poaceae,,non-native,0,,,,
"Bromus inermis ssp. inermis var. inermis",Poaceae,,non-native,0,,,,
"Bromus latiglumis",Poaceae,,native,7,,,,
"Bromus nottowayanus",Poaceae,,native,7,,,,
"Bromus pubescens",Poaceae,,native,7,,,,
"Bromus racemosus",Poaceae,,non-native,0,,,,
"Bromus secalinus",Poaceae,,non-native,0,,,,
"Bromus squarrosus",Poaceae,,non-native,0,,,,
"Bromus sterilis",Poaceae,,non-native,0,,,,
"Bromus tectorum",Poaceae,,non-native,0,,,,
"Broussonetia papyrifera",Moraceae,,non-native,0,,,,
"Buchnera americana",Scrophulariaceae,,native,9,,,,
"Buddleja davidii",Buddlejaceae,,non-native,0,,,,
"Buglossoides arvensis",Boraginaceae,,non-native,0,,,,
"Bulbostylis capillaris",Cyperaceae,,native,2,,,,
"Bupleurum rotundifolium",Apiaceae,,non-native,0,,,,
"Buxus microphylla",Buxaceae,,non-native,0,,,,
"Cabomba caroliniana",Cabombaceae,,non-native,0,,,,
"Calamagrostis canadensis",Poaceae,,native,7,,,,
"Calamagrostis canadensis var. macouniana",Poaceae,,native,7,,,,
"Calamagrostis cinnoides",Poaceae,,native,7,,,,
"Calamagrostis epigeios",Poaceae,,non-native,0,,,,
"Calamagrostis porteri",Poaceae,,native,8,,,,
"Calamintha nepeta",Lamiaceae,,non-native,0,,,,
"Calamintha nepeta ssp. glandulosa",Lamiaceae,,non-native,0,,,,
"Calendula officinalis",Asteraceae,,non-native,0,,,,
"Calepina irregularis",Brassicaceae,,non-native,0,,,,
"Callicarpa dichotoma",Verbenaceae,,non-native,0,,,,
"Callirhoe involucrata",Malvaceae,,non-native,0,,,,
"Callistephus chinensis",Asteraceae,,non-native,0,,,,
"Callitriche heterophylla",Callitrichaceae,,native,5,,,,
"Callitriche palustris",Callitrichaceae,,native,8,,,,
"Callitriche stagnalis",Callitrichaceae,,non-native,0,,,,
"Callitriche terrestris",Callitrichaceae,,native,2,,,,
"Calopogon tuberosus",Orchidaceae,,native,10,,,,
"Caltha palustris",Ranunculaceae,,native,8,,,,
"Calycanthus floridus",Calycanthaceae,,non-native,0,,,,
"Calycanthus floridus var. glaucus",Calycanthaceae,,native,8,,,,
"Calystegia hederacea",Convolvulaceae,,non-native,0,,,,
"Calystegia sepium",Convolvulaceae,,native,1,,,,
"Calystegia silvatica",Convolvulaceae,,native,1,,,,
"Calystegia spithamaea",Convolvulaceae,,native,7,,,,
"Calystegia spithamaea ssp. purshiana",Convolvulaceae,,native,9,,,,
"Camelina microcarpa",Brassicaceae,,non-native,0,,,,
"Camelina sativa",Brassicaceae,,non-native,0,,,,
"Campanula aparinoides",Campanulaceae,,native,7,,,,
"Campanula divaricata",Campanulaceae,,native,7,,,,
"Campanula glomerata",Campanulaceae,,non-native,0,,,,
"Campanula rapunculoides",Campanulaceae,,non-native,0,,,,
"Campanula rotundifolia",Campanulaceae,,native,9,,,,
"Campanulastrum americanum",Campanulaceae,,native,5,,,,
"Campsis radicans",Bignoniaceae,,native,2,,,,
"Cannabis sativa",Cannabaceae,,non-native,0,,,,
"Cannabis sativa ssp. sativa var. sativa",Cannabaceae,,non-native,0,,,,
"Capsella bursa-pastoris",Brassicaceae,,non-native,0,,,,
"Capsicum annuum",Solanaceae,,non-native,0,,,,
"Cardamine angustata",Brassicaceae,,native,7,,,,
"Cardamine bulbosa",Brassicaceae,,native,7,,,,
"Cardamine concatenata",Brassicaceae,,native,5,,,,
"Cardamine dissecta",Brassicaceae,,native,7,,,,
"Cardamine douglassii",Brassicaceae,,native,7,,,,
"Cardamine hirsuta",Brassicaceae,,non-native,0,,,,
"Cardamine impatiens",Brassicaceae,,non-native,0,,,,
"Cardamine micranthera",Brassicaceae,,native,10,,,,
"Cardamine parviflora var. arenicola",Brassicaceae,,native,6,,,,
"Cardamine pensylvanica",Brassicaceae,,native,6,,,,
"Cardamine pratensis",Brassicaceae,,non-native,0,,,,
"Cardamine rotundifolia",Brassicaceae,,native,8,,,,
"Cardaria draba",Brassicaceae,,non-native,0,,,,
"Cardaria pubescens",Brassicaceae,,non-native,0,,,,
"Cardiospermum halicacabum",Sapindaceae,,non-native,0,,,,
"Carduus acanthoides",Asteraceae,,non-native,0,,,,
"Carduus nutans",Asteraceae,,non-native,0,,,,
"Carduus tenuiflorus",Asteraceae,,non-native,0,,,,
"Carex abscondita",Cyperaceae,,native,5,,,,
"Carex aestivalis",Cyperaceae,,native,7,,,,
"Carex aggregata",Cyperaceae,,native,4,,,,
"Carex alata",Cyperaceae,,native,5,,,,
"Carex albicans",Cyperaceae,,native,6,,,,
"Carex albicans var. emmonsii",Cyperaceae,,native,6,,,,
"Carex albolutescens",Cyperaceae,,native,5,,,,
"Carex albursina",Cyperaceae,,native,8,,,,
"Carex amphibola",Cyperaceae,,native,7,,,,
"Carex annectens",Cyperaceae,,native,5,,,,
"Carex appalachica",Cyperaceae,,native,8,,,,
"Carex aquatilis",Cyperaceae,,native,9,,,,
"Carex argyrantha",Cyperaceae,,native,8,,,,
"Carex atlantica",Cyperaceae,,native,6,,,,
"Carex atlantica ssp. capillacea",Cyperaceae,,native,7,,,,
"Carex baileyi",Cyperaceae,,native,6,,,,
"Carex bicknellii",Cyperaceae,,native,10,,,,
"Carex blanda",Cyperaceae,,native,3,,,,
"Carex brevior",Cyperaceae,,native,4,,,,
"Carex bromoides",Cyperaceae,,native,8,,,,
"Carex brunnescens",Cyperaceae,,native,8,,,,
"Carex brunnescens ssp. sphaerostachya",Cyperaceae,,native,8,,,,
"Carex bushii",Cyperaceae,,native,6,,,,
"Carex buxbaumii",Cyperaceae,,native,9,,,,
"Carex canescens",Cyperaceae,,native,8,,,,
"Carex canescens ssp. disjuncta",Cyperaceae,,native,8,,,,
"Carex careyana",Cyperaceae,,native,10,,,,
"Carex caroliniana",Cyperaceae,,native,5,,,,
"Carex cephaloidea",Cyperaceae,,native,6,,,,
"Carex cephalophora",Cyperaceae,,native,5,,,,
"Carex collinsii",Cyperaceae,,native,10,,,,
"Carex communis",Cyperaceae,,native,7,,,,
"Carex comosa",Cyperaceae,,native,6,,,,
"Carex complanata",Cyperaceae,,native,4,,,,
"Carex conjuncta",Cyperaceae,,native,6,,,,
"Carex conoidea",Cyperaceae,,native,8,,,,
"Carex crebriflora",Cyperaceae,,native,6,,,,
"Carex crinita",Cyperaceae,,native,5,,,,
"Carex crinita var. brevicrinis",Cyperaceae,,native,5,,,,
"Carex cristatella",Cyperaceae,,native,7,,,,
"Carex cumberlandensis",Cyperaceae,,native,7,,,,
"Carex davisii",Cyperaceae,,native,8,,,,
"Carex debilis",Cyperaceae,,native,4,,,,
"Carex debilis var. rudgei",Cyperaceae,,native,6,,,,
"Carex decomposita",Cyperaceae,,native,10,,,,
"Carex digitalis",Cyperaceae,,native,6,,,,
"Carex digitalis var. macropoda",Cyperaceae,,native,7,,,,
"Carex distans",Cyperaceae,,non-native,0,,,,
