"Minnesota Wetlands"
2007
"Milburn, S. A., M. Bourdaghs, and J. J. Husveth. 2007. Floristic Quality Assessment for Minnesota Wetlands. Minnesota Pollution Control Agency, St. Paul, Minn."
"Minnesota Wetlands  , 2007"

"Total Species:",1266
"Native Species:",1108
"Non-native Species:",158
"Total Mean C:",5.2
"Native Mean C:",5.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,,native,4,-3,tree,annual,"balsam fir"
"Abutilon theophrasti",Malvaceae,,non-native,0,4,forb,annual,
"Acalypha rhomboidea",Euphorbiaceae,,native,0,3,forb,annual,"three-seeded mercury"
"Acer negundo",Aceraceae,,native,1,-2,tree,annual,"box elder"
"Acer rubrum var. rubrum",Aceraceae,,native,3,0,tree,annual,"red maple"
"Acer saccharinum",Aceraceae,,native,3,-3,tree,annual,"silver maple"
"Acer saccharum var. saccharum",Aceraceae,,native,5,3,tree,annual,"sugar maple"
"Acer spicatum",Aceraceae,,native,5,0,tree,annual,"mountain maple"
"Achillea millefolium",Asteraceae,,native,1,3,forb,annual,yarrow
"Achnatherum hymenoides",Poaceae,,native,6,2,grass,annual,"indian rice grass"
"Acorus americanus",Acoraceae,,native,7,-5,forb,annual,"sweet flag"
"Acorus calamus",Acoraceae,,non-native,0,-5,forb,annual,
"Adiantum pedatum",Pteridaceae,,native,7,1,forb,annual,"maidenhair fern"
"Adoxa moschatellina",Adoxaceae,,native,9,0,forb,annual,moschatel
"Aegopodium podagraria",Apiaceae,,non-native,0,0,forb,annual,
"Agalinis aspera",Scrophulariaceae,,native,7,1,forb,annual,"rough gerardia"
"Agalinis paupercula",Scrophulariaceae,,native,7,-5,forb,annual,"purple false foxglove"
"Agalinis purpurea",Scrophulariaceae,,native,7,-3,forb,annual,"purple false foxglove"
"Agalinis tenuifolia",Scrophulariaceae,,native,3,-3,forb,annual,"slender-leaved false foxglove"
"Agastache nepetoides",Lamiaceae,,native,4,3,shrub,annual,"yellow giant hyssop"
"Ageratina altissima var. altissima",Asteraceae,,native,2,3,forb,annual,"white snakeroot"
"Agoseris glauca var. glauca",Asteraceae,,native,8,3,forb,annual,"glaucous false dandelion"
"Agrimonia gryposepala",Rosaceae,,native,2,2,forb,annual,"common agrimony"
"Agrimonia striata",Rosaceae,,native,3,1,forb,annual,"roadside agrimony"
"Agrostis gigantea",Poaceae,,non-native,0,-3,grass,annual,
"Agrostis hyemalis",Poaceae,,native,8,1,grass,annual,"winter bentgrass"
"Agrostis perennans",Poaceae,,native,3,1,grass,annual,"autumn bentgrass"
"Agrostis scabra",Poaceae,,native,2,0,grass,annual,"winter bentgrass"
"Agrostis stolonifera",Poaceae,,native,1,-3,grass,annual,"redtop poaceae"
"Alisma gramineum",Alismataceae,,native,5,-5,forb,annual,"narrow-leaved water plantain"
"Alisma subcordatum",Alismataceae,,native,4,-5,forb,annual,"heart-leaved water plantain"
"Alisma triviale",Alismataceae,,native,4,-5,forb,annual,"common water plantain"
"Alliaria petiolata",Brassicaceae,,non-native,0,0,forb,annual,
"Allium canadense var. canadense",Liliaceae,,native,5,3,forb,annual,"wild garlic"
"Allium schoenoprasum var. sibiricum",Liliaceae,,native,9,-1,forb,annual,"wild chives"
"Allium tricoccum",Liliaceae,,native,6,2,forb,annual,"wild leek"
"Alnus incana ssp. rugosa",Betulaceae,,native,3,-5,tree,annual,"speckled alder"
"Alnus viridis ssp. crispa",Betulaceae,,native,6,0,tree,annual,"green alder"
"Alopecurus aequalis var. aequalis",Poaceae,,native,4,-5,grass,annual,"short-awn foxtail"
"Alopecurus carolinianus",Poaceae,,native,8,-3,grass,annual,"carolina foxtail"
"Amaranthus albus",Amaranthaceae,,non-native,0,3,forb,annual,
"Amaranthus retroflexus",Amaranthaceae,,non-native,0,2,forb,annual,
"Amaranthus rudis",Amaranthaceae,,native,0,-3,forb,annual,"tamarisk water hemp"
"Amaranthus tuberculatus",Amaranthaceae,,native,2,-5,forb,annual,"tubercled amaranth"
"Ambrosia artemisiifolia",Asteraceae,,native,0,3,forb,annual,"common ragweed"
"Ambrosia psilostachya",Asteraceae,,native,2,1,forb,annual,"western ragweed"
"Ambrosia trifida var. trifida",Asteraceae,,native,0,-1,shrub,annual,"great ragweed"
"Amelanchier alnifolia var. alnifolia",Rosaceae,,native,5,2,tree,annual,"saskatoon juneberry"
"Amelanchier arborea var. arborea",Rosaceae,,native,6,3,tree,annual,"downy serviceberry"
"Amelanchier bartramiana",Rosaceae,,native,6,0,tree,annual,"northern juneberry"
"Amelanchier stolonifera",Rosaceae,,native,3,3,shrub,annual,"creeping juneberry"
"Amelanchier x intermedia",Rosaceae,,native,3,-3,tree,annual,"intermediate juneberry"
"Amerorchis rotundifolia",Orchidaceae,,native,10,-5,forb,annual,"small round-leaved orchis"
"Ammannia coccinea",Lythraceae,,native,5,-5,shrub,annual,ammannia
"Amorpha fruticosa",Fabaceae,,native,4,-4,shrub,annual,"false indigo"
"Amphicarpaea bracteata",Fabaceae,,native,2,0,vine,annual,"hog peanut"
"Andromeda polifolia var. glaucophylla",Ericaceae,,native,9,-5,shrub,annual,"bog rosemary"
"Andropogon gerardii",Poaceae,,native,4,1,grass,annual,"big bluestem"
"Androsace occidentalis",Primulaceae,,native,2,4,forb,annual,"western androsace"
"Androsace septentrionalis ssp. puberulenta",Primulaceae,,native,5,1,forb,annual,"northern androsace"
"Anemone canadensis",Ranunculaceae,,native,3,-3,forb,annual,"canada anemone"
"Anemone quinquefolia var. bifolia",Ranunculaceae,,native,5,0,forb,annual,"wood anemone"
"Angelica atropurpurea",Apiaceae,,native,6,-5,forb,annual,angelica
