Missouri
2015
"Ladd, D. and J.R. Thomas. 2015. Ecological Checklist of the Missouri Flora for Floristic Quality Assessment. Phytoneuron 2015-12: 1-274"
"Missouri  , 2015"

"Total Species:",2960
"Native Species:",2055
"Non-native Species:",905
"Total Mean C:",4.2
"Native Mean C:",6.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,3,forb,annual,velvetleaf
"Acaciella angustissima",Fabaceae,ACAANG,native,10,5,shrub,perennial,"prairie acacia"
"Acalypha deamii",Euphorbiaceae,ACADEA,native,7,3,forb,annual,"large-seeded mercury"
"Acalypha gracilens",Euphorbiaceae,ACAGRA,native,3,5,forb,annual,"slender mercury"
"Acalypha monococca",Euphorbiaceae,ACAMON,native,3,5,forb,annual,"one-seeded slender mercury"
"Acalypha ostryifolia",Euphorbiaceae,ACAOST,native,1,5,forb,annual,"three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,1,3,forb,annual,"rhombic copperleaf"
"Acalypha virginica",Euphorbiaceae,ACAVIR,native,2,3,forb,annual,"virginia mercury"
"Acer ginnala",Sapindaceae,ACEGIN,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo",Sapindaceae,ACENEG,native,1,0,tree,perennial,"box elder"
"Acer rubrum var. drummondii",Sapindaceae,ACERUD,native,8,-5,tree,perennial,"drummonds maple"
"Acer rubrum var. rubrum",Sapindaceae,ACERUR,native,5,0,tree,perennial,"red maple"
"Acer rubrum var. trilobum",Sapindaceae,ACERUT,native,6,0,tree,perennial,"trident maple"
"Acer saccharinum",Sapindaceae,ACESIL,native,2,-3,tree,perennial,"silver maple"
"Acer saccharum subsp. floridanum",Sapindaceae,ACESUF,native,6,3,tree,perennial,"southern sugar maple"
"Acer saccharum subsp. nigrum",Sapindaceae,ACESUN,native,5,3,tree,perennial,"black maple"
"Acer saccharum subsp. saccharum",Sapindaceae,ACESUG,native,5,3,tree,perennial,"sugar maple"
"Acer saccharum subsp. schneckii",Sapindaceae,ACESUC,native,5,3,tree,perennial,"velvety sugar maple"
"Achillea millefolium",Asteraceae,ACHMIL,native,1,3,forb,perennial,yarrow
"Achillea ptarmica",Asteraceae,ACHPTA,non-native,0,3,forb,perennial,sneezewort
"Achyranthes japonica",Amaranthaceae,ACHJAP,non-native,0,5,forb,perennial,"japanese chaff flower"
"Acmella oppositifolia",Asteraceae,ACMOPP,native,8,-3,forb,perennial,spilanthes
"Acmispon americanus",Fabaceae,ACMAME,native,6,3,forb,annual,"clements prairie trefoil"
"Aconitum uncinatum",Ranunculaceae,ACOUNC,native,10,0,forb,perennial,"southern monkshood"
"Acorus calamus",Acoraceae,ACOCAL,non-native,0,-5,forb,perennial,"sweet flag"
"Actaea pachypoda",Ranunculaceae,ACTPAC,native,8,3,forb,perennial,"white baneberry"
"Actaea racemosa",Ranunculaceae,ACTRAC,native,7,5,forb,perennial,"black cohosh"
"Actinidia chinensis var. deliciosa",Actinidiaceae,ACTCHI,non-native,0,5,vine,perennial,"dwarf kiwi"
"Adiantum capillus-veneris",Pteridaceae,ADICAP,native,10,3,fern,perennial,"venus-hair fern"
"Adiantum pedatum",Pteridaceae,ADIPED,native,6,3,fern,perennial,"maidenhair fern"
"Adonis annua",Ranunculaceae,ADOANN,non-native,0,5,forb,annual,"blood drops"
"Aegilops cylindrica",Poaceae,AEGCYL,non-native,0,5,grass,annual,"goat grass"
"Aeschynomene indica",Fabaceae,AESIND,non-native,0,-3,forb,annual,"indian jointvetch"
"Aeschynomene rudis",Fabaceae,AESRUD,non-native,0,5,forb,perennial,"zigzag jointvetch"
"Aesculus glabra var. arguta",Sapindaceae,AESGLT,native,5,3,tree,perennial,"ohio buckeye"
