Nebraska
2003
"Rolfsmeier, S. and G. Steinauer. 2003. Vascular Plants of Nebraska (Version I - July 2003). Nebraska Natural Heritage Program, Nebraska Game and Parks Commission. Lincoln, Nebraska. 57 pp. Updated 2013."
"Nebraska  , 2003"

"Total Species:",2071
"Native Species:",1572
"Non-native Species:",499
"Total Mean C:",3.9
"Native Mean C:",5.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abdra brachycarpa [draba brachycarpa]",Brassicaceae,[DRBR],native,4,0,forb,annual,"short-pod draba"
"Abronia fragrans",Nyctaginaceae,ABFR2,native,3,0,forb,perennial,"sweet sand-verbena"
"Abutilon theophrasti",Malvaceae,ABTH,non-native,0,0,forb,annual,velvet-leaf
"Acalypha ostryifolia",Euphorbiaceae,ACOS,native,0,0,forb,annual,"rough-pod copperleaf"
"Acalypha rhomboidea",Euphorbiaceae,ACRH,native,0,3,forb,annual,"rhombic copperleaf"
"Acalypha virginica",Euphorbiaceae,ACVI,native,2,3,forb,annual,"virginia copperleaf"
"Acer glabrum",Aceraceae,ACGL,native,10,0,shrub,perennial,"rocky mountain maple"
"Acer negundo var. interius",Aceraceae,ACNEI2,native,2,0,tree,perennial,box-elder
"Acer negundo var. negundo",Aceraceae,ACNEN,native,1,0,tree,perennial,box-elder
"Acer negundo var. violaceum",Aceraceae,ACNEV,native,1,0,tree,perennial,box-elder
"Acer saccharinum",Aceraceae,ACSA2,native,4,0,tree,perennial,"silver maple"
"Acer saccharum",Aceraceae,ACSA3,native,6,0,tree,perennial,"sugar maple"
"Achillea millefolium var. occidentalis",Asteraceae,ACMIO,native,2,3,forb,perennial,"western yarrow"
"Achnatherum hymenoides (stipa hymenoides)",Poaceae,ACHY,native,4,3,forb,perennial,"indian ricegrass"
"Achnatherum robustum (stipa robusta)",Poaceae,ACRO7,non-native,0,0,forb,perennial,"stout needle grass"
"Acmispon americanus var. americanus (lotus purshianus)",Fabaceae,[ACAM4],native,3,3,forb,annual,"prairie trefoil"
"Acorus americanus",Acoraceae,ACAM,native,8,-5,forb,perennial,"american sweetflag"
"Acorus calamus",Acoraceae,ACCA4,non-native,0,-5,forb,perennial,"european sweetflag"
"Actaea pachypoda",Ranunculaceae,ACPA,native,7,0,forb,perennial,"white baneberry"
"Actaea rubra",Ranunculaceae,ACRU2,native,7,3,forb,perennial,"red baneberry"
"Adiantum pedatum",Pteridaceae,ADPE,native,7,0,forb,perennial,"northern maiden-hair fern"
"Aegilops cylindrica",Poaceae,AECY,non-native,0,0,forb,annual,"jointed goatgrass"
"Aesculus glabra var. arguta",Hippocastanaceae,AEGLA,native,5,0,tree,perennial,"ohio buckeye"
"Agalinis aspera",Orobanchaceae,AGAS2,native,10,3,forb,annual,"rough false foxglove"
"Agalinis gattingeri",Orobanchaceae,AGGA,native,8,0,forb,annual,"round-stem false foxglove"
"Agalinis purpurea",Orobanchaceae,AGPU5,native,8,-3,forb,annual,"smooth false foxglove"
"Agalinis tenuifolia var. macrophylla",Orobanchaceae,AGTEM,native,5,0,forb,annual,"narrow-leaf false foxglove"
"Agalinis tenuifolia var. parviflora",Orobanchaceae,AGTEP2,native,5,0,forb,annual,"narrow-leaf false foxglove"
"Agastache foeniculum",Lamiaceae,AGFO,native,9,0,forb,perennial,"lavender giant-hyssop"
"Agastache nepetoides",Lamiaceae,AGNE2,native,5,3,forb,perennial,"catnip giant-hyssop"
"Agastache scrophulariifolia",Lamiaceae,AGSC,native,8,0,forb,perennial,"purple giant-hyssop"
"Ageratina altissima var. altissima",Asteraceae,AGALA,native,4,0,forb,perennial,"white snakeroot"
"Agoseris glauca var. glauca",Asteraceae,AGGLG,native,8,3,forb,perennial,"pale false-dandelion"
"Agrimonia gryposepala",Rosaceae,AGGR2,native,5,0,forb,perennial,"tall hairy agrimony"
"Agrimonia parviflora",Rosaceae,AGPA6,native,5,-3,forb,perennial,"southern agrimony"
"Agrimonia pubescens",Rosaceae,AGPU,native,6,0,forb,perennial,"downy agrimony"
"Agrimonia striata",Rosaceae,AGST,native,6,3,forb,perennial,"northern agrimony"
"Agropyron cristatum",Poaceae,AGCR,non-native,0,0,forb,perennial,"crested wheatgrass"
"Agropyron fragile",Poaceae,AGFR,non-native,0,0,forb,perennial,"siberian wheatgrass"
"Agrostemma githago",Caryophyllaceae,AGGI,non-native,0,0,forb,annual,corn-cockle
"Agrostis exarata var. minor",Poaceae,AGEXM,native,9,-3,forb,perennial,spikebent
"Agrostis gigantea (a. stolonifera var. major)",Poaceae,AGGI2,non-native,0,-3,forb,perennial,redtop
"Agrostis hyemalis",Poaceae,AGHY,native,4,0,forb,perennial,ticklegrass
"Agrostis scabra",Poaceae,AGSC5,native,5,0,forb,perennial,"rough bentgrass"
"Agrostis stolonifera var. palustris",Poaceae,AGSTP,non-native,0,-3,forb,perennial,"creeping bentgrass"
"Ailanthus altissima",Simaroubaceae,AIAL,non-native,0,3,tree,perennial,tree-of-heaven
"Alcea rosea",Malvaceae,ALRO3,non-native,0,0,forb,biennial,hollyhock
"Aliciella pinnatifida (gilia pinnatifida)",Polemoniaceae,ALPI2,native,4,0,forb,annual,"sticky gilia"
"Alisma gramineum",Alismataceae,ALGR,native,4,-5,forb,perennial,"grass-leaf water-plantain"
"Alisma subcordatum",Alismataceae,ALSU,native,4,-5,forb,perennial,"southern water-plantain"
"Alisma triviale",Alismataceae,ALTR7,native,4,-5,forb,perennial,"northern water-plantain"
"Alliaria petiolata",Brassicaceae,ALPE4,non-native,0,0,forb,biennial,"garlic mustard"
"Allium burdickii (a. tricoccum var. burdickii)",Amaryllidaceae,ALBU2,native,10,0,forb,perennial,"wild leek"
"Allium canadense var. canadense",Amaryllidaceae,ALCAC,native,3,3,forb,perennial,"meadow garlic"
"Allium canadense var. fraseri",Amaryllidaceae,ALCAF,native,7,3,forb,perennial,"frasers wild onion"
"Allium canadense var. lavendulare",Amaryllidaceae,ALCAL,native,7,3,forb,perennial,"prairie wild onion"
"Allium cernuum",Amaryllidaceae,ALCE2,native,8,0,forb,perennial,"nodding wild onion"
"Allium drummondii",Amaryllidaceae,ALDR,native,7,0,forb,perennial,"drummonds wild onion"
"Allium perdulce var. perdulce",Amaryllidaceae,ALPEP,native,6,0,forb,perennial,"plains wild onion"
"Allium sativum",Amaryllidaceae,ALSA2,non-native,0,0,forb,perennial,garlic
"Allium textile",Amaryllidaceae,ALTE,native,6,0,forb,perennial,"white wild onion"
"Allium tuberosum",Amaryllidaceae,ALTU3,non-native,0,0,forb,perennial,"garlic chives"
"Allium vineale",Amaryllidaceae,ALVI,non-native,0,3,forb,perennial,"field garlic"
"Alnus glutinosa",Betulaceae,ALGL2,non-native,0,0,shrub,perennial,"european alder"
"Alopecurus aequalis var. aequalis",Poaceae,ALAEA,native,6,-5,forb,perennial,"short-awn foxtail"
"Alopecurus arundinaceus",Poaceae,ALAR,non-native,0,-3,forb,perennial,"garrison creeping-foxtail"
"Alopecurus carolinianus",Poaceae,ALCA4,native,1,-3,forb,annual,"carolina foxtail"
"Alopecurus geniculatus",Poaceae,ALGE2,non-native,0,-5,forb,perennial,"water foxtail"
"Alopecurus pratensis",Poaceae,ALPR3,non-native,0,-3,forb,perennial,"meadow foxtail"
