Delaware
2013
"McAvoy, W.A. 2013. The Flora of Delaware Online Database. Delaware Division of Fish and  Wildlife, Species Conservation and Research Program, Smyrna, Delaware.  http://www.wra.udel.edu/de-flora/Introduction/ "
"Delaware  , 2013"

"Total Species:",2306
"Native Species:",1598
"Non-native Species:",708
"Total Mean C:",4.3
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abutilon theophrasti",Malvaceae,,non-native,0,5,forb,annual,velvet-leaf
"Acalypha gracilens",Euphorbiaceae,,native,2,,forb,annual,"slender copperleaf"
"Acalypha rhomboidea",Euphorbiaceae,,native,2,4,forb,annual,"rhomboid copperleaf"
"Acalypha virginica",Euphorbiaceae,,native,2,4,forb,annual,"virginia copperleaf"
"Acer negundo var. negundo",Sapindaceae,,native,4,-1,tree,perennial,"box elder"
"Acer nigrum",Sapindaceae,,non-native,0,3,tree,perennial,"black maple"
"Acer palmatum",Sapindaceae,,non-native,0,,tree,perennial,"japanese maple"
"Acer platanoides",Sapindaceae,,non-native,0,,tree,perennial,"norway maple"
"Acer pseudoplatanus",Sapindaceae,,non-native,0,,tree,perennial,"sycamore maple"
"Acer rubrum var. rubrum",Sapindaceae,,native,2,0,tree,perennial,"red maple"
"Acer rubrum var. trilobum",Sapindaceae,,native,2,-4,tree,perennial,"red maple"
"Acer saccharinum",Sapindaceae,,native,5,-3,tree,perennial,"silver maple"
"Acer saccharum var. saccharum",Sapindaceae,,native,7,4,tree,perennial,"sugar maple"
"Achillea filipendulina",Asteraceae,,non-native,0,,forb,perennial,"fernleaf yarrow"
"Achillea millefolium",Asteraceae,,non-native,0,3,forb,perennial,yarrow
"Acorus americanus",Acoraceae,,native,8,-5,forb,perennial,"american sweetflag"
"Acorus calamus",Acoraceae,,non-native,0,-5,forb,perennial,"european sweetflag"
"Actaea pachypoda",Ranunculaceae,,native,9,,forb,perennial,"white baneberry"
"Actaea racemosa; cimicifuga racemosa",Ranunculaceae,,native,8,,forb,perennial,"black cohosh"
"Adiantum pedatum",Pteridaceae,,native,8,1,fern,perennial,maidenhair-fern
