Maine
2014
"Maine Natural Areas Program"
"Maine  , 2014"

"Total Species:",2396
"Native Species:",1514
"Non-native Species:",882
"Total Mean C:",3.2
"Native Mean C:",5

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABIBAL,native,3,0,tree,perennial,"balsam fir"
"Abies concolor",Pinaceae,ABICON,non-native,0,,tree,perennial,"white fir"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,3,forb,annual,velvetleaf
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,2,3,forb,annual,"common threeseed mercury"
"Acer ginnala",Sapindaceae,ACEGIN,non-native,0,,tree,perennial,"amur maple"
"Acer negundo",Sapindaceae,ACENEG,non-native,0,0,tree,perennial,boxelder
"Acer pensylvanicum",Sapindaceae,ACEPEN,native,5,3,tree,perennial,"striped maple"
"Acer platanoides",Sapindaceae,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer pseudoplatanus",Sapindaceae,ACEPSE,non-native,0,,tree,perennial,"sycamore maple"
"Acer rubrum",Sapindaceae,ACERUB,native,2,0,tree,perennial,"red maple"
"Acer saccharinum",Sapindaceae,ACESAI,native,6,-3,tree,perennial,"silver maple"
"Acer saccharum",Sapindaceae,ACESAU,native,5,3,tree,perennial,"sugar maple"
"Acer spicatum",Sapindaceae,ACESPI,native,6,3,tree,perennial,"mountain maple"
"Acer xfreemanii",Sapindaceae,ACEXFR,native,2,0,tree,perennial,"red maple x silver maple"
"Achillea millefolium",Asteraceae,ACHMIL,non-native,0,3,forb,perennial,"common yarrow"
"Achillea millefolium var. borealis",Asteraceae,ACHMIL,non-native,0,3,forb,perennial,"common yarrow"
"Achillea millefolium var. millefolium",Asteraceae,ACHMIL,non-native,0,3,forb,perennial,"common yarrow"
"Achillea millefolium var. occidentalis",Asteraceae,ACHMIL,non-native,0,3,forb,perennial,"common yarrow"
"Achillea ptarmica",Asteraceae,ACHPTA,non-native,0,3,forb,perennial,sneezeweed
"Acinos arvensis",Lamiaceae,ACIARV,non-native,0,,forb,perennial,"basil thyme"
"Aconitum napellus",Ranunculaceae,ACONAP,non-native,0,,forb,perennial,"venus chariot"
"Acorus americanus",Acoraceae,ACOAME,native,6,-5,forb,perennial,sweetflag
"Acorus calamus",Acoraceae,ACOCAL,native,6,-5,forb,perennial,calamus
"Actaea pachypoda",Ranunculaceae,ACTPAC,native,7,5,forb,perennial,"white baneberry"
"Actaea racemosa",Ranunculaceae,ACTRAC,non-native,0,,forb,perennial,"black baneberry"
"Actaea rubra",Ranunculaceae,ACTRUB,native,7,3,forb,perennial,"red baneberry"
"Actinidia arguta",Actinidiaceae,ACTARG,non-native,0,,forb,perennial,"tara vine"
"Adiantum aleuticum",Pteridaceae,ADIALE,native,9,3,fern,perennial,"aleutian maidenhair"
"Adiantum pedatum",Pteridaceae,ADIPED,native,8,3,fern,perennial,"northern maidenhair"
"Adlumia fungosa",Papaveraceae,ADLFUN,native,7,,vine,biennial,"allegheny vine"
"Aegopodium podagraria",Apiaceae,AEGPOD,non-native,0,0,forb,perennial,"bishops goutweed"
"Aesculus glabra",Sapindaceae,AESGLA,non-native,0,0,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",Sapindaceae,AESHIP,non-native,0,,tree,perennial,"horse chestnut"
"Aethusa cynapium",Apiaceae,AETCYN,non-native,0,,forb,annual,"fools parsley"
"Agalinis maritima",Scrophulariaceae,AGAMAR,native,7,-3,forb,annual,"saltmarsh false foxglove"
"Agalinis neoscotica",Scrophulariaceae,AGANEO,native,8,-3,forb,annual,"nova scotia false foxglove"
"Agalinis paupercula",Scrophulariaceae,AGAPAU,native,4,-5,forb,annual,"smallflower false foxglove"
"Agalinis tenuifolia",Orobanchaceae,AGATEN,native,4,-3,forb,annual,"slenderleaf false foxglove"
"Ageratina altissima",Asteraceae,AGEALT,native,6,3,forb,perennial,"white snakeroot"
"Agrimonia gryposepala",Rosaceae,AGRGRY,native,4,3,forb,perennial,"tall hairy agrimony"
"Agrimonia striata",Rosaceae,AGRSTR,native,4,3,forb,perennial,"roadside agrimony"
"Agropyron pungens",Poaceae,AGRPUN,non-native,0,,grass,perennial,"tick quackgrass"
"Agrostemma githago",Caryophyllaceae,AGRGIT,non-native,0,,forb,annual,"common corncockle"
"Agrostis canina",Poaceae,AGRCAN,native,3,5,grass,perennial,"velvet bentgrass"
"Agrostis capillaris",Poaceae,AGRCAP,non-native,0,0,grass,perennial,"colonial bentgrass"
"Agrostis elliottiana",Poaceae,AGRELL,non-native,0,3,grass,perennial,"elliots bentgrass"
"Agrostis gigantea",Poaceae,AGRGIG,non-native,0,-3,grass,perennial,redtop
"Agrostis hyemalis",Poaceae,AGRHYE,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis mertensii",Poaceae,AGRMER,native,9,3,grass,perennial,"northern bentgrass"
"Agrostis perennans",Poaceae,AGRPER,native,3,3,grass,perennial,"upland bentgrass"
"Agrostis scabra",Poaceae,AGRSCA,native,2,0,grass,perennial,"rough bentgrass"
"Agrostis stolonifera",Poaceae,AGRSTO,non-native,0,-3,grass,perennial,"creeping bentgrass"
"Agrostis tenuis",Poaceae,AGRTEN,non-native,0,,grass,perennial,"colonial bentgrass"
