"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",,ABBA,native,3,,,,"balsam fir"
"Abies balsamea var. phanerolepis",,ABBAP,non-native,0,,,,"canaan fir"
"Abutilon theophrasti",,ABTH,non-native,0,,,,velvetleaf
"Acalypha gracilens",,ACGR2,non-native,0,,,,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,,,,"common threeseed mercury"
"Acalypha virginica",,ACVI,native,2,,,,"virginia threeseed mercury"
"Acer ginnala",,ACGI,non-native,0,,,,"amur maple"
"Acer negundo",,ACNE2,native,3,,,,boxelder
"Acer nigrum",,ACNI5,native,7,,,,"black maple"
"Acer pensylvanicum",,ACPE,native,4,,,,"striped maple"
"Acer platanoides",,ACPL,non-native,0,,,,"norway maple"
"Acer rubrum",,ACRU,native,3,,,,"red maple"
"Acer rubrum var. trilobum",,ACRUT,native,3,,,,"red maple"
"Acer saccharinum",,ACSA2,native,7,,,,"silver maple"
"Acer saccharum",,ACSA3,native,6,,,,"sugar maple"
"Acer spicatum",,ACSP2,native,5,,,,"mountain maple"
"Achillea millefolium",,ACMI2,non-native,0,,,,"common yarrow"
"Achillea millefolium var. borealis",,ACMI2,native,4,,,,"common yarrow"
"Achillea millefolium var. occidentalis",,ACMI2,non-native,0,,,,"common yarrow"
"Achillea ptarmica",,ACPT,non-native,0,,,,sneezeweed
"Aconitum napellus",,ACNA,non-native,0,,,,"venus chariot"
"Aconitum uncinatum",,ACUN,non-native,0,,,,"southern blue monkshood"
"Acorus calamus",,ACCA4,native,5,,,,calamus
"Actaea pachypoda",,ACPA,native,6,,,,"white baneberry"
"Actaea rubra",,ACRU2,native,6,,,,"red baneberry"
"Adiantum pedatum",,ADPE,native,8,,,,"northern maidenhair"
"Adlumia fungosa",,ADFU,native,7,,,,"allegheny vine"
"Aegopodium podagraria",,AEPO,non-native,0,,,,"bishops goutweed"
"Aesculus glabra",,AEGL,non-native,0,,,,"ohio buckeye"
"Agalinis maritima",,AGMA3,native,8,,,,"saltmarsh false foxglove"
"Agalinis paupercula",,AGPA12,native,4,,,,"smallflower false foxglove"
"Agalinis purpurea",,AGPU5,native,4,,,,"purple false foxglove"
"Agalinis tenuifolia",,AGTE3,native,4,,,,"slenderleaf false foxglove"
"Agastache foeniculum",,AGFO,non-native,0,,,,"blue giant hyssop"
"Agastache scrophulariifolia",,AGSC,native,3,,,,"purple giant hyssop"
"Ageratina altissima",,AGAL5,native,6,,,,"white snakeroot"
"Agrimonia gryposepala",,AGGR2,native,4,,,,"tall hairy agrimony"
"Agrimonia striata",,AGST,native,3,,,,"roadside agrimony"
"Agropyron cristatum",,AGCR,native,3,,,,"crested wheatgrass"
"Agrostemma githago",,AGGI,non-native,0,,,,"common corncockle"
"Agrostis canina",,AGCA4,non-native,0,,,,"velvet bentgrass"
"Agrostis capillaris",,AGCA5,non-native,0,,,,"colonial bentgrass"
"Agrostis gigantea",,AGGI2,non-native,0,,,,redtop
"Agrostis hyemalis",,AGHY,native,2,,,,"winter bentgrass"
"Agrostis mertensii",,AGME3,native,8,,,,"northern bentgrass"
"Agrostis perennans",,AGPE,native,2,,,,"upland bentgrass"
"Agrostis scabra",,AGSC5,native,3,,,,"rough bentgrass"
"Agrostis stolonifera",,AGST2,native,3,,,,"creeping bentgrass"
"Agrostis stolonifera var. palustris",,AGSTP,non-native,0,,,,"carpet bentgrass"
"Aira caryophyllea",,AICA,non-native,0,,,,"silver hairgrass"
"Aletris farinosa",,ALFA2,native,3,,,,"white colicroot"
"Alisma subcordatum",,ALSU,native,4,,,,"american water plantain"
"Alisma triviale",,ALTR7,native,4,,,,"northern water plantain"
"Alliaria petiolata",,ALPE4,non-native,0,,,,"garlic mustard"
"Allium burdickii",,ALBU2,native,7,,,,"narrowleaf wild leek"
"Allium canadense",,ALCA3,native,7,,,,"meadow garlic"
"Allium schoenoprasum",,ALSC,native,6,,,,"wild chives"
"Allium tricoccum",,ALTR3,native,7,,,,ramp
"Allium �proliferum",,ALCE,non-native,0,,,,"garden onion"
"Alnus incana",,ALIN2,native,3,,,,"gray alder"
"Alnus incana ssp. rugosa",,ALINR,native,3,,,,"speckled alder"
"Alnus serrulata",,ALSE2,native,4,,,,"hazel alder"
"Alnus viridis",,ALVI5,native,6,,,,"green alder"
"Alnus viridis ssp. crispa",,ALVIC,native,6,,,,"mountain alder"
"Alopecurus aequalis",,ALAE,native,2,,,,"shortawn foxtail"
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,"water foxtail"
"Alopecurus pratensis",,ALPR3,non-native,0,,,,"meadow foxtail"
"Amaranthus albus",,AMAL,non-native,0,,,,"prostrate pigweed"
"Amaranthus blitoides",,AMBL,non-native,0,,,,"mat amaranth"
"Amaranthus blitum",,AMBL2,non-native,0,,,,"purple amaranth"
"Amaranthus cannabinus",,AMCA2,native,5,,,,"tidalmarsh amaranth"
"Amaranthus cruentus",,AMCR4,non-native,0,,,,"red amaranth"
"Amaranthus hybridus",,AMHY,non-native,0,,,,"slim amaranth"
"Amaranthus powellii",,AMPO2,non-native,0,,,,"powells amaranth"
"Amaranthus retroflexus",,AMRE,non-native,0,,,,"redroot amaranth"
"Amaranthus tuberculatus",,AMTU,non-native,0,,,,"roughfruit amaranth"
"Ambrosia artemisiifolia",,AMAR2,native,2,,,,"annual ragweed"
"Ambrosia psilostachya",,AMPS,non-native,0,,,,"cuman ragweed"
"Ambrosia trifida",,AMTR,native,2,,,,"great ragweed"
"Amelanchier arborea",,AMAR3,native,4,,,,"common serviceberry"
"Amelanchier bartramiana",,AMBA,native,5,,,,"oblongfruit serviceberry"
"Amelanchier canadensis",,AMCA4,native,4,,,,"canadian serviceberry"
"Amelanchier laevis",,AMLA,native,3,,,,"allegheny serviceberry"
"Amelanchier sanguinea",,AMSA,native,3,,,,"roundleaf serviceberry"
"Amelanchier stolonifera",,AMHU2,native,3,,,,"low serviceberry"
"Amerorchis rotundifolia",,AMRO,native,9,,,,"roundleaf orchid"
"Ammophila breviligulata",,AMBR,native,3,,,,"american beachgrass"
"Amorpha fruticosa",,AMFR,non-native,0,,,,"desert false indigo"
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,"amur peppervine"
"Amphicarpaea bracteata",,AMBR2,native,3,,,,"american hogpeanut"
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,"tarweed fiddleneck"
"Amsinckia menziesii",,AMME,non-native,0,,,,"menzies fiddleneck"
"Amsinckia menziesii var. intermedia",,AMMEI2,non-native,0,,,,"common fiddleneck"
"Anagallis arvensis",,ANAR,non-native,0,,,,"scarlet pimpernel"
"Anaphalis margaritacea",,ANMA,native,3,,,,"western pearly everlasting"
"Anchusa arvensis",,ANAR16,non-native,0,,,,"small bugloss"
"Anchusa azurea",,ANAZ,non-native,0,,,,"italian bugloss"
"Anchusa officinalis",,ANOF,non-native,0,,,,"common bugloss"
"Andromeda polifolia",,ANPO,native,8,,,,"bog rosemary"
"Andromeda polifolia var. glaucophylla",,ANPOG,native,8,,,,"bog rosemary"
"Andropogon gerardii",,ANGE,native,4,,,,"big bluestem"
"Anemone canadensis",,ANCA8,native,5,,,,"canadian anemone"
"Anemone cylindrica",,ANCY,native,5,,,,"candle anemone"
"Anemone quinquefolia",,ANQU,native,4,,,,"wood anemone"
"Anemone quinquefolia var. quinquefolia",,ANQUQ,native,5,,,,nightcaps
"Anemone virginiana",,ANVI3,native,3,,,,"tall thimbleweed"
"Anemone virginiana var. alba",,ANVIA2,native,3,,,,"tall thimbleweed"
"Angelica atropurpurea",,ANAT,native,3,,,,"purplestem angelica"
"Angelica lucida",,ANLU,native,6,,,,"seacoast angelica"
"Antennaria howellii ssp. canadensis",,ANHOC,native,3,,,,"canadian pussytoes"
"Antennaria howellii ssp. petaloidea",,ANHOP,native,3,,,,"small pussytoes"
"Antennaria neglecta",,ANNE,native,3,,,,"field pussytoes"
"Antennaria parlinii",,ANPA9,native,3,,,,"parlins pussytoes"
"Antennaria plantaginifolia",,ANPL,native,3,,,,"womans tobacco"
"Anthemis arvensis",,ANAR6,non-native,0,,,,"corn chamomile"
"Anthemis cotula",,ANCO2,non-native,0,,,,"stinking chamomile"
"Anthemis tinctoria",,COTI4,non-native,0,,,,"golden chamomile"
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,"annual vernalgrass"
"Anthoxanthum monticola",,ANMO7,non-native,0,,,,"alpine sweetgrass"
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,"sweet vernalgrass"
"Anthyllis vulneraria",,ANVU,non-native,0,,,,"common kidneyvetch"
"Apios americana",,APAM,native,3,,,,groundnut
"Apocynum androsaemifolium",,APAN2,native,2,,,,"spreading dogbane"
"Apocynum cannabinum",,APCA,native,3,,,,indianhemp
"Apocynum sibiricum",,APCA,native,8,,,,indianhemp
"Aquilegia canadensis",,AQCA,native,7,,,,"red columbine"
"Aquilegia vulgaris",,AQVU,non-native,0,,,,"european columbine"
"Arabidopsis thaliana",,ARTH,non-native,0,,,,"mouseear cress"
"Arabis canadensis",,ARCA,native,7,,,,sicklepod
