"New Jersey"
2019
"Walz, Kathleen S., Linda Kelly, Karl Anderson, Keith Bowman, Barbara Andreas, Richard Andrus, Scott Schuette, William Schumacher, Sean Robinson, Terry O'Brien, Eric Karlin and Jason Hafstad. 2018. Universal Floristic Quality Assessment Index for Vascular Plants and Mosses of New Jersey: Coefficient of Conservancy (CoC) Values for Species and Genera (Updated November 2019). New Jersey Department of Environmental Protection, New Jersey Forest Service, Office of Natural Lands Management, Trenton, NJ, 08625. Submitted to United States Environmental Protection Agency, Region 2, for State Wetlands Protection Development Grant, Section 104(B)(3); CFDA No. 66.461, CD97225809."
"New Jersey (NJ) , 2019"

"Total Species:",4700
"Native Species:",3404
"Non-native Species:",1296
"Total Mean C:",4.5
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABBA,native,9,,,,"balsam fir"
"Abies sp.",Pinaceae,ABIES,native,9,,,,fir
"Abietinella abietina",Thuidiaceae,ABAB70,native,5,,bryophyte,,
"Abietinella sp.",Thuidiaceae,ABIET,native,5,,bryophyte,,
"Abutilon sp.",Malvaceae,ABUTI,non-native,0,,,,"indian mallow"
"Abutilon theophrasti",Malvaceae,ABTH,non-native,0,,,,velvet-leaf
"Acalypha australis",Euphorbiaceae,ACAU6,non-native,0,,,,"asiatic three-seeded mercury"
"Acalypha gracilens",Euphorbiaceae,ACGR2,native,2,,,,"slender three-seeded mercury"
"Acalypha ostryifolia",Euphorbiaceae,ACOS,native,1,,,,"hornbeam-leaved three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACRH,native,1,,,,"common three-seeded mercury"
"Acalypha sp.",Euphorbiaceae,ACALY,native,1,,,,copperleaf
"Acalypha virginica",Euphorbiaceae,ACVI,native,3,,,,"virginia three-seeded mercury"
"Acaulon muticum",Pottiaceae,ACMU5,native,2,,bryophyte,,
"Acaulon sp.",Pottiaceae,ACAUL,native,3,,bryophyte,,
"Acaulon triquetrum",Pottiaceae,ACTR4,native,3,,bryophyte,,
"Acer campestre",Aceraceae,ACCA5,non-native,0,,,,"hedge maple"
"Acer ginnala",Aceraceae,ACGI,non-native,0,,,,"amur maple"
"Acer negundo",Aceraceae,ACNE2,native,2,,,,box-elder
"Acer nigrum",Aceraceae,ACNI5,native,6,,,,"black maple"
"Acer palmatum",Aceraceae,ACPA2,non-native,0,,,,"japanese maple"
"Acer pensylvanicum",Aceraceae,ACPE,native,7,,,,"striped maple"
"Acer platanoides",Aceraceae,ACPL,non-native,0,,,,"norway maple"
"Acer pseudoplatanus",Aceraceae,ACPS,non-native,0,,,,"sycamore maple"
"Acer rubrum",Aceraceae,ACRU,native,3,,,,"red maple"
"Acer rubrum var. drummondii",Aceraceae,ACRUD,native,4,,,,"drummonds maple"
"Acer rubrum var. rubrum",Aceraceae,ACRUR,native,3,,,,"red maple"
"Acer rubrum var. trilobum",Aceraceae,ACRUT,native,4,,,,"trident red maple"
"Acer saccharinum",Aceraceae,ACSA2,native,5,,,,"silver maple"
"Acer saccharum",Aceraceae,ACSA3,native,5,,,,"sugar maple"
"Acer sp.",Aceraceae,ACER,native,3,,,,maple
"Acer spicatum",Aceraceae,ACSP2,native,8,,,,"mountain maple"
"Acer x freemanii",Aceraceae,ACFR,native,5,,,,"freeman maple"
"Achillea millefolium",Asteraceae,ACMI2,non-native,0,,,,"common yarrow"
"Achillea ptarmica",Asteraceae,ACPT,non-native,0,,,,sneezeweed
"Achillea sp.",Asteraceae,ACHIL,non-native,0,,,,yarrow
"Acorus americanus",Acoraceae,ACAM,native,7,,,,"american sweetflag"
"Acorus calamus",Acoraceae,ACCA4,non-native,0,,,,"sweet flag"
"Acorus sp.",Acoraceae,ACORU,native,4,,,,sweetflag
"Actaea pachypoda",Ranunculaceae,ACPA,native,6,,,,"white baneberry"
"Actaea racemosa",Ranunculaceae,ACRA7,native,8,,,,"black cohosh"
