"New Mexico's Middle Rio Grande"
2019
"University of Illinois at Urbana Champaign, publication in review  "
"New Mexico's Middle Rio Grande (NM) (Omernik III Ecoregions: 22, 24), 2019"

"Total Species:",624
"Native Species:",485
"Non-native Species:",139
"Total Mean C:",3.5
"Native Mean C:",4.5

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abronia fragrans",,,native,6,,forb,,
"Acer negundo",,,native,5,,tree,,
"Acer platanoides",,,non-native,0,,tree,,
"Achillea millefolium",,,native,4,,forb,,
"Achnatherum hymenoides",,,native,5,,grass,,
"Acroptilon repens",,,non-native,0,,forb,,
"Agropyron desertorum",,,non-native,0,,grass,,
"Agrostis exarata",,,native,5,,grass,,
"Agrostis gigantea",,,non-native,0,,grass,,
"Agrostis stolonifera",,,non-native,0,,grass,,
"Ailanthus altissima",,,non-native,0,,tree,,
"Alhagi maurorum",,,non-native,0,,shrub,,
"Allenrolfea occidentalis",,,native,5,,shrub,,
"Allionia incarnata",,,native,4,,forb,,
"Allium macropetalum",,,native,8,,forb,,
"Almutaster pauciflorus",,,native,7,,forb,,
"Alternanthera caracasana",,,native,1,,forb,,
"Amaranthus acanthochiton",,,native,5,,forb,,
"Amaranthus albus",,,non-native,0,,forb,,
"Amaranthus blitoides",,,non-native,0,,forb,,
"Amaranthus hybridus",,,non-native,0,,forb,,
"Amaranthus palmeri",,,native,2,,forb,,
"Amaranthus powellii",,,native,2,,forb,,
"Amaranthus retroflexus",,,non-native,0,,forb,,
"Amaranthus torreyi",,,native,3,,forb,,
"Ambrosia acanthicarpa",,,native,2,,forb,,
"Ambrosia artemisiifolia",,,native,2,,forb,,
"Ambrosia confertiflora",,,native,2,,forb,,
"Ambrosia psilostachya",,,native,3,,forb,,
"Ammannia coccinea",,,native,7,,forb,,
"Ammocodon chenopodioides",,,native,7,,forb,,
"Amorpha fruticosa",,,native,7,,shrub,,
"Anemopsis californica",,,native,7,,forb,,
"Anoda cristata",,,native,3,,forb,,
"Aphanostephus ramosissimus",,,native,3,,forb,,
"Apocynum cannabinum",,,native,5,,forb,,
"Aquilegia elegantula",,,native,9,,forb,,
"Argentina anserina",,,native,5,,forb,,
"Aristida adscensionis",,,native,3,,grass,,
"Aristida divaricata",,,native,4,,grass,,
"Aristida purpurea",,,native,3,,grass,,
"Artemisia bigelovii",,,native,5,,shrub,,
"Artemisia carruthii",,,native,4,,forb,,
"Artemisia dracunculus",,,native,4,,forb,,
"Artemisia filifolia",,,native,5,,shrub,,
"Artemisia ludoviciana",,,native,5,,forb,,
"Arundo donax",,,non-native,0,,grass,,
"Asclepias asperula",,,native,5,,forb,,
"Asclepias involucrata",,,native,5,,forb,,
"Asclepias speciosa",,,native,6,,forb,,
"Asclepias subverticillata",,,native,4,,forb,,
"Asclepias verticillata",,,native,5,,forb,,
"Asparagus officinalis",,,non-native,0,,forb,,
"Astragalus amphioxys",,,native,4,,forb,,
"Astragalus lentiginosus",,,native,3,,forb,,
"Astragalus lentiginosus var. diphysus",,,native,3,,forb,,
"Astragalus nuttallianus",,,native,4,,forb,,
"Astragalus praelongus",,,native,4,,forb,,
"Atriplex argentea",,,native,4,,forb,,
"Atriplex canescens",,,native,4,,shrub,,
"Atriplex elegans",,,native,2,,forb,,
"Atriplex micrantha",,,non-native,0,,forb,,
"Atriplex semibaccata",,,non-native,0,,forb,,
"Atriplex wrightii",,,native,3,,forb,,
"Baccharis emoryi",,,native,4,,shrub,,
"Baccharis salicifolia",,,native,4,,shrub,,
"Baccharis salicina",,,native,4,,shrub,,
"Baccharis wrightii",,,native,5,,shrub,,
"Bahia absinthifolia",,,native,5,,forb,,
"Bahia dissecta",,,native,4,,forb,,
"Baileya multiradiata",,,native,5,,forb,,
"Baileya pleniradiata",,,native,4,,forb,,
"Bassia hyssopifolia",,,non-native,0,,forb,,
"Bassia scoparia",,,non-native,0,,forb,,
"Beckmannia syzigachne",,,native,7,,grass,,
"Beckmannia syzigachne ssp. baicalensis",,,native,7,,grass,,
"Berlandiera lyrata",,,native,5,,forb,,
"Berula erecta",,,native,5,,forb,,
"Bidens bipinnata",,,native,4,,forb,,
"Bidens cernua",,,native,5,,forb,,
"Bidens frondosa",,,native,5,,forb,,
"Bidens laevis",,,native,6,,forb,,
"Bidens pilosa",,,native,5,,forb,,
"Bidens tripartita",,,native,4,,forb,,
"Boerhavia wrightii",,,native,2,,forb,,
"Bolboschoenus maritimus",,,native,6,,rush,,
"Bolboschoenus maritimus ssp. paludosus",,,native,6,,rush,,
"Bothriochloa barbinodis",,,native,5,,grass,,
"Bothriochloa laguroides",,,native,4,,grass,,
"Bothriochloa laguroides ssp. torreyana",,,native,4,,grass,,
"Bouteloua aristidoides",,,native,3,,grass,,
"Bouteloua barbata",,,native,3,,grass,,
"Bouteloua curtipendula",,,native,5,,grass,,
"Bouteloua eriopoda",,,native,7,,grass,,
"Bouteloua gracilis",,,native,5,,grass,,
"Bouteloua hirsuta",,,native,6,,grass,,
"Brachypodium pinnatum",,,non-native,0,,grass,,
"Brachystigma wrightii",,,native,7,,forb,,
"Brickellia californica",,,native,3,,forb,,
"Brickellia eupatorioides",,,native,5,,forb,,
"Brickellia eupatorioides var. chlorolepis",,,native,5,,forb,,
"Bromus anomalus",,,native,4,,grass,,
"Bromus arvensis",,,non-native,0,,grass,,
"Bromus catharticus",,,non-native,0,,grass,,
"Bromus diandrus",,,non-native,0,,grass,,
"Bromus inermis",,,non-native,0,,grass,,
"Bromus racemosus",,,non-native,0,,grass,,
"Bromus secalinus",,,non-native,0,,grass,,
"Bromus tectorum",,,non-native,0,,grass,,
"Caesalpinia gilliesii",,,non-native,0,,shrub,,
"Calibrachoa parviflora",,,non-native,0,,forb,,
"Campsis radicans",,,non-native,0,,vine,,
"Cannabis sativa",,,non-native,0,,forb,,
"Capsella bursa-pastoris",,,non-native,0,,forb,,
"Cardaria chalepensis",,,non-native,0,,shrub,,
"Cardaria draba",,,non-native,0,,shrub,,
"Carduus nutans",,,non-native,0,,forb,,
"Carex emoryi",,,native,6,,sedge,,
"Carex hystericina",,,native,8,,sedge,,
"Carex lenticularis",,,native,6,,sedge,,
"Carex pellita",,,native,8,,sedge,,
"Carex praegracilis",,,native,5,,sedge,,
"Castilleja minor",,,native,4,,forb,,
"Catalpa speciosa",,,non-native,0,,tree,,
"Celtis laevigata",,,native,6,,tree,,
"Celtis laevigata var. reticulata",,,native,4,,tree,,
"Celtis laevigata var. texana",,,native,4,,tree,,
"Cenchrus spinifex",,,native,2,,grass,,
"Centaurium arizonicum",,,native,6,,forb,,
"Centaurium calycosum",,,native,6,,forb,,
"Cercis canadensis",,,non-native,0,,tree,,
"Chaetopappa ericoides",,,native,4,,forb,,
"Chamaesaracha coniodes",,,native,3,,forb,,
"Chamaesaracha coronopus",,,native,3,,forb,,
"Chamaesyce albomarginata",,,native,3,,forb,,
"Chamaesyce fendleri",,,native,5,,forb,,
"Chamaesyce glyptosperma",,,native,2,,forb,,
"Chamaesyce parryi",,,native,5,,forb,,
"Chamaesyce prostrata",,,native,2,,forb,,
"Chamaesyce serpyllifolia",,,native,3,,forb,,
"Chamaesyce serrula",,,native,3,,forb,,
"Chenopodium album",,,native,2,,forb,,
"Chenopodium berlandieri",,,native,2,,forb,,
"Chenopodium desiccatum",,,native,2,,forb,,
"Chenopodium fremontii",,,native,3,,forb,,
"Chenopodium incanum",,,native,4,,forb,,
"Chenopodium leptophyllum",,,native,2,,forb,,
"Chilopsis linearis",,,native,5,,shrub,,
"Chloracantha spinosa",,,native,4,,forb,,
"Chloris verticillata",,,native,4,,grass,,
"Chloris virgata",,,native,1,,grass,,
"Chorispora tenella",,,non-native,0,,forb,,
"Chrysothamnus linifolius",,,native,4,,shrub,,
"Cichorium intybus",,,non-native,0,,forb,,
"Cicuta maculata",,,native,7,,forb,,
"Cirsium ochrocentrum",,,native,4,,forb,,
"Cirsium undulatum",,,native,5,,forb,,
"Cirsium vulgare",,,non-native,0,,forb,,
"Clematis ligusticifolia",,,native,5,,vine,,
"Cleome serrulata",,,native,3,,forb,,
"Convolvulus arvensis",,,non-native,0,,forb,,
"Conyza canadensis",,,native,1,,forb,,
"Coreopsis tinctoria",,,native,4,,forb,,
"Corispermum americanum",,,native,3,,forb,,
"Corydalis aurea",,,native,6,,forb,,
"Cosmos bipinnatus",,,native,4,,forb,,
"Crepis runcinata",,,native,2,,forb,,
"Cressa truxillensis",,,native,2,,forb,,
"Croton texensis",,,native,3,,forb,,
"Cryptantha angustifolia",,,native,3,,forb,,
"Cryptantha cinerea",,,native,4,,forb,,
"Cryptantha cinerea var. cinerea",,,native,4,,forb,,
"Cryptantha crassisepala",,,native,3,,forb,,
"Cryptantha crassisepala var. elachantha",,,native,3,,forb,,
"Cryptantha flava",,,native,4,,forb,,
"Cryptantha micrantha",,,native,3,,forb,,
"Cucurbita foetidissima",,,native,4,,forb,,
"Cuscuta campestris",,,native,2,,vine,,
"Cuscuta gronovii",,,native,3,,vine,,
"Cuscuta umbellata",,,native,2,,vine,,
"Cyclachaena xanthiifolia",,,native,2,,forb,,
"Cycloloma atriplicifolium",,,native,3,,forb,,
"Cylindropuntia imbricata",,,native,4,,shrub,,
"Cylindropuntia leptocaulis",,,native,4,,shrub,,
"Cymopterus acaulis",,,native,8,,forb,,
"Cymopterus acaulis var. fendleri",,,native,5,,forb,,
"Cynodon dactylon",,,non-native,0,,grass,,
"Cyperus erythrorhizos",,,native,5,,sedge,,
"Cyperus esculentus",,,native,1,,sedge,,
"Cyperus odoratus",,,native,5,,sedge,,
"Cyperus squarrosus",,,native,4,,sedge,,
"Cyperus strigosus",,,native,5,,sedge,,
"Dalea candida",,,native,6,,forb,,
"Dalea cylindriceps",,,native,6,,forb,,
"Dalea formosa",,,native,6,,forb,,
"Dalea lanata",,,native,4,,forb,,
"Dalea lanata var. terminalis",,,native,3,,forb,,
"Dalea leporina",,,native,4,,forb,,
"Dalea nana",,,native,5,,forb,,
"Dalea purpurea",,,native,7,,forb,,
"Dalea scariosa",,,native,5,,forb,,
"Dasyochloa pulchella",,,native,3,,grass,,
"Datura inoxia",,,non-native,0,,forb,,
"Datura quercifolia",,,native,5,,forb,,
"Datura wrightii",,,native,4,,forb,,
"Descurainia pinnata",,,native,2,,forb,,
"Descurainia sophia",,,non-native,0,,forb,,
"Desmanthus cooleyi",,,native,4,,forb,,
"Desmanthus illinoensis",,,native,5,,forb,,
"Dieteria canescens",,,native,3,,forb,,
"Digitaria sanguinalis",,,non-native,0,,forb,,
