"Northeastern Coastal Zone (8.1.7)"
2018
"NatureServe-NEIWPCC Northeast FQA Project. Metzler, K. and D. Faber-Langendoen. Database of coefficients of conservatism for Omernik Level 3 Ecoregion 59"
"Northeastern Coastal Zone (8.1.7) (CT, MA, ME, NH, NY, RI, VT) (Omernik III Ecoregions: 59), 2018"

"Total Species:",2735
"Native Species:",1731
"Non-native Species:",1004
"Total Mean C:",3.7
"Native Mean C:",5.8

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",,ABES,non-native,0,,,,
"Abies balsamea",,ABBA,native,6,,,,
"Abutilon theophrasti",,ABTH,non-native,0,,,,
"Acalypha gracilens",,ACGR2,native,4,,,,
"Acalypha rhomboidea",,ACRH,native,2,,,,
"Acalypha virginica",,ACVI,native,6,,,,
"Acer ginnala",,ACGI,non-native,0,,,,
"Acer negundo",,ACNE2,native,3,,,,
"Acer nigrum",,ACNI5,native,7,,,,
"Acer pensylvanicum",,ACPE,native,6,,,,
"Acer platanoides",,ACPL,non-native,0,,,,
"Acer pseudoplatanus",,ACPS,non-native,0,,,,
"Acer rubrum",,ACRU,native,3,,,,
"Acer saccharinum",,ACSA2,native,7,,,,
"Acer saccharum",,ACSA3,native,6,,,,
"Acer spicatum",,ACSP2,native,7,,,,
"Achillea millefolium var. borealis",,ACMIB,native,3,,,,
"Achillea ptarmica",,ACPT,non-native,0,,,,
"Acinos arvensis",,ACAR2,non-native,0,,,,
"Acorus americanus",,ACAM,native,6,,,,
"Acorus calamus",,ACCA4,native,6,,,,
"Actaea pachypoda",,ACPA,native,7,,,,
"Actaea racemosa",,ACRA7,native,8,,,,
"Actaea rubra",,ACRU2,native,6,,,,
"Actinidia arguta",,ACAR10,non-native,0,,,,
"Adiantum pedatum",,ADPE,native,7,,,,
"Adlumia fungosa",,ADFU,native,8,,,,
"Aegopodium podagraria",,AEPO,non-native,0,,,,
"Aesculus glabra",,AEGL,non-native,0,,,,
"Aesculus hippocastanum",,AEHI,non-native,0,,,,
"Aethusa cynapium",,AECY2,non-native,0,,,,
"Agalinis acuta",,AGAC,native,8,,,,
"Agalinis maritima",,AGMA3,native,9,,,,
"Agalinis paupercula",,AGPA12,native,5,,,,
"Agalinis purpurea",,AGPU5,native,5,,,,
"Agalinis tenuifolia",,AGTE3,native,4,,,,
"Agastache foeniculum",,AGFO,non-native,0,,,,
"Agastache nepetoides",,AGNE2,native,6,,,,
"Agastache scrophulariifolia",,AGSC,native,6,,,,
"Ageratina altissima",,AGAL5,native,4,,,,
"Ageratina aromatica",,AGAR4,native,6,,,,
"Ageratum conyzoides",,AGCO,non-native,0,,,,
"Ageratum houstonianum",,AGHO3,non-native,0,,,,
"Agrimonia gryposepala",,AGGR2,native,4,,,,
"Agrimonia microcarpa",,AGMI2,native,3,,,,
"Agrimonia parviflora",,AGPA6,native,4,,,,
