"Northern Appalachian and Atlantic Maritime Highlands (5.3.1)"
2018
"NatureServe-NEIWPCC Northeast FQA Project. Gilman, A. and D. Faber-Langendoen. Database of coefficients of conservatism for Omernik Level 3 Ecoregion 58"
"Northern Appalachian and Atlantic Maritime Highlands (5.3.1) (CT, MA, ME, NH, NY, VT) (Omernik III Ecoregions: 58), 2018"

"Total Species:",2999
"Native Species:",2062
"Non-native Species:",937
"Total Mean C:",4
"Native Mean C:",5.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",,ABES,non-native,0,,,,
"Abies balsamea",,ABBA,native,4,,,,
"Abies concolor",,ABCO,non-native,0,,,,
"Abutilon theophrasti",,ABTH,non-native,0,,,,
"Acalypha gracilens",,ACGR2,native,5,,,,
"Acalypha rhomboidea",,ACRH,native,2,,,,
"Acalypha virginica",,ACVI,native,7,,,,
"Acer ginnala",,ACGI,non-native,0,,,,
"Acer negundo",,ACNE2,native,2,,,,
"Acer nigrum",,ACNI5,native,7,,,,
"Acer pensylvanicum",,ACPE,native,5,,,,
"Acer platanoides",,ACPL,non-native,0,,,,
"Acer pseudoplatanus",,ACPS,non-native,0,,,,
"Acer rubrum",,ACRU,native,3,,,,
"Acer saccharinum",,ACSA2,native,6,,,,
"Acer saccharum",,ACSA3,native,5,,,,
"Acer spicatum",,ACSP2,native,6,,,,
"Acer �freemanii",,ACFR,native,2,,,,
"Achillea millefolium var. borealis",,ACMIB,native,4,,,,
"Achillea ptarmica",,ACPT,non-native,0,,,,
"Acinos arvensis",,ACAR2,non-native,0,,,,
"Aconitum napellus",,ACNA,non-native,0,,,,
"Aconitum uncinatum",,ACUN,non-native,0,,,,
"Acorus americanus",,ACAM,native,6,,,,
"Acorus calamus",,ACCA4,native,6,,,,
"Actaea pachypoda",,ACPA,native,7,,,,
"Actaea racemosa",,ACRA7,native,7,,,,
"Actaea rubra",,ACRU2,native,7,,,,
"Actinidia arguta",,ACAR10,non-native,0,,,,
"Adiantum aleuticum",,ADAL,native,9,,,,
"Adiantum pedatum",,ADPE,native,7,,,,
"Adiantum viridimontanum",,ADVI3,native,9,,,,
"Adlumia fungosa",,ADFU,native,8,,,,
"Adoxa moschatellina",,ADMO,native,9,,,,
"Aegopodium podagraria",,AEPO,non-native,0,,,,
"Aesculus glabra",,AEGL,non-native,0,,,,
"Aesculus hippocastanum",,AEHI,non-native,0,,,,
"Aethusa cynapium",,AECY2,non-native,0,,,,
"Agalinis paupercula",,AGPA12,native,5,,,,
"Agalinis purpurea",,AGPU5,native,5,,,,
"Agalinis tenuifolia",,AGTE3,native,4,,,,
"Agastache foeniculum",,AGFO,non-native,0,,,,
"Agastache nepetoides",,AGNE2,native,7,,,,
"Agastache scrophulariifolia",,AGSC,native,4,,,,
"Ageratina altissima",,AGAL5,native,5,,,,
"Ageratum conyzoides",,AGCO,non-native,0,,,,
"Ageratum houstonianum",,AGHO3,non-native,0,,,,
"Agrimonia gryposepala",,AGGR2,native,4,,,,
"Agrimonia parviflora",,AGPA6,native,4,,,,
"Agrimonia pubescens",,AGPU,native,8,,,,
"Agrimonia rostellata",,AGRO3,native,8,,,,
"Agrimonia striata",,AGST,native,4,,,,
"Agrostemma githago",,AGGI,non-native,0,,,,
"Agrostis capillaris",,AGCA5,non-native,0,,,,
"Agrostis exarata",,AGEX,non-native,0,,,,
"Agrostis gigantea",,AGGI2,non-native,0,,,,
"Agrostis hyemalis",,AGHY,native,3,,,,
"Agrostis mertensii",,AGME3,native,8,,,,
"Agrostis perennans",,AGPE,native,3,,,,
"Agrostis scabra",,AGSC5,native,2,,,,
"Agrostis stolonifera",,AGST2,native,3,,,,
"Ailanthus altissima",,AIAL,non-native,0,,,,
"Aira caryophyllea",,AICA,non-native,0,,,,
"Ajuga genevensis",,AJGE,non-native,0,,,,
"Ajuga reptans",,AJRE,non-native,0,,,,
"Akebia quinata",,AKQU,non-native,0,,,,
"Alcea rosea",,ALRO3,non-native,0,,,,
"Alchemilla monticola",,ALMO4,non-native,0,,,,
"Alisma subcordatum",,ALSU,native,4,,,,
"Alisma triviale",,ALTR7,native,4,,,,
"Alliaria petiolata",,ALPE4,non-native,0,,,,
"Allium burdickii",,ALBU2,native,7,,,,
"Allium canadense",,ALCA3,native,6,,,,
"Allium cepa",,ALCE,non-native,0,,,,
"Allium schoenoprasum",,ALSC,native,9,,,,
"Allium schoenoprasum var. sibiricum",,ALSCS,native,5,,,,
"Allium tricoccum",,ALTR3,native,8,,,,
"Allium vineale",,ALVI,non-native,0,,,,
"Alnus glutinosa",,ALGL2,non-native,0,,,,
"Alnus incana ssp. rugosa",,ALINR,native,4,,,,
"Alnus serrulata",,ALSE2,native,5,,,,
"Alnus viridis",,ALVI5,native,6,,,,
"Alopecurus aequalis",,ALAE,native,6,,,,
"Alopecurus carolinianus",,ALCA4,non-native,0,,,,
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,
"Alopecurus myosuroides",,ALMY,non-native,0,,,,
"Alopecurus pratensis",,ALPR3,non-native,0,,,,
"Althaea officinalis",,ALOF2,non-native,0,,,,
"Alyssum alyssoides",,ALAL3,non-native,0,,,,
"Amaranthus albus",,AMAL,native,2,,,,
"Amaranthus blitoides",,AMBL,native,2,,,,
"Amaranthus blitum",,AMBL2,non-native,0,,,,
"Amaranthus cannabinus",,AMCA2,native,6,,,,
"Amaranthus caudatus",,AMCA3,non-native,0,,,,
"Amaranthus cruentus",,AMCR4,non-native,0,,,,
"Amaranthus hybridus",,AMHY,native,1,,,,
"Amaranthus palmeri",,AMPA,non-native,0,,,,
"Amaranthus powellii",,AMPO2,non-native,0,,,,
"Amaranthus pumilus",,AMPU2,native,10,,,,
"Amaranthus retroflexus",,AMRE,native,1,,,,
"Amaranthus spinosus",,AMSP,non-native,0,,,,
"Amaranthus tuberculatus",,AMTU,native,3,,,,
"Ambrosia artemisiifolia",,AMAR2,native,1,,,,
"Ambrosia bidentata",,AMBI2,native,2,,,,
"Ambrosia psilostachya",,AMPS,non-native,0,,,,
"Ambrosia trifida",,AMTR,native,2,,,,
"Amelanchier arborea",,AMAR3,native,5,,,,
"Amelanchier bartramiana",,AMBA,native,7,,,,
"Amelanchier canadensis",,AMCA4,native,5,,,,
"Amelanchier humilis",,AMHU2,native,8,,,,
"Amelanchier laevis",,AMLA,native,3,,,,
"Amelanchier nantucketensis",,AMNA2,native,7,,,,
"Amelanchier sanguinea",,AMSA,native,7,,,,
"Amelanchier sanguinea var. sanguinea",,AMSAS,native,7,,,,
"Amelanchier stolonifera",,AMST80,native,5,,,,
"Amelanchier �intermedia",,AMIN4,native,6,,,,
"Amerorchis rotundifolia",,AMRO,native,10,,,,
"Amorpha fruticosa",,AMFR,native,3,,,,
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,
"Amphicarpaea bracteata",,AMBR2,native,4,,,,
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,
"Amsinckia menziesii",,AMME,non-native,0,,,,
"Amsonia tabernaemontana",,AMTA2,non-native,0,,,,
"Anagallis arvensis",,ANAR,non-native,0,,,,
"Anaphalis margaritacea",,ANMA,native,2,,,,
"Anchusa arvensis",,ANAR16,non-native,0,,,,
"Anchusa azurea",,ANAZ,non-native,0,,,,
"Anchusa barrelieri",,ANBA3,non-native,0,,,,
"Anchusa officinalis",,ANOF,non-native,0,,,,
"Andromeda polifolia",,ANPO,native,9,,,,
"Andropogon gerardii",,ANGE,native,4,,,,
"Andropogon virginicus",,ANVI2,native,4,,,,
"Anemone canadensis",,ANCA8,native,5,,,,
"Anemone cylindrica",,ANCY,native,6,,,,
"Anemone multifida var. multifida",,ANMUM3,native,10,,,,
"Anemone quinquefolia",,ANQU,native,5,,,,
"Anemone virginiana",,ANVI3,native,5,,,,
"Anethum graveolens",,ANGR2,non-native,0,,,,
"Angelica atropurpurea",,ANAT,native,4,,,,
"Angelica venenosa",,ANVE,native,8,,,,
"Anoda cristata",,ANCR2,non-native,0,,,,
"Antennaria howellii",,ANHO,native,3,,,,
"Antennaria neglecta",,ANNE,native,2,,,,
"Antennaria parlinii",,ANPA9,native,3,,,,
"Antennaria plantaginifolia",,ANPL,native,4,,,,
"Anthemis arvensis",,ANAR6,non-native,0,,,,
"Anthemis cotula",,ANCO2,non-native,0,,,,
"Anthemis tinctoria",,ANTI,non-native,0,,,,
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,
"Anthoxanthum monticola",,ANMO7,native,10,,,,
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,
"Anthriscus cerefolium",,ANCE,non-native,0,,,,
"Anthriscus sylvestris",,ANSY,non-native,0,,,,
"Anthyllis vulneraria",,ANVU,non-native,0,,,,
"Antirrhinum majus",,ANMA3,non-native,0,,,,
"Apera interrupta",,APIN,non-native,0,,,,
"Apera spica-venti",,APSP,non-native,0,,,,
"Apios americana",,APAM,native,4,,,,
"Apium graveolens",,APGR2,non-native,0,,,,
"Aplectrum hyemale",,APHY,native,9,,,,
"Apocynum androsaemifolium",,APAN2,native,2,,,,
"Apocynum cannabinum",,APCA,native,3,,,,
"Apocynum �floribundum",,APFL,native,3,,,,
"Aquilegia canadensis",,AQCA,native,7,,,,
"Aquilegia vulgaris",,AQVU,non-native,0,,,,
"Arabidopsis thaliana",,ARTH,non-native,0,,,,
"Arabis canadensis",,ARCA,native,7,,,,
"Arabis drummondii",,ARDR,native,7,,,,
"Arabis glabra",,ARGL,native,2,,,,
"Arabis hirsuta var. pycnocarpa",,ARHIP,native,7,,,,
"Arabis laevigata",,ARLA,native,7,,,,
"Arabis lyrata",,ARLY2,native,8,,,,
"Arabis missouriensis",,ARMI5,native,8,,,,
"Arabis pycnocarpa var. adpressipilis",,ARPYA,native,10,,,,
"Arabis shortii (syn. werier)",,ARSH2,native,10,,,,
"Arabis �divaricarpa",,ARDI2,native,8,,,,
"Aralia elata",,AREL8,non-native,0,,,,
"Aralia hispida",,ARHI2,native,5,,,,
"Aralia nudicaulis",,ARNU2,native,5,,,,
"Aralia racemosa",,ARRA,native,7,,,,
"Aralia spinosa",,ARSP2,native,4,,,,
"Arceuthobium pusillum",,ARPU3,native,9,,,,
"Arctium lappa",,ARLA3,non-native,0,,,,
"Arctium minus",,ARMI2,non-native,0,,,,
"Arctium tomentosum",,ARTO,non-native,0,,,,
"Arctostaphylos alpina",,ARAL2,native,10,,,,
"Arctostaphylos uva-ursi",,ARUV,native,7,,,,
"Arenaria serpyllifolia",,ARSE2,non-native,0,,,,
"Arethusa bulbosa",,ARBU,native,9,,,,
"Argemone albiflora",,ARAL3,non-native,0,,,,
"Argemone mexicana",,ARME4,non-native,0,,,,
"Argentina anserina",,ARAN7,native,4,,,,
"Arisaema dracontium",,ARDR3,native,9,,,,
"Arisaema triphyllum ssp. pusillum",,ARTRP,native,10,,,,
"Arisaema triphyllum ssp. stewardsonii",,ARTRS,native,7,,,,
"Arisaema triphyllum ssp. triphyllum",,ARTRT3,native,5,,,,
"Aristida basiramea",,ARBA2,native,2,,,,
"Aristida dichotoma",,ARDI4,native,2,,,,
"Aristida longespica var. geniculata",,ARLOG6,native,4,,,,
"Aristida longespica var. longespica",,ARLOL3,native,8,,,,
"Aristida oligantha",,AROL,native,5,,,,
"Aristida tuberculosa",,ARTU,native,7,,,,
"Aristolochia macrophylla",,ARMA7,native,9,,,,
"Aristolochia serpentaria",,ARSE3,native,9,,,,
"Aristolochia tomentosa",,ARTO3,non-native,0,,,,
"Armoracia rusticana",,ARRU4,non-native,0,,,,
"Arnica lanceolata",,ARLA7,native,10,,,,
"Aronia arbutifolia",,ARAR7,native,5,,,,
"Aronia melanocarpa",,ARME6,native,5,,,,
"Aronia prunifolia",,ARPR2,native,5,,,,
"Arrhenatherum elatius",,AREL3,non-native,0,,,,
"Artemisia abrotanum",,ARAB2,non-native,0,,,,
"Artemisia absinthium",,ARAB3,non-native,0,,,,
"Artemisia annua",,ARAN3,non-native,0,,,,
"Artemisia biennis",,ARBI2,native,2,,,,
"Artemisia campestris",,ARCA12,native,7,,,,
"Artemisia dracunculus",,ARDR4,non-native,0,,,,
"Artemisia frigida",,ARFR4,non-native,0,,,,
"Artemisia ludoviciana",,ARLU,native,2,,,,
"Artemisia pontica",,ARPO4,non-native,0,,,,
"Artemisia stelleriana",,ARST6,non-native,0,,,,
"Artemisia vulgaris",,ARVU,non-native,0,,,,
"Arthraxon hispidus",,ARHI3,non-native,0,,,,
"Aruncus dioicus",,ARDI8,non-native,0,,,,
"Asarum canadense",,ASCA,native,8,,,,
"Asclepias amplexicaulis",,ASAM,native,3,,,,
"Asclepias exaltata",,ASEX,native,5,,,,
"Asclepias incarnata",,ASIN,native,4,,,,
"Asclepias purpurascens",,ASPU2,native,3,,,,
"Asclepias quadrifolia",,ASQU,native,7,,,,
"Asclepias rubra",,ASRU,native,10,,,,
"Asclepias syriaca",,ASSY,native,2,,,,
"Asclepias tuberosa",,ASTU,native,3,,,,
"Asclepias variegata",,ASVA,native,10,,,,
"Asclepias verticillata",,ASVE,native,9,,,,
"Asclepias viridiflora",,ASVI,native,10,,,,
"Asimina triloba",,ASTR,native,5,,,,
"Asparagus officinalis",,ASOF,non-native,0,,,,
"Asperula arvensis",,ASAR2,non-native,0,,,,
"Asplenium bradleyi",,ASBR2,native,10,,,,
"Asplenium montanum",,ASMO2,native,10,,,,
"Asplenium platyneuron",,ASPL,native,6,,,,
"Asplenium rhizophyllum",,ASRH2,native,9,,,,
"Asplenium ruta-muraria",,ASRU2,native,10,,,,
"Asplenium trichomanes",,ASTR2,native,8,,,,
"Asplenium trichomanes-ramosum",,ASTR10,native,10,,,,
"Aster tataricus",,ASTA,non-native,0,,,,
"Astilbe japonica",,ASJA2,non-native,0,,,,
"Astragalus alpinus",,ASAL7,native,9,,,,
"Astragalus canadensis",,ASCA11,native,10,,,,
"Astragalus neglectus",,ASNE2,native,10,,,,
"Astragalus robbinsii var. jesupii",,ASROJ,native,9,,,,
"Astragalus robbinsii var. minor",,ASROM,native,8,,,,
"Athyrium filix-femina",,ATFI,native,4,,,,
"Athyrium filix-femina ssp. angustum",,ATFIA,native,7,,,,
"Atriplex glabriuscula",,ATGL,native,8,,,,
"Atriplex littoralis",,ATLI3,non-native,0,,,,
"Atriplex patula",,ATPA4,non-native,0,,,,
"Atriplex prostrata",,ATPR,native,6,,,,
"Atriplex subspicata",,ATSU2,native,7,,,,
"Atriplex tatarica",,ATTA,non-native,0,,,,
"Aureolaria flava",,AUFL,native,6,,,,
"Aureolaria pedicularia",,AUPE2,native,6,,,,
"Aureolaria virginica",,AUVI,native,7,,,,
"Aurinia saxatilis",,AUSA,non-native,0,,,,
"Avena fatua",,AVFA,non-native,0,,,,
"Avena sativa",,AVSA,non-native,0,,,,
"Axyris amaranthoides",,AXAM,non-native,0,,,,
"Azolla caroliniana",,AZCA,native,2,,,,
"Ballota nigra",,BANI,non-native,0,,,,
"Baptisia australis",,BAAU,native,5,,,,
"Baptisia tinctoria",,BATI,native,4,,,,
"Barbarea orthoceras",,BAOR,native,9,,,,
"Barbarea verna",,BAVE,non-native,0,,,,
"Barbarea vulgaris",,BAVU,non-native,0,,,,
"Bartonia paniculata",,BAPA2,native,7,,,,
"Bartonia virginica",,BAVI3,native,6,,,,
"Bassia hyssopifolia",,BAHY,non-native,0,,,,
"Bassia scoparia",,BASC5,non-native,0,,,,
"Bellis perennis",,BEPE2,non-native,0,,,,
"Berberis thunbergii",,BETH,non-native,0,,,,
"Berberis vulgaris",,BEVU,non-native,0,,,,
"Berteroa incana",,BEIN2,non-native,0,,,,
"Beta vulgaris",,BEVU2,non-native,0,,,,
"Betula alleghaniensis",,BEAL2,native,5,,,,
"Betula lenta",,BELE,native,5,,,,
"Betula minor",,BEMI,native,9,,,,
"Betula nana",,BENA,native,9,,,,
"Betula nigra",,BENI,native,7,,,,
"Betula papyrifera var. cordifolia",,BEPAC2,native,6,,,,
"Betula papyrifera var. papyrifera",,BEPAP,native,4,,,,
"Betula pendula",,BEPE3,non-native,0,,,,
"Betula populifolia",,BEPO,native,3,,,,
"Betula pumila",,BEPU4,native,8,,,,
"Betula �caerulea",,BECA4,native,6,,,,
"Bidens aristosa",,BIAR,native,2,,,,
"Bidens beckii",,BIBE2,native,7,,,,
"Bidens bipinnata",,BIBI7,native,1,,,,
"Bidens cernua",,BICE,native,4,,,,
"Bidens connata",,BICO5,native,4,,,,
"Bidens coronata",,BICO,native,7,,,,
"Bidens discoidea",,BIDI,native,6,,,,
"Bidens frondosa",,BIFR,native,2,,,,
"Bidens hyperborea",,BIHY,native,5,,,,
"Bidens laevis",,BILA,native,5,,,,
"Bidens pilosa",,BIPI,non-native,0,,,,
"Bidens tenuisecta",,BITE,non-native,0,,,,
"Bidens tripartita",,BITR,native,4,,,,
"Bidens vulgata",,BIVU,native,2,,,,
"Blephilia ciliata",,BLCI,native,6,,,,
"Blephilia hirsuta",,BLHI,native,8,,,,
"Blitum capitatum ssp. capitatum",,BLCA,native,3,,,,
"Boechera grahamii",,BOGR6,native,10,,,,
"Boechera stricta",,BOST4,native,9,,,,
"Boehmeria cylindrica",,BOCY,native,6,,,,
"Bolboschoenus fluviatilis",,BOFL3,native,6,,,,
"Bolboschoenus novae-angliae",,BONO,native,9,,,,
"Boltonia asteroides",,BOAS,non-native,0,,,,
"Borago officinalis",,BOOF,non-native,0,,,,
"Botrychium campestre",,BOCA5,native,10,,,,
"Botrychium dissectum",,BODI2,native,4,,,,
"Botrychium lanceolatum var. angustisegmentum",,BOLAA2,native,6,,,,
"Botrychium lunaria",,BOLU,native,7,,,,
"Botrychium matricariifolium",,BOMA2,native,6,,,,
"Botrychium minganense",,BOMI,native,9,,,,
"Botrychium multifidum",,BOMU,native,4,,,,
"Botrychium oneidense",,BOON,native,5,,,,
"Botrychium rugulosum",,BORU,native,6,,,,
"Botrychium simplex",,BOSI,native,5,,,,
"Botrychium tenebrosum",,BOTE10,native,10,,,,
"Botrychium virginianum",,BOVI,native,7,,,,
"Bouteloua curtipendula",,BOCU,native,5,,,,
"Bouteloua gracilis",,BOGR2,non-native,0,,,,
"Bouteloua radicosa",,BORA,non-native,0,,,,
"Bouteloua simplex",,BOSI2,non-native,0,,,,
"Brachyelytrum aristosum",,BRAR9,native,6,,,,
"Brachyelytrum erectum",,BRER2,native,6,,,,
"Bracteantha bracteata",,BRBR15,non-native,0,,,,
"Brasenia schreberi",,BRSC,native,5,,,,
"Brassica juncea",,BRJU,non-native,0,,,,
"Brassica napus",,BRNA,non-native,0,,,,
"Brassica nigra",,BRNI,non-native,0,,,,
"Brassica oleracea",,BROL,non-native,0,,,,
"Brassica rapa",,BRRA,non-native,0,,,,
"Briza media",,BRME,non-native,0,,,,
"Bromus arvensis",,BRAR5,non-native,0,,,,
"Bromus ciliatus",,BRCI2,native,5,,,,
"Bromus diandrus",,BRDI3,non-native,0,,,,
"Bromus erectus",,BRER3,non-native,0,,,,
"Bromus hordeaceus",,BRHO2,non-native,0,,,,
"Bromus inermis",,BRIN2,non-native,0,,,,
"Bromus kalmii",,BRKA2,native,7,,,,
"Bromus latiglumis",,BRLA4,native,7,,,,
"Bromus lepidus",,BRLE5,non-native,0,,,,
"Bromus pubescens",,BRPU6,native,7,,,,
"Bromus racemosus",,BRRA2,non-native,0,,,,
"Bromus secalinus",,BRSE,non-native,0,,,,
"Bromus squarrosus",,BRSQ2,non-native,0,,,,
"Bromus sterilis",,BRST2,non-native,0,,,,
"Bromus tectorum",,BRTE,non-native,0,,,,
"Broussonetia papyrifera",,BRPA4,non-native,0,,,,
"Buddleja davidii",,BUDA2,non-native,0,,,,
"Buglossoides arvensis",,BUAR3,non-native,0,,,,
"Bulbostylis capillaris",,BUCA2,native,2,,,,
"Bunias orientalis",,BUOR,non-native,0,,,,
"Bupleurum rotundifolium",,BURO,non-native,0,,,,
"Cabomba caroliniana",,CACA,native,3,,,,
"Calamagrostis canadensis",,CACA4,native,4,,,,
"Calamagrostis coarctata",,CACO71,native,5,,,,
"Calamagrostis epigeios",,CAEP,non-native,0,,,,
"Calamagrostis perplexa",,CAPE10,native,7,,,,
"Calamagrostis pickeringii",,CAPI,native,7,,,,
"Calamagrostis stricta ssp. inexpansa",,CASTI3,native,8,,,,
"Calamagrostis stricta ssp. stricta",,CASTS5,native,9,,,,
"Calendula officinalis",,CAOF,non-native,0,,,,
"Calla palustris",,CAPA,native,7,,,,
"Callitriche hermaphroditica",,CAHE2,native,8,,,,
"Callitriche heterophylla",,CAHE3,native,6,,,,
"Callitriche palustris",,CAPA52,native,5,,,,
"Callitriche stagnalis",,CAST,non-native,0,,,,
"Callitriche terrestris",,CATE19,native,4,,,,
"Calluna vulgaris",,CAVU,non-native,0,,,,
"Calopogon tuberosus",,CATU5,native,8,,,,
"Caltha palustris",,CAPA5,native,5,,,,
"Calycanthus floridus",,CAFL22,non-native,0,,,,
"Calypso bulbosa",,CABU,native,9,,,,
"Calystegia hederacea",,CAHE21,non-native,0,,,,
"Calystegia sepium",,CASE13,native,2,,,,
"Calystegia silvatica",,CASI10,non-native,0,,,,
"Calystegia silvatica ssp. fraterniflora",,CASIF,native,7,,,,
"Calystegia spithamaea",,CASP14,native,6,,,,
"Camelina microcarpa",,CAMI2,non-native,0,,,,
"Camelina sativa",,CASA2,non-native,0,,,,
"Campanula aparinoides",,CAAP2,native,5,,,,
"Campanula divaricata",,CADI3,non-native,0,,,,
"Campanula glomerata",,CAGL2,non-native,0,,,,
"Campanula latifolia",,CALA40,non-native,0,,,,
"Campanula medium",,CAME20,non-native,0,,,,
"Campanula persicifolia",,CAPE20,non-native,0,,,,
"Campanula punctata",,CAPU20,non-native,0,,,,
"Campanula rapunculoides",,CARA,non-native,0,,,,
"Campanula rotundifolia",,CARO2,native,7,,,,
"Campanula trachelium",,CATR4,non-native,0,,,,
"Campanulastrum americanum",,CAAM18,native,7,,,,
"Campsis radicans",,CARA2,native,3,,,,
"Cannabis sativa",,CASA3,non-native,0,,,,
"Capsella bursa-pastoris",,CABU2,non-native,0,,,,
"Capsicum annuum",,CAAN4,non-native,0,,,,
"Caragana arborescens",,CAAR18,non-native,0,,,,
"Cardamine bellidifolia",,CABE,native,10,,,,
"Cardamine bulbosa",,CABU3,native,8,,,,
"Cardamine concatenata",,CACO26,native,8,,,,
"Cardamine diphylla",,CADI10,native,7,,,,
"Cardamine douglassii",,CADO,native,7,,,,
"Cardamine flexuosa",,CAFL14,non-native,0,,,,
"Cardamine hirsuta",,CAHI3,non-native,0,,,,
"Cardamine impatiens",,CAIM,non-native,0,,,,
"Cardamine longii",,CALO11,native,8,,,,
"Cardamine maxima",,CAMA36,native,7,,,,
"Cardamine parviflora",,CAPA12,native,6,,,,
"Cardamine pensylvanica",,CAPE3,native,4,,,,
"Cardamine pratensis",,CAPR3,native,4,,,,
"Cardaria draba",,CADR,non-native,0,,,,
"Cardiospermum halicacabum",,CAHA13,non-native,0,,,,
"Carduus acanthoides",,CAAC,non-native,0,,,,
"Carduus crispus",,CACR2,non-native,0,,,,
"Carduus nutans",,CANU4,non-native,0,,,,
"Carex abscondita",,CAAB5,native,8,,,,
"Carex adusta",,CAAD2,native,3,,,,
"Carex aestivalis",,CAAE2,native,7,,,,
"Carex aggregata",,CAAG2,native,4,,,,
"Carex alata",,CAAL3,native,8,,,,
"Carex albicans",,CAA25,native,7,,,,
"Carex albolutescens",,CAAL5,native,7,,,,
"Carex albursina",,CAAL11,native,8,,,,
"Carex alopecoidea",,CAAL8,native,7,,,,
"Carex amphibola",,CAAM8,native,6,,,,
"Carex annectens",,CAAN6,native,2,,,,
"Carex appalachica",,CAAP5,native,6,,,,
"Carex aquatilis",,CAAQ,native,7,,,,
"Carex arcta",,CAAR2,native,8,,,,
"Carex arctata",,CAAR3,native,5,,,,
"Carex argyrantha",,CAAR4,native,5,,,,
"Carex atlantica",,CAAT4,native,7,,,,
"Carex atratiformis",,CAAT6,native,8,,,,
"Carex aurea",,CAAU3,native,5,,,,
"Carex backii",,CABA3,native,7,,,,
"Carex baileyi",,CABA7,native,6,,,,
"Carex barrattii",,CABA9,native,10,,,,
"Carex bebbii",,CABE2,native,4,,,,
"Carex bicknellii",,CABI3,native,5,,,,
"Carex bigelowii",,CABI5,native,8,,,,
"Carex billingsii",,CABI22,native,8,,,,
"Carex blanda",,CABL,native,5,,,,
"Carex brevior",,CABR10,native,4,,,,
"Carex bromoides",,CABR14,native,5,,,,
"Carex brunnescens",,CABR15,native,5,,,,
"Carex bullata",,CABU7,native,8,,,,
"Carex bushii",,CABU5,native,3,,,,
"Carex buxbaumii",,CABU6,native,7,,,,
"Carex canescens",,CACA11,native,6,,,,
"Carex capillaris",,CACA12,native,8,,,,
"Carex capitata",,CACA13,native,8,,,,
"Carex careyana",,CACA14,native,8,,,,
"Carex caryophyllea",,CACA23,non-native,0,,,,
"Carex castanea",,CACA16,native,6,,,,
"Carex cephaloidea",,CACE2,native,6,,,,
"Carex cephalophora",,CACE,native,5,,,,
"Carex chordorrhiza",,CACH5,native,8,,,,
"Carex communis",,CACO7,native,5,,,,
"Carex comosa",,CACO8,native,5,,,,
"Carex conjuncta",,CACO13,native,5,,,,
"Carex conoidea",,CACO14,native,3,,,,
"Carex crawei",,CACR3,native,8,,,,
"Carex crawfordii",,CACR4,native,3,,,,
"Carex crinita",,CACR6,native,4,,,,
"Carex cristatella",,CACR7,native,4,,,,
"Carex cryptolepis",,CACR9,native,6,,,,
"Carex cumulata",,CACU3,native,5,,,,
"Carex davisii",,CADA,native,8,,,,
"Carex debilis var. rudgei",,CADER,native,5,,,,
"Carex deflexa",,CADE7,native,5,,,,
"Carex deweyana",,CADE9,native,5,,,,
"Carex diandra",,CADI4,native,8,,,,
"Carex digitalis",,CADI5,native,6,,,,
