Acronym,Scientific Name (NWPL/Mohlenbrock/Wilhelm & Rericha),Scientific Name Synonym             (Swink & Wilhelm/ Wilhelm & Rericha),Common Name           (NWPL/Mohlenbrock/Wilhelm & Rericha),Common Name          Synonym                  (Swink & Wilhelm/ Wilhelm & Rericha),Author,Midwest Region Wetland Indicator,NC-NE Region Wetland Indicator,Coefficient of Conservatism,Wetness Coefficient,Habit,Duration  ,Nativity,Scientific Family Name,Common Family Name
ABEESC,Abelmoschus esculentus,HIBISCUS ESCULENTUS,Okra,OKRA,(L.) Moench.,UPL,UPL,0,2,Forb,Annual,Adventive,MALVACEAE,Mallow Family
HIBESC,Abelmoschus esculentus,HIBISCUS ESCULENTUS,Okra,OKRA,(L.) Moench.,UPL,UPL,0,2,Forb,Annual,Adventive,MALVACEAE,Mallow Family
ABUTHE,Abutilon theophrasti,ABUTILON THEOPHRASTI,Velvetleaf,VELVETLEAF,Medik.,FACU,FACU,0,1,Forb,Annual,Adventive,MALVACEAE,Mallow Family
ACAGRA,Acalypha gracilens,Acalypha gracilens,Slender Three-Seed-Mercury,SLENDER MERCURY,Gray,FACU,FACU,4,1,Forb,Annual,Native,EUPHORBIACEAE,Spurge Family
ACARHO,Acalypha rhomboidea,Acalypha rhomboidea,Common Three-Seed-Mercury,THREE-SEEDED MERCURY,Raf.,FACU,FACU,0,1,Forb,Annual,Native,EUPHORBIACEAE,Spurge Family
ACAVIR,Acalypha virginica,ACALYPHA VIRGINICA,Virginia Three-Seed-Mercury,VIRGINIA MERCURY,L.,FACU,FACU,4,1,Forb,Annual,Adventive,EUPHORBIACEAE,Spurge Family
ACASIE,Acanthopanax sieboldianus,ELEUTHEROCOCCUS SIEBOLDIANUS,Palmate Hercules’ Club,FIVE-FINGERED ARALIA,Mak.,UPL,UPL,0,2,Shrub,Perennial,Adventive,ARALIACEAE,Spikenard Family
ELESIE,Acanthopanax sieboldianus,ELEUTHEROCOCCUS SIEBOLDIANUS,Palmate Hercules’ Club,FIVE-FINGERED ARALIA,Mak.,UPL,UPL,0,2,Shrub,Perennial,Adventive,ARALIACEAE,Spikenard Family
ACECAM,Acer campestre,ACER CAMPESTRE,Hedge Maple,HEDGE MAPLE,L.,UPL,UPL,0,2,Tree,Perennial,Adventive,ACERACEAE,Maple Family
ACEGIN,Acer ginnala,ACER GINNALA,Amur Maple,AMUR MAPLE,Maxim.,UPL,UPL,0,2,Tree,Perennial,Adventive,ACERACEAE,Maple Family
ACENEG,Acer negundo,Acer negundo var. violaceum,Ash-Leaf Maple,BOX ELDER,L.,FAC,FAC,0,0,Tree,Perennial,Native,ACERACEAE,Maple Family
ACENEGV,Acer negundo,Acer negundo var. violaceum,Ash-Leaf Maple,BOX ELDER,(Kirchn.) Jaeger,FAC,FAC,0,0,Tree,Perennial,Native,ACERACEAE,Maple Family
