Taxa Name,Nativity,Duration,FL Wetland Status,C of C Value
Abildgaardia ovata,Native,Perennial,FACW,none
Acalypha gracilens,Native,Annual,Not listed,3.29
Acer barbatum,Native,Perennial,Not listed,7.7
Acer rubrum,Native,Perennial,FACW,4.65
Acer saccharinum,Native,Perennial,OBL,6.89
Acmella oppositifolia (syn. Spilanthes americana),Native,Perennial,FACW,2.83
Acrostichum danaeifolium,Native,Perennial,OBL,5.79
Aeschynomene americana,Native,Perennial,Not listed,2.47
Aeschynomene indica,Exotic,Annual/Perennial,FACW,0.49
Agalinis fasciculata,Native,Annual,FACW,4.17
Agalinis filifolia,Native,Annual,Upland,6.69
Agalinis linifolia,Native,Perennial,OBL,7.04
Agalinis obtusifolia,Native,Annual,Not listed,6.5
Agarista populifolia,Native,Perennial,FACW,7.7
Albizia julibrissin,Exotic,Perennial,Upland,0
Aleurites fordii,Exotic,Perennial,Not listed,0
Alnus serrulata,Native,Perennial,OBL,5.5
Alternanthera philoxeroides,Exotic,Perennial,OBL,0
Alternanthera sessilis (syn. Alternanthera tenella),Exotic,Annual/Perennial,OBL,0.11
Amaranthus australis,Native,Annual,OBL,1
Amaranthus blitum,Exotic,Annual,Not listed,0
Amaranthus spinosus,Exotic,Annual,Not listed,0.04
Ambrosia artemisiifolia,Native,Annual,Not listed,0.95
Ammannia coccinea,Native,Annual,OBL,5.06
Ammannia latifolia,Native,Annual,OBL,4.55
Amorpha fruticosa,Native,Perennial,FACW,4.31
Ampelopsis arborea,Native,Perennial,Not listed,3.25
Amphicarpum muhlenbergianum,Native,Perennial,FACW,5.7
Andropogon glomeratus,Native,Perennial,FACW,3
Andropogon gyrans,Native,Perennial,FAC,6.07
Andropogon gyrans stenophyllus (syn. Andropogon perangustatus),Native,Perennial,FAC,6.07
Andropogon mohrii (syn. Andropogon liebmanii),Native,Perennial,FACW,7
Andropogon virginicus,Native,Perennial,FAC,3
Annona glabra,Native,Perennial,OBL,7
Apios americana,Native,Perennial,Not listed,3.85
Ardisia escallonioides,Native,Perennial,FAC,4.17
Aristida lanosa,Native,Perennial,Not listed,8.73
Aristida palustris (syn. Aristida affinis),Native,Perennial,OBL,8.54
Aristida patula,Native,Perennial,Not listed,4.85
Aristida purpurascens,Native,Perennial,FACW,5.58
Aristida stricta,Native,Perennial,FAC,8.67
Arnoglossum sulcatum,Native,Perennial,OBL,7.13
Aronia arbutifolia,Native,Perennial,FACW,5.2
Arundinaria gigantea,Native,Perennial,FACW,5.25
Arundo donax,Exotic,Perennial,FAC,0
Asclepias incarnata,Native,Perennial,OBL,none
Asclepias lanceolata,Native,Perennial,OBL,6.73
Aster tortifolius,Native,Perennial,Not listed,4.62
Avicennia germinans,Native,Perennial,OBL,4.5
Axonopus affinis,Native,Perennial,FAC,1.89
Axonopus furcatus,Native,Perennial,FAC,2.12
Azolla caroliniana,Native,Annual,OBL,1.81
Baccharis angustifolia,Native,Perennial,OBL,4.2
Baccharis glomeruliflora,Native,Perennial,FAC,3
Baccharis halimifolia,Native,Perennial,FAC,2.53
Bacopa caroliniana,Native,Perennial,OBL,4.5
Bacopa inominata,Native,Perennial,OBL,7.48
Bacopa monnieri,Native,Perennial,OBL,3.5
Bidens alba,Native,Annual/Perennial,FAC,1
Bidens discoidea,Native,Annual,OBL,4.5
Bidens laevis,Native,Annual/Perennial,OBL,5.5
Bidens mitis,Native,Annual,OBL,4.5
Bidens pilosa,Exotic,Annual,FAC,1.64
Bigelowia nudata,Native,Perennial,FACW,7.59
Blechnum serrulatum,Native,Perennial,FACW,5.5
Boehmeria cylindrica,Native,Perennial,OBL,5
Boltonia apalachicolensis,Native,Perennial,FACW,7.17
Boltonia diffusa,Native,Perennial,FACW,4.96
Brasenia schreberi,Native,Perennial,OBL,8.79
Burmannia capitata,Native,Annual,OBL,8.13
Cabomba caroliniana,Native,Perennial,OBL,5.5
Callicarpa americana,Native,Perennial,Upland,3.2
Callistemon viminalis,Exotic,Perennial,Not listed,0
Campsis radicans,Native,Perennial,Not listed,2.53
Canna flaccida,Native,Perennial,OBL,5.5
Caperonia castaneifolia,Native,Perennial,FACW,4.94
Caperonia palustris,Exotic,Annual,FACW,0.52
Cardamine pensylvanica,Native,Annual,OBL,4.42
Carex alata,Native,Perennial,FACW,4.27
Carex albolutescens,Native,Perennial,FACW,3.47
Carex comosa,Native,Perennial,OBL,1.5
Carex decomposita,Native,Perennial,OBL,none
Carex fissa,Native,Perennial,FACW,3.9
Carex gigantea,Native,Perennial,OBL,5.07
Carex glaucescens,Native,Perennial,FACW,4.7
Carex longii,Native,Perennial,FACW,2.25
Carex lupuliformis,Native,Perennial,OBL,5.5
Carex lupulina,Native,Perennial,OBL,5.5
Carex lurida,Native,Perennial,OBL,4.29
Carex stipata,Native,Perennial,OBL,4.46
Carex striata (syn. Carex walteriana),Native,Perennial,OBL,4
Carex verrucosa,Native,Perennial,FACW,9.1
Carphephorus odoratissimus,Native,Perennial,FAC,6.93
Carpinus caroliniana,Native,Perennial,FACW,6.5
Carya aquatica,Native,Perennial,OBL,7
Cassia fistula ,Exotic,Perennial,Not listed,1.46
Cassytha filiformis,Native,Perennial,Not listed,3.34
Casuarina,Exotic,Perennial,FAC,0
Casuarina equisetifolia,Exotic,Perennial,FAC,0
Catalpa bignonioides,Native,Perennial,Not listed,3.27
Celtis laevigata,Native,Perennial,FACW,5.08
Centella asiatica (syn. Centella erecta),Native,Perennial,FACW,1.92
Cephalanthus occidentalis,Native,Perennial,OBL,5
Ceratophyllum demersum,Native,Perennial,OBL,4.16
Ceratopteris pteridoides,Native,Annual/Perennial,OBL,2.67
Ceratopteris thalictroides,Exotic,Annual/Perennial,OBL,2.93
Chamaecyparis thyoides,Native,Perennial,OBL,7.09
Chara,Native,Perennial,OBL,3.9
Chasmanthium laxum,Native,Perennial,FACW,7.37
Chasmanthium nitidum,Native,Perennial,FACW,5.67
Chenopodium album,Exotic,Annual,Not listed,0.78
Chenopodium ambrosioides,Exotic,Annual/Perennial,Not listed,0.59
Chrysobalanus icaco,Native,Perennial,FACW,5.63
Chrysoma pauciflosculosa,Native,Perennial,Not listed,4.4
Chrysopsis mariana,Native,Perennial,Upland,3.7
Cicuta maculata (syn. Cicuta mexicana),Native,Perennial/Biennial,OBL,4.54
Cinnamomum camphora,Exotic,Perennial,Upland,0
Cirsium nuttallii,Native,Perennial,FACW,3.08
Cladium jamaicense,Native,Perennial,OBL,8
Clethra alnifolia,Native,Perennial,FACW,5.63
Cliftonia monophylla,Native,Perennial,FACW,5.63
Coccoloba uvifera,Native,Perennial,Not listed,none
Cocos nucifera,Exotic,Perennial,Upland,none
Coelorachis cylindrica,Native,Perennial,FAC,7
Coelorachis rugosa,Native,Perennial,FACW,8.91
