C,Scientific Name,Common Name,Family,native
4,Abildgaardia ovata,Flatspike Sedge,Cyperaceae,native
2,Abutilon permolle,Coastal Indian Mallow,Malvaceae,native
2,Acacia farnesiana,Sweet Acacia,Fabaceae,native
5,Acacia macracantha,Porknut,Fabaceae,native
7,Acacia pinetorum,Pineland Acacia,Fabaceae,native
1,Acacia tortuosa,Poponax,Veronicaceae,native
3,Acalypha chamaedrifolia,Bastard Copperleaf,Euphorbiaceae,native
6,Acalypha gracilens,Slender Threeseed Mercury,Euphorbiaceae,native
4,Acalypha ostryifolia,Pineland Threeseed Mercury,Euphorbiaceae,native
8,Acanthocereus tetragonus,Triangle Cactus; Barbed-Wire Cactus,Cactaceae,native
5,Acer rubrum,Red Maple,Sapindaceae,native
6,Acmella oppositifolia var. repens,Oppositeleaf Spotflower,Asteraceae,native
9,Acoelorraphe wrightii,Everglades Palm,Arecaceae,native
8,Acrostichum aureum,Golden Leather Fern,Pteridaceae,native
4,Acrostichum danaeifolium,Giant Leather Fern,Pteridaceae,native
10,Adiantum capillus-veneris,Venus'-Hair Fern; Southern Maidenhair,Pteridaceae,native
10,Adiantum melanoleucum,Fragrant Maidenhair,Pteridaceae,native
4,Adiantum tenerum,Brittle Maidenhair,Pteridaceae,native
10,Adiantum villosum,Woolly Maidenhair,Pteridaceae,native
2,Aeschynomene americana,Shyleaf,Fabaceae,native
8,Aeschynomene pratensis,Meadow Jointvetch,Fabaceae,native
8,Aeschynomene viscidula,Sticky Jointvetch,Fabaceae,native
7,Agalinis fasciculata,Beach False Foxglove,Orobanchaceae,native
7,Agalinis filifolia,Seminole False Foxglove,Orobanchaceae,native
8,Agalinis linifolia,Flaxleaf False Foxglove,Orobanchaceae,native
7,Agalinis maritima,Saltmarsh False Foxglove,Orobanchaceae,native
7,Agalinis obtusifolia,Tenlobe False Foxglove,Orobanchaceae,native
5,Agalinis purpurea,Purple False Foxglove,Orobanchaceae,native
9,Agave decipiens,False Sisal,Agavaceae,native
9,Agave neglecta,Wild Century Plant,Agavaceae,native
6,Ageratina jucunda,Hammock Snakeroot,Asteraceae,native
7,Aletris bracteata,Bracted Colicroot,Nartheciaceae,native
7,Aletris lutea,Yellow Colicroot,Nartheciaceae,native
4,Alternanthera flavescens,Yellow Joywood,Amaranthaceae,native
5,Alternanthera maritima,Seaside Joyweed,Amaranthaceae,native
10,Alvaradoa amorphoides,Mexican Alvaradoa,Picramniaceae,native
5,Amaranthus australis,Southern Amaranth,Amaranthaceae,native
0,Ambrosia artemisiifolia,Common Ragweed,Asteraceae,native
7,Ambrosia hispida,Coastal Ragweed,Asteraceae,native
4,Ammannia coccinea,Valley Redstem; Scarlet Ammannia,Lythraceae,native
4,Ammannia latifolia,Pink Redstem; Toothcup,Lythraceae,native
5,Amorpha fruticosa,Bastard Indigobush; False Indigobush,Fabaceae,native
6,Amorpha herbacea var. crenulata,Miami Lead Plant,Fabaceae,native
8,Amorpha herbacea var. crenulata,Miami Lead Plant,Euphorbiaceae,native
4,Ampelopsis arborea,Peppervine,Vitaceae,native
5,Amphicarpum muhlenbergianum,Blue Maidencane,Poaceae,native
10,Amphitecna latifolia,Black Calabash,Bignoniaceae,native
10,Amyris balsamifera,Balsam Torchwood,Rutaceae,native
8,Amyris elemifera,Sea Torchwood,Rutaceae,native
5,Anagallis minima,Chaffweed,Primulaceae,native
7,Anagallis pumila,Florida Pimpernel,Primulaceae,native
9,Andropogon brachystachyus,Shortspike Bluestem,Poaceae,native
7,Andropogon floridanus,Florida Bluestem,Poaceae,native
6,Andropogon glomeratus var. glaucopsis,Purple Bluestem,Poaceae,native
7,Andropogon glomeratus var. hirsutior,Bushy Bluestem,Poaceae,native
2,Andropogon glomeratus var. pumilus,Bushy Bluestem,Poaceae,native
5,Andropogon gyrans,Elliott's Bluestem,Poaceae,native
6,Andropogon longiberbis,Hairy Bluestem,Poaceae,native
7,Andropogon ternarius,Splitbeard Bluestem,Poaceae,native
7,Andropogon tracyi,Tracy's Bluestem,Poaceae,native
4,Andropogon virginicus,Broomsedge Bluestem,Poaceae,native
6,Andropogon virginicus var. decipiens,Broomsedge Bluestem,Poaceae,native
6,Andropogon virginicus var. glaucus,Chalky Bluestem,Poaceae,native
8,Anemia adiantifolia,Maidenhair Pineland Fern,Schizaeaceae,native
10,Anemia wrightii,Wright's Pineland Fern; Parsley Fern,Schizaeaceae,native
7,Angadenia berteroi,Pineland Golden Trumpet,Apocynaceae,native
4,Annona glabra,Pond Apple,Annonaceae,native
6,Apios americana,Groundnut,Fabaceae,native
10,Apteria aphylla,Nodding Nixie,Burmanniaceae,native
8,Ardisia escallonioides,Marlberry,Myrsinaceae,native
0,Argemone albiflora,Bluestem Pricklypoppy,Papaveraceae,native
0,Argemone mexicana,Mexican Pricklypoppy,Papaveraceae,native
8,Argusia gnaphalodes,Sea Rosemary; Sea Lavender,Boraginaceae,native
10,Arisaema triphyllum,Jack-In-The-Pulpit,Araceae,native
7,Aristida condensata,Big Threeawn; Piedmont Threeawn,Poaceae,native
5,Aristida gyrans,Corkscrew Threeawn,Poaceae,native
8,Aristida palustris,Longleaf Threeawn,Poaceae,native
7,Aristida patula,Tall Threeawn,Poaceae,native
7,Aristida purpurascens,Arrowfeather Threeawn,Poaceae,native
2,Aristida purpurascens var. tenuispica,Hillsboro Threeawn,Poaceae,native
8,Aristida rhizomophora,Florida Threeawn,Poaceae,native
7,Aristida spiciformis,Bottlebrush Threeawn,Poaceae,native
7,Aristida stricta var. beyrichiana,Wiregrass,Poaceae,native
9,Aristolochia pentandra,Marsh's Dutchman's-Pipe,Aristolochiaceae,native
8,Arnoglossum ovatum,Ovateleaf Indian Plantain,Asteraceae,native
8,Asclepias curtissii,Curtiss' Milkweed,Apocynaceae,native
8,Asclepias feayi,Florida Milkweed,Apocynaceae,native
8,Asclepias incarnata,Swamp Milkweed,Apocynaceae,native
8,Asclepias lanceolata,Fewflower Milkweed,Apocynaceae,native
8,Asclepias longifolia,Longleaf Milkweed,Apocynaceae,native
10,Asclepias pedicellata,Savannah Milkweed,Apocynaceae,native
7,Asclepias tomentosa,Velvetleaf Milkweed,Apocynaceae,native
8,Asclepias tuberosa,Butterflyweed; Butterfly Milkweed,Apocynaceae,native
8,Asclepias viridis,Green Antelopehorn,Apocynaceae,native
7,Asimina obovata,Bigflower Pawpaw,Annonaceae,native
7,Asimina reticulata,Netted Pawpaw,Annonaceae,native
9,Asimina tetramera,Fourpetal Pawpaw,Annonaceae,native
10,Asplenium abscissum,Cutleaf Spleenwort,Aspleniaceae,native
10,Asplenium dentatum,Toothed Spleenwort; Slender Spleenwort,Aspleniaceae,native
10,Asplenium erosum,Eared Spleenwort; Auricled Spleenwort,Aspleniaceae,native
10,Asplenium platyneuron,Ebony Spleenwort,Aspleniaceae,native
10,Asplenium serratum,Wild Birdnest Fern; Bird's-Nest Spleenwort,Aspleniaceae,native
10,Asplenium verecundum,Modest Spleenwort; Delicate Spleenwort,Aspleniaceae,native
10,Asplenium x biscaynianum,Biscayne Spleenwort,Aspleniaceae,native
5,Atriplex cristata,Crested Saltbush,Amaranthaceae,native
8,Aureolaria pedicularia var. pectinata,Fernleaf Yellow False Foxglove,Orobanchaceae,native
5,Avicennia germinans,Black Mangrove,Avicenniaceae,native
0,Axonopus compressus,Tropical Carpetgrass; Broadleaf Carpetgrass,Poaceae,native
1,Axonopus fissifolius,Common Carpetgrass,Fabaceae,native
1,Axonopus furcatus,Big Carpetgrass,Poaceae,native
4,Ayenia euphrasiifolia,Eyebright Ayenia,Malvaceae,native
2,Azolla caroliniana,Carolina Mosquito Fern,Azollaceae,native
5,Baccharis angustifolia,Saltwater Falsewillow,Asteraceae,native
9,Baccharis dioica,Broombush Falsewillow,Asteraceae,native
4,Baccharis glomeruliflora,Silverling,Asteraceae,native
3,Baccharis halimifolia,Groundsel Tree; Sea Myrtle,Asteraceae,native
8,Bacopa caroliniana,Lemon Bacopa; Blue Waterhyssop,Veronicaceae,native
3,Bacopa innominata,Tropical Waterhyssop,Veronicaceae,native
3,Bacopa monnieri,Herb-Of-Grace,Veronicaceae,native
3,Bacopa repens,Creeping Waterhyssop,Veronicaceae,native
8,Balduina angustifolia,Coastalplain Honeycombhead,Asteraceae,native
10,Bartonia verna,White Screwstem,Gentianaceae,native
7,Bartonia virginica,Yellow Screwstem,Gentianaceae,native
7,Basiphyllaea corallicola,Carter's Orchid,Orchidaceae,native
5,Batis maritima,Saltwort; Turtleweed,Bataceae,native
7,Befaria racemosa,Tarflower,Ericaceae,native
7,Berchemia scandens,Alabama Supplejack; Rattan Vine,Rhamnaceae,native
8,Berlandiera subacaulis,Florida Greeneyes,Asteraceae,native
0,Bidens alba,Beggarticks; Romerillo,Asteraceae,native
6,Bidens bipinnata,Spanish Needles,Asteraceae,native
6,Bidens laevis,Burrmarigold; Smooth Beggarticks,Asteraceae,native
5,Bidens mitis,Smallfruit Beggarticks,Asteraceae,native
8,Bigelowia nudata subsp. australis,Pineland Rayless Goldenrod,Asteraceae,native
6,Blechnum serrulatum,Toothed Midsorus Fern; Swamp Fern,Blechnaceae,native
10,Bletia patula,Flor De Pasmo,Orchidaceae,native
5,Bletia purpurea,Pinepink,Orchidaceae,native
3,Blutaparon vermiculare,Samphire; Silverhead,Amaranthaceae,native
3,Boehmeria cylindrica,False Nettle; Bog Hemp,Urticaceae,native
0,Boerhavia diffusa,Red Spiderling; Wineflower,Nyctaginaceae,native
0,Boerhavia erecta,Erect Spiderling,Nyctaginaceae,native
8,Boltonia diffusa,Smallhead Doll's Daisy,Asteraceae,native
5,Borrichia arborescens,Tree Seaside Oxeye,Asteraceae,native
5,Borrichia frutescens,Bushy Seaside Oxeye,Asteraceae,native
5,Borrichia x cubana,,Asteraceae,native
7,Bourreria cassinifolia,Smooth Strongbark; Little Strongbark,Boraginaceae,native
9,Bourreria succulenta,Bahama Strongbark; Bodywood,Boraginaceae,native
5,Bouteloua hirsuta,Hairy Gramma,Poaceae,native
9,Brasenia schreberi,Watershield,Cabombaceae,native
10,Brassia caudata,Spider Orchid; Cricket Orchid,Orchidaceae,native
9,Brickellia mosieri,Mosier's False Boneset; Brickell-Bush,Asteraceae,native
2,Buchnera americana,American Bluehearts,Orobanchaceae,native
10,Bucida molinetii,Spiny Black Olive,Combretaceae,native
10,Bulbophyllum pachyrachis,Rattail Orchid,Orchidaceae,native
7,Bulbostylis ciliatifolia,Capillary Hairsedge,Cyperaceae,native
7,Bulbostylis stenophylla,Sandyfield Hairsedge,Cyperaceae,native
7,Bulbostylis warei,Ware's Hairsedge,Cyperaceae,native
9,Burmannia biflora,Bluethread,Burmanniaceae,native
9,Burmannia capitata,Southern Bluethread,Burmanniaceae,native
9,Burmannia flava,Fakahatchee Bluethread,Burmanniaceae,native
4,Bursera simaruba,Gumbo-Limbo,Burseraceae,native
10,Byrsonima lucida,Long Key Locustberry,Malpighiaceae,native
7,Cabomba caroliniana,Carolina Fanwort,Cabombaceae,native
4,Caesalpinia bonduc,Gray Nicker,Fabaceae,native
8,Caesalpinia major,Hawaii Pearls; Yellow Nicker,Fabaceae,native
8,Cakile lanceolata,Coastal Searocket,Brassicaceae,native
5,Callicarpa americana,American Beautyberry,Lamiaceae,native
4,Callisia ornata,Florida Scrub Roseling,Commelinaceae,native
9,Callitriche peploides,Matted Waterstarwort,Callitrichaceae,native
10,Calopogon barbatus,Bearded Grasspink,Orchidaceae,native
10,Calopogon multiflorus,Manyflowered Grasspink,Orchidaceae,native
5,Calopogon pallidus,Pale Grasspink,Orchidaceae,native
7,Calopogon tuberosus,Tuberous Grasspink,Orchidaceae,native
9,Calopogon tuberosus var. simpsonii,Simpson's Grasspink,Orchidaceae,native
9,Calyptranthes pallens,Pale Lidflower; Spicewood,Myrtaceae,native
10,Calyptranthes zuzygium,Myrtle-Of-The-River,Myrtaceae,native
6,Calystegia sepium subsp. limnophila,Hedge False Bindweed,Convolvulaceae,native
1,Campanula floridana,Florida Bellflower,Poaceae,native
10,Campylocentrum pachyrrhizum,Leafless Bentspur Orchid,Orchidaceae,native
10,Campyloneurum angustifolium,Narrow Strap Fern; Narrow Swamp Fern,Polypodiaceae,native
10,Campyloneurum costatum,Tailed Strap Fern,Polypodiaceae,native
8,Campyloneurum phyllitidis,Long Strap Fern,Polypodiaceae,native
4,Canavalia rosea,Baybean; Seaside Jackbean,Fabaceae,native
10,Canella winterana,Pepper Cinnamon; Cinnamon Bark,Canellaceae,native
4,Canna flaccida,Bandana-Of-The-Everglades,Cannaceae,native
7,Caperonia castaneifolia,Chestnutleaf Falsecroton,Euphorbiaceae,native
9,Capparis cynophallophora,Jamaican Capertree,Brassicaceae,native
9,Capparis flexuosa,Bayleaf Capertree,Brassicaceae,native
2,Capraria biflora,Goatweed,Veronicaceae,native
4,Capsicum annuum var. glabriusculum,Bird Pepper,Solanaceae,native
7,Cardiospermum corindum,Faux Persil,Sapindaceae,native
2,Cardiospermum microcarpum,Heartseed,Sapindaceae,native
9,Carex gigantea,Giant Sedge,Cyperaceae,native
4,Carex longii,Long's Sedge,Cyperaceae,native
7,Carex lupuliformis,False Hop Sedge,Cyperaceae,native
7,Carex verrucosa,Warty Sedge,Cyperaceae,native
7,Carex vexans,Florida Hammock Sedge,Cyperaceae,native
8,Carphephorus carnosus,Pineland Chaffhead,Asteraceae,native
8,Carphephorus corymbosus,Coastalplain Chaffhead; Florida Paintbrush,Asteraceae,native
8,Carphephorus odoratissimus var. subtropicanus,Pineland Purple; False Vanillaleaf,Asteraceae,native
8,Carphephorus paniculatus,Hairy Chaffhead,Asteraceae,native
8,Carya aquatica,Water Hickory,Juglandaceae,native
8,Carya floridana,Scrub Hickory,Juglandaceae,native
8,Carya glabra,Pignut Hickory,Juglandaceae,native
4,Cassytha filiformis,Love Vine; Devil's Gut,Lauraceae,native
10,Catopsis berteroniana,Powdery Strap Airplant,Bromeliaceae,native
10,Catopsis floribunda,Florida Strap Airplant,Bromeliaceae,native
10,Catopsis nutans,Nodding Strap Airplant; Nodding Catopsis,Bromeliaceae,native
10,Cayaponia americana,American Melonleaf,Cucurbitaceae,native
8,Celosia nitida,West Indian Cock's Comb,Amaranthaceae,native
10,Celtis ehrenbergiana,Spiny Hackberry; Desert Hackberry,Celtidaceae,native
10,Celtis iguanaea,Iguana Hackberry,Celtidaceae,native
8,Celtis laevigata,Sugarberry; Hackberry,Celtidaceae,native
2,Cenchrus echinatus,Southern Sandbur,Poaceae,native
2,Cenchrus gracillimus,Slender Sandbur,Poaceae,native
3,Cenchrus spinifex,Coastal Sandbur,Poaceae,native
7,Cenchrus tribuloides,Sanddune Sandbur,Poaceae,native
2,Centella asiatica,Spadeleaf,Araliaceae,native
4,Centrosema virginianum,Spurred Butterfly Pea,Fabaceae,native
6,Cephalanthus occidentalis,Common Buttonbush,Rubiaceae,native
10,Ceratiola ericoides,Florida Rosemary; Sand Heath,Ericaceae,native
4,Ceratophyllum demersum,Coontail,Ceratophyllaceae,native
4,Ceratopteris pteridoides,Water Horn Fern,Pteridaceae,native
5,Chamaecrista fasciculata,Partridge Pea,Fabaceae,native
7,Chamaecrista lineata var. keyensis,Narrowpod Sensitive Pea; Key Cassia,Fabaceae,native
6,Chamaecrista nictitans,Sensitive Pea,Fabaceae,native
4,Chamaecrista nictitans var. aspera,Sensitive Pea,Fabaceae,native
1,Chamaesyce blodgettii,Limestone Sandmat,Campanulaceae,native
8,Chamaesyce bombensis,Dixie Sandmat,Euphorbiaceae,native
3,Chamaesyce conferta,Everglades Key Sandmat,Euphorbiaceae,native
6,Chamaesyce cumulicola,Coastal Dune Sandmat; Sanddune Spurge,Euphorbiaceae,native
6,Chamaesyce deltoidea,Wedge Sandmat; Rockland Spurge,Euphorbiaceae,native
10,Chamaesyce deltoidea subsp. pinetorum,Pineland Sandmat,Euphorbiaceae,native
9,Chamaesyce garberi,Garber's Sandmat; Garber's Spurge,Euphorbiaceae,native
0,Chamaesyce hirta,Pillpod Sandmat,Euphorbiaceae,native
1,Chamaesyce hypericifolia,Graceful Sandmat,Euphorbiaceae,native
1,Chamaesyce hyssopifolia,Hyssopleaf Sandmat,Euphorbiaceae,native
