"Pennsylvania Piedmont"
2013
"Bowman's Hill Wildflower Preserve in collaboration with Janet Ebert, Jack Holt and Anne Rhoads"
"Pennsylvania Piedmont  , 2013"

"Total Species:",3419
"Native Species:",1579
"Non-native Species:",1840
"Total Mean C:",2.1
"Native Mean C:",4.5

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies concolor",Pinaceae,,non-native,0,,,,"white fir"
"Abutilon theophrastii",Malvaceae,,non-native,0,5,,,butter-print
"Acalypha australis",Euphorbiaceae,ACAU6,non-native,0,,,,"asiatic three-seeded mercury"
"Acalypha gracilens",Euphorbiaceae,ACGR2,native,3,,forb,annual,"slender mercury"
"Acalypha ostryaefolia",Euphorbiaceae,,non-native,0,,,,"hornbeam-leaved three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACRH,native,0,4,forb,annual,"three-seeded mercury"
"Acalypha virginica",Euphorbiaceae,ACVI,native,2,4,forb,annual,"three-seeded mercury"
"Acanthopanax sieboldianus",Araliaceae,ELPE6,non-native,0,,,,"fiveleaf aralia"
"Acer campestre",Aceraceae,ACCA5,non-native,0,,tree,perennial,"hedge maple"
"Acer ginnala",Aceraceae,ACGI,non-native,0,,tree,perennial,"amur maple"
"Acer japonicum",Aceraceae,ACJA2,non-native,0,,,,"japanese maple"
"Acer negundo",Aceraceae,ACNE2,native,2,-1,tree,perennial,box-elder
"Acer palmatum",Aceraceae,ACPA2,non-native,0,,tree,perennial,"japanese maple"
"Acer pensylvanicum",Aceraceae,ACPE,native,7,3,tree,perennial,"maple, striped"
"Acer platanoides",Aceraceae,ACPL,non-native,0,,tree,perennial,"maple, norway"
"Acer pseudoplatanus",Aceraceae,ACPS,non-native,0,,tree,perennial,"sycamore maple"
"Acer rubrum var. rubrum",Aceraceae,ACRUR,native,1,0,,,"red maple"
"Acer rubrum var. trilobum",Aceraceae,ACRUT,native,3,-4,tree,perennial,"trident red maple"
"Acer saccharinum",Aceraceae,ACSA2,native,3,-3,tree,perennial,"maple, silver"
"Acer saccharum var. saccharum",Aceraceae,ACSAS,native,5,3,,,"sugar maple"
"Acer saccharum var. schneckii",Aceraceae,,native,0,3,,,"sugar maple"
"Acer spicatum",Aceraceae,ACSP2,native,8,4,tree,perennial,"maple, mountain"
"Achillea lanulosa",Asteraceae,ACMIO,non-native,0,,,,"curled-leaved yarrow"
"Achillea millefolium",Asteraceae,ACMI2,non-native,0,3,forb,perennial,yarrow
"Achillea ptarmica",Asteraceae,ACPT,non-native,0,,forb,perennial,sneezeweed
"Acorus americanus",Acoraceae,ACAM,non-native,0,,forb,perennial,sweet-flag
"Acorus calamus",Acoraceae,ACAM,native,1,-5,forb,perennial,"sweetflag; calamus"
"Actaea alba",Ranunculaceae,ACPA,non-native,0,,,,"white baneberry/ dolls eyes"
"Actaea pachypoda",Ranunculaceae,ACPA,native,7,,forb,perennial,"white baneberry/ dolls eyes"
"Actaea racemosa",Ranunculaceae,ACRA7,native,5,,forb,perennial,"cohosh, black; black snakeroot"
"Actaea rubra",Ranunculaceae,ACRU2,non-native,0,,forb,perennial,"baneberry, red"
"Actinidia arguta",Actinidiaceaae,ACAR10,non-native,0,,,,"bower actinidia"
"Adiantum aleuticum",Adiantaceae,ADAL,native,10,,forb,perennial,"aleutian maidenhair"
"Adiantum pedatum",Adiantaceae,ADPE,native,6,1,forb,perennial,"fern, northern maidenhair"
"Adlumia fungosa",Fumariaceae,ADFU,native,8,,vine,biennial,allegheny-vine
"Aegopodium podagraria",Apiaceae,AEPO,non-native,0,3,grass,annual,goutweed
"Aeschynomene virginica",Fabaceae,AEVI3,non-native,0,-5,forb,annual,"sensitive joint-vetch"
"Aesculus flava",Hippocastanaceae,AEFL,native,0,,tree,perennial,"buckeye, yellow"
"Aesculus glabra",Hippocastanaceae,AEGL,native,0,2,tree,perennial,"buckeye, ohio"
"Aesculus hippocastanum",Hippocastanaceae,AEHI,non-native,0,,tree,perennial,horse-chestnut
"Aesculus parviflora",Hippocastanaceae,AEPA2,non-native,0,,tree,perennial,"buckeye, bottlebrush"
"Aethusa cynapium",Apiaceae,AECY2,non-native,0,,forb,annual,"fools parsley"
"Agalinis auriculata",Scrophulariaceae,AGAU3,native,0,,forb,annual,"eared false-foxglove/ eared gerardia"
"Agalinis decemloba",Scrophulariaceae,AGOB,native,0,3,,,"blue ridge false-foxglove"
"Agalinis fasciculata",Scrophulariaceae,AGFA2,non-native,0,,,,"pine barrens gerardia"
"Agalinis maritima",Scrophulariaceae,AGMA3,non-native,0,-4,forb,annual,"seaside gerardia"
"Agalinis paupercula",Scrophulariaceae,AGPA12,native,0,-4,forb,annual,"small-flowered false-foxglove/ small-flowered gerardia"
"Agalinis paupercula var paupercula",Scrophulariaceae,,native,0,-4,,,"small-flowered false-foxglove/ small-flowered gerardia"
"Agalinis purpurea",Scrophulariaceae,AGPU5,native,6,-2,forb,annual,"gerardia, purple"
"Agalinis setacea",Scrophulariaceae,AGSE3,native,6,,forb,annual,"thread- leaved gerardia"
"Agalinis tenuifolia",Scrophulariaceae,AGTE3,native,6,0,forb,annual,"gerardia, slender"
"Agastache nepetoides",Lamiaceae,AGNE2,native,4,3,shrub,perennial,"hyssop, yellow giant"
"Agastache scrophulariifolia",Lamiaceae,AGSC,native,4,,shrub,perennial,"hyssop, purple giant"
"Ageratina altissima",Asteraceae,AGAL5,native,2,4,forb,perennial,"snakeroot, white"
"Agrimonia gryposepala",Rosaceae,AGGR2,native,4,3,forb,perennial,"agrimony/ tall hairy agrimony"
"Agrimonia microcarpa",Rosaceae,AGMI2,native,0,,forb,perennial,"small-fruited agrimony"
"Agrimonia parviflora",Rosaceae,AGPA6,native,2,0,forb,perennial,"multi-flowered agrimony"
"Agrimonia pubescens",Rosaceae,AGPU,native,4,,forb,perennial,"downy agrimony"
"Agrimonia rostellata",Rosaceae,AGRO3,native,6,3,forb,perennial,"woodland agrimony/ beaked agrimony"
"Agrimonia striata",Rosaceae,AGST,native,3,4,forb,perennial,"roadside agrimony/ woodland agrimony"
"Agrostemma githago",Caryophyllaceae,AGGI,non-native,0,,forb,annual,"corn cockle"
"Agrostis altissima",Poaceae,AGPE,native,10,3,,,"tall bentgrass"
"Agrostis canina",Poaceae,AGCA4,non-native,0,3,grass,perennial,"velvet bent-grass"
"Agrostis capillaris",Poaceae,AGCA5,non-native,0,,grass,perennial,"rhode island bent"
"Agrostis elliottiana",Poaceae,AGEL4,non-native,0,,grass,annual,bentgrass
"Agrostis geminata",Poaceae,AGSC5,non-native,0,,,,ticklegrass
"Agrostis geminate",Poaceae,,non-native,0,,,,
"Agrostis gigantea",Poaceae,AGGI2,non-native,0,,grass,perennial,"red top"
"Agrostis hyemalis",Poaceae,AGHY,non-native,0,0,grass,perennial,hairgrass
"Agrostis hyemalis var scabra",Poaceae,,non-native,0,,,,"rough bent-grass"
"Agrostis perennans",Poaceae,AGPE,native,2,3,grass,perennial,"grass, autumn bent"
"Agrostis scabra",Poaceae,AGSC5,native,0,0,grass,perennial,"fly-away grass"
"Agrostis stolonifera",Poaceae,AGST2,non-native,0,-3,grass,perennial,"creeping bent-grass"
"Agrostis stolonifera var. palustris",Poaceae,AGST2,non-native,0,-3,,,"carpet bentgrass"
"Ailanthus altissima",Simaroubaceae,AIAL,non-native,0,,tree,perennial,"tree of heaven"
"Aira caryophyllea",,AICA,non-native,0,,grass,annual,"silvery hair-grass"
"Aira elegantissima",,AIEL4,non-native,0,,,,"elegant hair-grass"
"Aira praecox",,AIPR,non-native,0,,grass,annual,"early hair-grass"
"Ajuga genevensis",Lamiaceae,AJGE,non-native,0,,forb,perennial,"upright bugleweed"
"Ajuga reptans",Lamiaceae,AJRE,non-native,0,,forb,perennial,"bugleweed, carpet"
"Akebia quinata",Lardizabalaceae,AKQU,non-native,0,,vine,perennial,"akebia, five-leaf"
"Albizia julibrissin",Fabaceae,ALJU,non-native,0,,tree,perennial,mimosa
"Aletris farinosa",Liliaceae,ALFA2,native,10,0,forb,perennial,colic-root
"Alisma subcordatum",Alismataceae,ALSU,native,4,-5,forb,perennial,"plantain, water"
"Alisma triviale",Alismataceae,ALTR7,native,0,,forb,perennial,"plantain, water"
"Alliaria petiolata",Brassiaceae,ALPE4,non-native,0,4,forb,annual,"mustard, garlic"
"Allium canadense",Liliaceae,ALCA3,native,4,3,forb,perennial,"garlic, meadow"
"Allium cernuum",Liliaceae,ALCE2,native,7,,forb,perennial,"onion, nodding"
"Allium oleraceum",Liliaceae,ALOL,non-native,0,,forb,perennial,"field garlic"
"Allium sativum",Liliaceae,ALSA2,non-native,0,,forb,perennial,garlic
"Allium schoenoprasum",Liliaceae,ALSC,non-native,0,3,forb,perennial,chives
"Allium tricoccum",Liliaceae,ALTR3,native,5,2,forb,perennial,"leek, wild"
"Allium vineale",Liliaceae,ALVI,non-native,0,4,forb,perennial,"garlic, field"
"Alnus glutinosa",Betulaceae,ALGL2,non-native,0,-2,tree,perennial,"black alder"
"Alnus incana",Betulaceae,ALIN2,non-native,0,,,,"speckled alder"
"Alnus serrulata",Betulaceae,ALSE2,native,4,-5,tree,perennial,"alder, smooth"
"Alopecurus aequalis",Poaceae,ALAE,native,7,-5,grass,perennial,"short-awned foxtail"
"Alopecurus aequalis var aequalis",Poaceae,,native,7,-5,,,"short-awned meadow foxtail"
"Alopecurus carolinianus",Poaceae,ALCA4,non-native,0,-3,grass,annual,"carolina foxtail"
"Alopecurus geniculatus",Poaceae,ALGE2,non-native,0,-5,grass,perennial,"marsh foxtail"
"Alopecurus myosuroides",Poaceae,ALMY,non-native,0,-3,grass,annual,"slender meadow foxtail"
"Alopecurus pratensis",Poaceae,ALPR3,non-native,0,-3,grass,perennial,"meadow foxtail"
"Althaea officinalis",Malvaceae,ALOF2,non-native,0,-4,forb,perennial,marsh-mallow
"Alyssum alyssoides",Brassicaceae,ALAL3,non-native,0,,forb,annual,"alyssum; small alyssum"
"Amaranthus albus",Amaranthaceae,AMAL,native,3,3,forb,annual,tumbleweed
"Amaranthus arenicola",Amaranthaceae,AMAR,non-native,0,5,forb,annual,"sandhill amaranth"
"Amaranthus blitoides",Amaranthaceae,AMBL,non-native,0,,forb,annual,"prostrate pigweed"
"Amaranthus blitum",Amaranthaceae,AMBL2,non-native,0,,forb,annual,amaranth
"Amaranthus cannabinus",Amaranthaceae,AMCA2,non-native,0,-5,forb,perennial,"water hemp"
"Amaranthus caudatus",Amaranthaceae,AMCA3,non-native,0,,forb,annual,love-lies-bleeding
"Amaranthus crispus",Amaranthaceae,AMCR2,non-native,0,,,,"curly amaranth"
"Amaranthus cruentus",Amaranthaceae,AMCR4,non-native,0,,forb,annual,"blood amaranth"
"Amaranthus deflexus",Amaranthaceae,AMDE,non-native,0,,forb,annual,"low amaranth"
"Amaranthus hybridus",Amaranthaceae,AMHY,non-native,0,,forb,annual,pigweed
"Amaranthus palmeri",Amaranthaceae,AMPA,non-native,0,3,forb,annual,"palmers amaranth"
"Amaranthus powellii",Amaranthaceae,AMPO2,non-native,0,,forb,annual,amaranth
"Amaranthus pumilus",Amaranthaceae,AMPU2,non-native,0,-3,forb,annual,"sea-beach amaranth"
"Amaranthus retroflexus",Amaranthaceae,AMRE,non-native,0,3,forb,annual,"green amaranth"
"Amaranthus rudis",Amaranthaceae,AMTU,non-native,0,-2,,,"western water-hemp"
"Amaranthus spinosus",Amaranthaceae,AMSP,non-native,0,3,forb,annual,"spiny amaranth"
"Amaranthus tuberculatus",Amaranthaceae,AMTU,non-native,0,-3,forb,annual,water-hemp
"Ambrosia artemisiifolia",Asteraceae,AMAR2,native,0,3,forb,annual,"ragweed, common"
"Ambrosia bidentata",Asteraceae,AMBI2,native,1,,forb,annual,"lance-leaved ragweed"
"Ambrosia trifida",Asteraceae,AMTR,native,1,0,shrub,annual,"ragweed, giant"
"Amelanchier arborea",Rosaceae,AMAR3,native,5,1,tree,perennial,shadbush
