"Piedmont region of the Southeast NC, SC, GA, AL, MS, FL, TN, KY"
2013
"NC Division of Water Resources with Southeast expert botanists; https://www.researchgate.net/publication/301220060_Coefficient_of_Conservatism_Database_Development_for_Wetland_Plants_Occurring_in_the_Southeastern_United_States"
"Piedmont region of the Southeast NC, SC, GA, AL, MS, FL, TN, KY  , 2013"

"Total Species:",2735
"Native Species:",2585
"Non-native Species:",150
"Total Mean C:",5.1
"Native Mean C:",5.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Acalypha gracilens",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. delzii",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. fraseri",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,3,forb,annual,"common threeseed mercury"
"Acalypha virginica var. gracilens",,ACGR2,native,3,0,forb,annual,"slender threeseed mercury"
"Acalypha virginica var. rhomboidea",,ACRH,native,2,3,forb,annual,"common threeseed mercury"
"Acer dasycarpum",,ACSA2,native,5,-3,tree,perennial,"silver maple"
"Acer negundo",,ACNE2,native,4,0,tree,perennial,boxelder
"Acer rubrum",,ACRU,native,3,0,tree,perennial,"red maple"
"Acer saccharinum",,ACSA2,native,5,-3,tree,perennial,"silver maple"
"Acer saccharinum var. laciniatum",,ACSA2,native,5,-3,tree,perennial,"silver maple"
"Acer saccharinum var. wieri",,ACSA2,native,5,-3,tree,perennial,"silver maple"
"Acmella oppositifolia var. repens",,ACOPR,native,4,-3,forb,perennial,"oppositeleaf spotflower"
"Acmella repens",,ACOPR,native,4,-3,forb,perennial,"oppositeleaf spotflower"
"Acorus calamus",,ACCA4,non-native,0,-5,forb,perennial,"single-vein sweetflag"
"Actinomeris alternifolia",,VEAL,native,4,0,forb,perennial,wingstem
"Acuan illinoense",,DEIL,native,3,0,shrub,perennial,"illinois bundleflower"
"Adiantum pedatum",,ADPE,native,8,0,forb,perennial,"northern maidenhair"
"Aegopodium podagraria",,AEPO,non-native,0,3,forb,perennial,"bishops goutweed"
"Aesculus georgiana",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Aesculus pavia",,AEPA,native,6,0,tree,perennial,"red buckeye"
"Aesculus sylvatica",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Aesculus sylvatica var. lanceolata",,AESY,native,6,0,tree,perennial,"painted buckeye"
"Afzelia cassioides",,SECA4,native,8,0,forb,annual,"yaupon blacksenna"
"Afzelia macrophylla",,DAMA,native,8,3,forb,annual,"mullein foxglove"
"Agalinis decemloba",,AGOB,native,6,3,forb,annual,"tenlobe false foxglove"
"Agalinis fasciculata",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis fasciculata var. peninsularis",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis georgiana",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis obtusifolia",,AGOB,native,6,3,forb,annual,"tenlobe false foxglove"
"Agalinis parvifolia",,AGOB,native,6,3,forb,annual,"tenlobe false foxglove"
"Agalinis purpurea",,AGPU5,native,5,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. carteri",,AGPU5,native,5,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. racemulosa",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
