"Southern Coastal Plain (EPA Ecoregion 75)"
2013
"Gianopulos, K. 2014. Coefficient of Conservatism Database Development for Wetland Plants Occurring in the Southeast United States. NC Dept. of Envir. Quality, Div. of Water Resources: Wetlands Branch. Report to the EPA. developed with 15 expert botanists"
"Southern Coastal Plain (EPA Ecoregion 75)  , 2013"

"Total Species:",4603
"Native Species:",4259
"Non-native Species:",344
"Total Mean C:",5.1
"Native Mean C:",5.5

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abildgaardia monostachya",,ABOV,native,7,-3,grass,perennial,"flatspike sedge"
"Abildgaardia ovata",,ABOV,native,7,-3,grass,perennial,"flatspike sedge"
"Acalypha gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. delzii",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha gracilens var. fraseri",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,0,forb,annual,"common threeseed mercury"
"Acalypha virginica var. gracilens",,ACGR2,native,4,0,forb,annual,"slender threeseed mercury"
"Acalypha virginica var. rhomboidea",,ACRH,native,2,0,forb,annual,"common threeseed mercury"
"Acanthocereus floridanus",,ACTE4,native,8,0,vine,perennial,"triangle cactus"
"Acanthocereus pentagonus",,ACTE4,native,8,0,vine,perennial,"triangle cactus"
"Acanthocereus tetragonus",,ACTE4,native,8,0,vine,perennial,"triangle cactus"
"Acer dasycarpum",,ACSA2,native,4,0,tree,perennial,"silver maple"
"Acer drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer negundo",,ACNE2,native,4,0,tree,perennial,boxelder
"Acer rubrum",,ACRU,native,4,0,tree,perennial,"red maple"
"Acer rubrum ssp. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer rubrum var. drummondii",,ACRUD,native,6,,tree,perennial,"drummonds maple"
"Acer saccharinum",,ACSA2,native,4,0,tree,perennial,"silver maple"
"Acer saccharinum var. laciniatum",,ACSA2,native,4,0,tree,perennial,"silver maple"
"Acer saccharinum var. wieri",,ACSA2,native,4,0,tree,perennial,"silver maple"
"Acerates delticola",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Acerates floridana",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Acerates longifolia",,ASLO,native,8,-3,forb,perennial,"longleaf milkweed"
"Achyranthes maritima",,ALMA10,native,5,-3,forb,perennial,"seaside joyweed"
"Acmella oppositifolia var. repens",,ACOPR,native,4,-3,forb,perennial,"oppositeleaf spotflower"
"Acmella repens",,ACOPR,native,4,-3,forb,perennial,"oppositeleaf spotflower"
"Acnida alabamensis",,AMAU,native,2,-5,shrub,annual,"southern amaranth"
"Acnida australis",,AMAU,native,2,-5,shrub,annual,"southern amaranth"
"Acnida cannabina",,AMCA2,native,7,-5,forb,perennial,"tidalmarsh amaranth"
"Acnida cuspidata",,AMAU,native,2,-5,shrub,annual,"southern amaranth"
"Acnida floridana",,AMFL3,native,4,-5,forb,annual,"florida amaranth"
"Acrostichum aureum",,ACAU3,native,7,-5,fern,perennial,"golden leatherfern"
"Acrostichum danaeifolium",,ACDA,native,7,-5,fern,perennial,"inland leatherfern"
"Acrostichum excelsum",,ACDA,native,7,-5,fern,perennial,"inland leatherfern"
"Actinomeris alternifolia",,VEAL,native,4,0,forb,perennial,wingstem
"Actinomeris heterophylla",,VEHE3,native,5,-3,forb,perennial,"diverseleaf crownbeard"
"Actinomeris pauciflora",,VEHE3,native,5,-3,forb,perennial,"diverseleaf crownbeard"
"Actinostachys germanii",,ACPE2,native,10,0,fern,perennial,"ray fern"
"Actinostachys pennula",,ACPE2,native,10,0,fern,perennial,"ray fern"
"Acuan illinoense",,DEIL,non-native,0,0,shrub,perennial,"illinois bundleflower"
"Adiantum pedatum",,ADPE,native,8,3,forb,perennial,"northern maidenhair"
"Adiantum tenerum",,ADTE,native,9,0,forb,perennial,"fan maidenhair"
"Adicea fontana",,PIFO,native,6,-3,forb,annual,"lesser clearweed"
"Aeschynomene americana",,AEAM,native,3,0,forb,perennial,shyleaf
"Aeschynomene americana var. glandulosa",,AEAM,native,3,0,forb,perennial,shyleaf
"Aeschynomene indica",,AEIN,non-native,0,-3,forb,perennial,"indian jointvetch"
"Aesculus pavia",,AEPA,native,5,3,tree,perennial,"red buckeye"
"Afzelia cassioides",,SECA4,native,8,0,forb,annual,"yaupon blacksenna"
"Agalinis aphylla",,AGAP3,native,8,-3,forb,annual,"scaleleaf false foxglove"
"Agalinis decemloba",,AGOB,native,6,0,forb,annual,"tenlobe false foxglove"
"Agalinis fasciculata",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis fasciculata var. peninsularis",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis filicaulis",,AGFI,native,8,0,forb,annual,"jackson false foxglove"
"Agalinis georgiana",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis keyensis",,AGOL,native,8,0,forb,annual,"ridgestem false foxglove"
"Agalinis linifolia",,AGLI2,native,6,-5,forb,perennial,"flaxleaf false foxglove"
"Agalinis maritima",,AGMA3,native,7,-5,forb,annual,"saltmarsh false foxglove"
"Agalinis obtusifolia",,AGOB,native,6,0,forb,annual,"tenlobe false foxglove"
"Agalinis oligophylla",,AGOL,native,8,0,forb,annual,"ridgestem false foxglove"
"Agalinis oligophylla var. pseudaphylla",,AGOL,native,8,0,forb,annual,"ridgestem false foxglove"
"Agalinis parvifolia",,AGOB,native,6,0,forb,annual,"tenlobe false foxglove"
"Agalinis pseudaphylla",,AGOL,native,8,0,forb,annual,"ridgestem false foxglove"
"Agalinis pulchella",,AGPU4,native,7,-3,forb,annual,"st. marks false foxglove"
"Agalinis purpurea",,AGPU5,native,5,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. carteri",,AGPU5,native,5,-3,forb,annual,"purple false foxglove"
"Agalinis purpurea var. racemulosa",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agalinis tenella",,AGOB,native,6,0,forb,annual,"tenlobe false foxglove"
"Agalinis tenuifolia",,AGTE3,native,5,3,forb,annual,"slenderleaf false foxglove"
"Agalinis virgata",,AGFA2,native,4,0,forb,annual,"beach false foxglove"
"Agarista populifolia",,AGPO2,native,7,-3,shrub,perennial,"florida hobblebush"
"Agrimonia parviflora",,AGPA6,native,4,0,forb,perennial,harvestlice
"Agrimonia rostellata",,AGRO3,native,5,0,forb,perennial,"beaked agrimony"
"Agrostis alba",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis antecedens",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis geminata",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis gigantea",,AGGI2,non-native,0,-3,grass,perennial,"black bent"
"Agrostis hyemalis",,AGHY,native,4,0,grass,perennial,"winter bentgrass"
"Agrostis hyemalis var. geminata",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis hyemalis var. scabra",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis hyemalis var. tenuis",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis scabra",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis scabra ssp. septentrionalis",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis scabra var. geminata",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis scabra var. septentrionalis",,AGSC5,native,3,0,grass,perennial,"rough bentgrass"
"Agrostis stolonifera",,AGST2,non-native,0,-3,grass,perennial,"spreading bent"
"Agrostis trichopodes",,MUEX,native,8,-3,grass,perennial,"cutover muhly"
"Agrostis virginica",,SPVI3,native,6,-3,grass,perennial,"seashore dropseed"
"Aira obtusata",,SPOB,native,3,0,grass,perennial,"prairie wedgescale"
"Aletris aurea",,ALAU,native,8,-3,forb,perennial,"golden colicroot"
"Aletris farinosa",,ALFA2,native,8,0,forb,perennial,"white colicroot"
"Aletris lutea",,ALLU,native,7,-3,forb,perennial,"yellow colicroot"
"Aletris obovata",,ALOB3,native,8,0,forb,perennial,"southern colicroot"
"Alnus incana var. serrulata",,ALSE2,native,5,-3,tree,perennial,"hazel alder"
"Alnus noveboracensis",,ALSE2,native,5,-3,tree,perennial,"hazel alder"
"Alnus serrulata",,ALSE2,native,5,-3,tree,perennial,"hazel alder"
"Alnus serrulata var. subelliptica",,ALSE2,native,5,-3,tree,perennial,"hazel alder"
"Alopecurus carolinianus",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
"Alopecurus macounii",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
"Alopecurus ramosus",,ALCA4,native,2,-3,grass,annual,"carolina foxtail"
"Alternanthera maritima",,ALMA10,native,5,-3,forb,perennial,"seaside joyweed"
"Alternanthera paronychioides",,ALPA17,non-native,0,-5,forb,perennial,"smooth joyweed"
"Alternanthera philoxeroides",,ALPH,non-native,0,-5,forb,perennial,alligator-weed
"Alternanthera sessilis",,ALSE4,native,1,-5,forb,perennial,"sessile joyweed"
"Amaranthus australis",,AMAU,native,2,-5,shrub,annual,"southern amaranth"
"Amaranthus cannabinus",,AMCA2,native,7,-5,forb,perennial,"tidalmarsh amaranth"
"Amaranthus crassipes",,AMCR,non-native,0,0,forb,annual,"spreading amaranth"
"Amaranthus floridanus",,AMFL3,native,4,-5,forb,annual,"florida amaranth"
"Amaranthus gracilis",,AMVI,non-native,0,0,forb,annual,"slender amaranth"
"Amaranthus retroflexus",,AMRE,non-native,0,0,forb,annual,"redroot amaranth"
"Amaranthus retroflexus var. salicifolius",,AMRE,non-native,0,0,forb,annual,"redroot amaranth"
"Amaranthus viridis",,AMVI,non-native,0,0,forb,annual,"slender amaranth"
"Amaranthus viridus",,AMVI,non-native,0,0,forb,annual,"slender amaranth"
"Amaryllis atamasca",,ZEAT,native,7,-3,forb,perennial,"atamasco lily"
"Ambrosia californica",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia coronopifolia",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia cumanensis",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia psilostachya",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia psilostachya var. californica",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia psilostachya var. coronopifolia",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia psilostachya var. lindheimeriana",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia rugelii",,AMPS,native,4,0,forb,perennial,"cuman ragweed"
"Ambrosia trifida",,AMTR,native,2,0,shrub,annual,"great ragweed"
"Amelanchier arborea",,AMAR3,native,6,3,tree,perennial,"common serviceberry"
"Amelanchier canadensis",,AMCA4,native,6,0,tree,perennial,"canadian serviceberry"
"Amelanchier canadensis var. subintegra",,AMCA4,native,6,0,tree,perennial,"canadian serviceberry"
"Amelanchier lucida",,AMCA4,native,6,0,tree,perennial,"canadian serviceberry"
"Amianthium muscitoxicum",,AMMU,native,8,0,forb,perennial,flypoison
"Ammannia coccinea",,AMCO,native,4,-5,forb,annual,"valley redstem"
"Ammannia coccinea ssp. purpurea",,AMCO,native,4,-5,forb,annual,"valley redstem"
"Ammannia koehnei",,AMLA3,native,4,-5,forb,annual,"pink redstem"
"Ammannia latifolia",,AMLA3,native,4,-5,forb,annual,"pink redstem"
