"Texas Blackland Prairies"
2019
"Reemts, C. M., and J. A. Eidson. 2019. Choosing Plant Diversity Metrics: A Tallgrass Prairie Case Study. Ecological Restoration 37:233-245."
"Texas Blackland Prairies (TX) (Omernik III Ecoregions: 32), 2019"

"Total Species:",487
"Native Species:",453
"Non-native Species:",34
"Total Mean C:",3.5
"Native Mean C:",3.8

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Acacia angustissima var. hirta",Fabaceae,,native,5,,forb,,
"Acalypha gracilens",Euphorbiaceae,,native,2,,forb,,
"Achillea millefolium",Asteraceae,,native,0,,forb,,
"Agalinis heterophylla",Scrophulariaceae,,native,2,,forb,,
"Agrostis hyemalis",Poaceae,,native,4,,grass,,
"Aira elegantissima",Poaceae,,non-native,0,,grass,,
"Allium canadense var. canadense",Liliaceae,,native,2,,forb,,
"Allium canadense var. hyacinthoides",Liliaceae,,native,8,,forb,,
"Allium drummondii",Liliaceae,,native,4,,forb,,
"Alopecurus carolinianus",Poaceae,,native,5,,grass,,
"Ambrosia artemisiifolia",Asteraceae,,native,1,,forb,,
"Ambrosia psilostachya",Asteraceae,,native,2,,forb,,
"Ambrosia trifida",Asteraceae,,native,1,,forb,,
"Amorpha fruticosa",Fabaceae,,native,3,,shrub,,
"Ampelopsis arborea",Vitaceae,,native,0,,shrub,,
"Ampelopsis cordata",Vitaceae,,native,0,,shrub,,
"Amphiachyris dracunculoides",Asteraceae,,native,1,,forb,,
"Amsonia ciliata var. texana",Apocynaceae,,native,6,,forb,,
"Anagallis minima",Primulaceae,,native,2,,forb,,
"Andropogon gerardii",Poaceae,,native,7,,grass,,
"Andropogon glomeratus",Poaceae,,native,2,,grass,,
"Andropogon virginicus",Poaceae,,native,3,,grass,,
"Androstephium coeruleum",Liliaceae,,native,7,,forb,,
"Anemone berlandieri",Ranunculaceae,,native,5,,forb,,
"Anemone caroliniana",Ranunculaceae,,native,5,,forb,,
"Apocynum cannabinum",Apocynaceae,,native,3,,forb,,
"Aristida oligantha",Poaceae,,native,1,,grass,,
"Aristida purpurea",Poaceae,,native,4,,grass,,
"Arnoglossum plantagineum",Asteraceae,,native,5,,forb,,
"Artemisia ludoviciana",Asteraceae,,native,4,,forb,,
"Asclepias asperula ssp. capricornu",Asclepiadaceae,,native,4,,forb,,
"Asclepias hirtella",Asclepiadaceae,,native,9,,forb,,
"Asclepias linearis",Asclepiadaceae,,native,9,,forb,,
"Asclepias oenotheroides",Asclepiadaceae,,native,3,,forb,,
"Asclepias stenophylla",Asclepiadaceae,,native,8,,forb,,
"Asclepias tuberosa ssp. interior",Asclepiadaceae,,native,8,,forb,,
"Asclepias verticillata",Asclepiadaceae,,native,6,,forb,,
"Asclepias viridiflora",Asclepiadaceae,,native,9,,forb,,
"Asclepias viridis",Asclepiadaceae,,native,2,,forb,,
"Astragalus crassicarpus var. crassicarpus",Fabaceae,,native,9,,forb,,
"Astragalus nuttallianus",Fabaceae,,native,2,,forb,,
"Astranthium ciliatum",Asteraceae,,native,3,,forb,,
"Baccharis halimifolia",Asteraceae,,native,0,,shrub,,
"Baptisia alba",Fabaceae,,native,6,,forb,,
"Baptisia australis",Fabaceae,,native,9,,forb,,
"Baptisia bracteata var. leucophaea",Fabaceae,,native,7,,forb,,
"Baptisia sphaerocarpa",Fabaceae,,native,6,,forb,,
"Berchemia scandens",Rhamnaceae,,native,0,,shrub,,
"Bifora americana",Apiaceae,,native,3,,forb,,
"Bothriochloa ischaemum",Poaceae,,non-native,0,,grass,,
"Bothriochloa laguroides ssp. torreyana",Poaceae,,native,2,,grass,,
"Bouteloua curtipendula var. curtipendula",Poaceae,,native,4,,grass,,
"Bouteloua dactyloides",Poaceae,,native,3,,grass,,
"Bouteloua hirsuta",Poaceae,,native,4,,grass,,
"Bouteloua hirsuta var. pectinata",Poaceae,,native,6,,grass,,
"Bouteloua rigidiseta",Poaceae,,native,3,,grass,,
"Brickellia eupatorioides var. texana",Asteraceae,,native,7,,forb,,
