"West Virginia"
2015
"West Virginia Natural Heritage Program. 2015. Coefficients of Conservatism for the Vascular Flora of West Virginia.  Wildlife Diversity Unit, West Virginia Division of Natural Resources, Elkins, WV."
"West Virginia  , 2015"

"Total Species:",2827
"Native Species:",2099
"Non-native Species:",728
"Total Mean C:",4.5
"Native Mean C:",6.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABBA,native,9,-3,tree,perennial,"balsam fir"
"Abies balsamea var. balsamea",Pinaceae,ABBAB,native,9,-3,tree,,"balsam fir"
"Abies balsamea var. phanerolepis",Pinaceae,ABBAP,native,9,-3,tree,,"balsam fir"
"Abies fraseri",Pinaceae,ABFR,non-native,0,3,tree,perennial,"fraser fir"
"Abutilon theophrasti",Malvaceae,ABTH,non-native,0,5,forb,annual,"indian mallow"
"Acalypha gracilens var. gracilens",Euphorbiaceae,ACGRGWV,native,3,5,forb,,"slender three-seeded mercury"
"Acalypha ostryifolia",Euphorbiaceae,ACOS,native,3,5,forb,annual,"rough-pod copperleaf"
"Acalypha rhomboidea",Euphorbiaceae,ACRH,native,2,3,forb,annual,"common copperleaf"
"Acalypha virginica",Euphorbiaceae,ACVI,native,3,3,forb,annual,"virginia copperleaf"
"Acer campestre",Aceraceae,ACCA5,non-native,0,5,tree,perennial,"hedge maple"
"Acer ginnala",Aceraceae,ACGI,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo var. negundo",Aceraceae,ACNEN,native,2,0,tree,perennial,box-elder
"Acer nigrum",Aceraceae,ACNI5,native,7,3,tree,perennial,"black maple"
"Acer pensylvanicum",Aceraceae,ACPE,native,5,3,tree,perennial,"striped maple"
"Acer platanoides",Aceraceae,ACPL,non-native,0,5,tree,perennial,"norway maple"
"Acer rubrum",Aceraceae,ACRU,native,3,0,tree,perennial,"red maple"
"Acer rubrum var. rubrum",Aceraceae,ACRUR,native,2,0,tree,perennial,"red maple"
"Acer rubrum var. trilobum",Aceraceae,ACRUT,native,5,-3,tree,perennial,"carolina red maple"
"Acer saccharinum",Aceraceae,ACSA2,native,5,-3,tree,perennial,"silver maple"
"Acer saccharum var. saccharum",Aceraceae,ACSAS,native,6,3,tree,perennial,"sugar maple"
"Acer spicatum",Aceraceae,ACSP2,native,7,3,tree,perennial,"mountain maple"
"Achillea millefolium var. occidentalis",Asteraceae,ACMIO,non-native,0,3,forb,perennial,"western yarrow"
"Achillea ptarmica",Asteraceae,ACPT,non-native,0,5,forb,perennial,sneezeweed
"Achyranthes japonica var. hachijoensis",Amaranthaceae,ACJAH,non-native,0,5,forb,perennial,"japanese chaff-flower"
"Acinos arvensis",Lamiaceae,ACAR2,non-native,0,5,forb,perennial,mother-of-thyme
"Aconitum reclinatum",Ranunculaceae,ACRE,native,9,-3,forb,perennial,"white monkshood"
"Aconitum uncinatum",Ranunculaceae,ACUN,native,6,-3,forb,perennial,"blue monkshood"
