"WA - Western Washington State"
2013
"F. J. Rocchio and R. C. Crawford. 2013. Floristic Quality Assessment for Washington Vegetation. Washington Natural Heritage Program, Washington Department of Natural Resources, Olympia, Washington. Baseline nomenclature: USDA PLANTS"
"WA - Western Washington State  , 2013"

"Total Species:",2218
"Native Species:",1521
"Non-native Species:",697
"Total Mean C:",3.5
"Native Mean C:",5.1

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies amabilis",Pinaceae,ABAM,native,5,3,tree,perennial,"pacific silver fir; red fir; silver fir; lovely fir"
"Abies grandis",Pinaceae,ABGR,native,3,3,tree,perennial,"grand fir; lowland fir; silver fir; balsam fir"
"Abies lasiocarpa",Pinaceae,ABLA,native,4,3,tree,perennial,"subalpine fir; alpine fir; white balsam fir"
"Abies procera",Pinaceae,ABPR,native,5,0,tree,perennial,"noble fir; red fir; white fir"
"Abronia latifolia",Nyctaginaceae,ABLA2,native,4,0,forb,perennial,"coastal sand verbena; yellow sand verbena"
"Abronia umbellata ssp. breviflora;abronia umbellata var. acutalata;abronia umbellata var. breviflora",Nyctaginaceae,ABUMB,native,8,0,vine,perennial,"pink sand verbena"
"Abronia umbellata;abronia umbellata var. breviflora  var. acutalata",Nyctaginaceae,ABUM,native,8,0,vine,perennial,"pink sand verbena"
"Abutilon theophrasti;.;abutilon theophrasti",Malvaceae,ABTH,non-native,0,3,forb,annual,velvetleaf
"Acer circinatum",Aceraceae,ACCI,native,3,0,tree,perennial,"vine maple"
"Acer glabrum var. douglasii",Aceraceae,ACGLD4,native,4,3,tree,perennial,"douglas maple"
"Acer macrophyllum",Aceraceae,ACMA3,native,3,3,tree,perennial,"bigleaf maple; oregon maple"
"Acer platanoides;.;acer platanoides",Aceraceae,ACPL,non-native,0,3,tree,perennial,"norway maple"
"Acer pseudoplatanus;.;acer pseudoplatanus",Aceraceae,ACPS,non-native,0,0,tree,perennial,"sycamore maple"
"Acer saccharinum;.;acer saccharinum",Aceraceae,ACSA2,non-native,0,0,tree,perennial,"silver maple"
"Achillea millefolium",Asteraceae,ACMI2,native,2,3,forb,perennial,"common yarrow"
"Achillea millefolium var. millefolium;achillea millefolium",Asteraceae,ACMIM2,non-native,0,3,forb,perennial,"common yarrow"
"Achillea millefolium var. occidentalis;achillea millefolium ssp. lanulosa;achillea millefolium",Asteraceae,ACMIO,native,3,3,forb,perennial,"western yarrow"
"Achillea millefolium var. pacifica;.;achillea millefolium",Asteraceae,ACMIP,native,2,3,forb,perennial,"pacific yarrow"
"Achlys californica",Berberidaceae,ACCA6,native,6,0,forb,perennial,"deers foot"
"Achlys triphylla",Berberidaceae,ACTR,native,7,0,forb,perennial,"sweet after death; vanillaleaf; deerfoot"
"Achnatherum lemmonii var. lemmonii;stipa lemmonii var. lemmonii;achnatherum lemmonii ssp. lemmonii",Poaceae,ACLEL,native,6,0,grass,perennial,"lemmons needlegrass"
