"Wisconsin (WDNR)-MW Wetland region (Southwestern and Southeastern Wisconsin)"
2017
"Chung-Gibson, M., Bernthal T., Doyle K., Wetter, M., Haber, E. (2017). Wisconsin Department of Natural Resources, Water Quality Bureau. From WDNR_FQA_Calculator_v1.5.17. Nomenclature from Wisconsin State Herbarium, University of Wisconsin-Madison (2016). COFC values from Bernthal, TW. Development of a Floristic Quality Assessment Methodology for Wisconsin. Wisconsin Department of Natural Resources, 2003. Note that regions differ only in Wetland Indicator Status."
"Wisconsin (WDNR)-MW Wetland region (Southwestern and Southeastern Wisconsin)  , 2017"

"Total Species:",3443
"Native Species:",2283
"Non-native Species:",1160
"Total Mean C:",4.1
"Native Mean C:",6.2

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",Pinaceae,ABIBAL,native,5,-3,tree,perennial,"balsam fir"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,3,forb,annual,piemarker
"Acalypha gracilens",Euphorbiaceae,ACAGRA,non-native,0,3,forb,annual,"short-stalk copper-leaf"
"Acalypha gracilens ssp. gracilens",Euphorbiaceae,ACAGRASG,non-native,0,3,forb,annual,"short-stalk copper-leaf"
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,0,3,forb,annual,"rhombic copper-leaf"
"Acer ginnala",Sapindaceae,ACEGIN,non-native,0,,tree,perennial,"amur maple"
"Acer negundo",Sapindaceae,ACENEG,native,0,0,tree,perennial,"ash-leaved maple"
"Acer negundo var. interius",Sapindaceae,ACENEGVI,native,0,,tree,perennial,"ash-leaved maple"
"Acer negundo var. negundo",Sapindaceae,ACENEGVN,native,0,,tree,perennial,"box elder"
"Acer negundo var. violaceum",Sapindaceae,ACENEGVV,native,0,,tree,perennial,"box elder"
"Acer nigrum",Sapindaceae,ACENIG,native,5,3,tree,perennial,"black maple"
"Acer pensylvanicum",Sapindaceae,ACEPEN,native,6,3,tree,perennial,"goosefoot maple"
"Acer platanoides",Sapindaceae,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer rubrum",Sapindaceae,ACERUB,native,3,0,tree,perennial,"red maple"
"Acer rubrum var. rubrum",Sapindaceae,ACERUBVR,native,3,0,tree,perennial,"red maple"
"Acer saccharinum",Sapindaceae,ACESACCH,native,2,-3,tree,perennial,"silver maple"
"Acer saccharum",Sapindaceae,ACESACCH,native,5,3,tree,perennial,"hard maple"
"Acer saccharum var. saccharum",Sapindaceae,ACESAC2V,native,5,3,tree,perennial,"hard maple"
"Acer spicatum",Sapindaceae,ACESPI,native,6,3,tree,perennial,"mountain maple"
"Acer tataricum ssp. ginnala",Sapindaceae,ACETATSG,non-native,0,,tree,perennial,"amur maple"
"Acer x freemanii",Sapindaceae,ACEXFRE,native,3,,tree,perennial,"freemans maple"
"Achillea millefolium",Asteraceae,ACHMIL,native,1,3,forb,perennial,"common yarrow"
"Achillea millefolium ssp. lanulosa",Asteraceae,ACHMILSL,native,1,3,forb,perennial,"common yarrow"
"Achillea millefolium ssp. millefolium",Asteraceae,ACHMILSM,native,0,3,forb,perennial,"common yarrow"
"Achillea ptarmica",Asteraceae,ACHPTA,non-native,0,3,forb,perennial,sneezeweed
"Achyranthes japonica",Amaranthaceae,ACHJAP,non-native,0,,forb,,"japanese chaff flower"
"Acinos arvensis",Lamiaceae,ACIARV,non-native,0,,forb,annual,basil-thyme
