Michigan
2014
"Reznicek, A.A., M.R. Penskar, B.S. Walters, and B.S. Slaughter.  2014.  Michigan Floristic Quality Assessment Database.  Herbarium, University of Michigan, Ann Arbor, MI and Michigan Natural Features Inventory, Michigan State University, Lansing, MI. http://michiganflora.net "
"Michigan  , 2014"

"Total Species:",2872
"Native Species:",1810
"Non-native Species:",1062
"Total Mean C:",4.1
"Native Mean C:",6.5

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",Malvaceae,ABEESC,non-native,0,5,forb,annual,"okra; gumbo"
"Abies balsamea",Pinaceae,ABIBAL,native,3,0,tree,perennial,"balsam fir"
"Abutilon theophrasti",Malvaceae,ABUTHE,non-native,0,3,forb,annual,velvet-leaf
"Acalypha gracilens",Euphorbiaceae,ACAGRA,non-native,0,3,forb,annual,"three-seeded mercury"
"Acalypha ostryifolia",Euphorbiaceae,ACAOST,non-native,0,5,forb,annual,"three-seeded mercury"
"Acalypha rhomboidea",Euphorbiaceae,ACARHO,native,0,3,forb,annual,"three-seeded mercury"
"Acalypha virginica",Euphorbiaceae,ACAVIR,non-native,0,3,forb,annual,"three-seeded mercury"
"Acer campestre",Sapindaceae,ACECAM,non-native,0,5,tree,perennial,"hedge maple"
"Acer ginnala",Sapindaceae,ACEGIN,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo",Sapindaceae,ACENEG,native,0,0,tree,perennial,box-elder
"Acer nigrum; a. saccharum",Sapindaceae,ACENIG,native,4,3,tree,perennial,"black maple"
"Acer pensylvanicum",Sapindaceae,ACEPEN,native,5,3,tree,perennial,"striped maple"
"Acer platanoides",Sapindaceae,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer pseudoplatanus",Sapindaceae,ACEPSE,non-native,0,5,tree,perennial,"sycamore maple"
"Acer rubrum",Sapindaceae,ACERUB,native,1,0,tree,perennial,"red maple"
